Time,Z,X,Y
1.43,15.074573,6.208471,-0.586857
1.44,15.075985,6.203321,-0.59068
1.45,15.083472,6.207389,-0.580743
1.46,15.093197,6.220996,-0.586037
1.47,15.083498,6.205235,-0.579304
1.48,15.087063,6.219286,-0.587315
1.49,15.077756,6.20652,-0.588125
1.5,15.080298,6.214718,-0.575938
1.51,15.085656,6.206968,-0.576766
1.52,15.083273,6.208284,-0.576634
1.53,15.079439,6.207979,-0.583443
1.54,15.0798,6.214045,-0.587019
1.55,15.083735,6.20119,-0.586105
1.56,15.097498,6.213306,-0.593413
1.57,15.090074,6.211758,-0.576654
1.58,15.083356,6.209859,-0.573537
1.59,15.078413,6.206006,-0.584777
1.6,15.079605,6.208718,-0.578228
1.61,15.089505,6.218605,-0.576914
1.62,15.098822,6.219801,-0.589235
1.63,15.082861,6.208078,-0.584371
1.64,15.077236,6.205982,-0.582684
1.65,15.078407,6.210869,-0.585912
1.66,15.085433,6.22037,-0.580029
1.67,15.090248,6.222746,-0.583677
1.68,15.093143,6.229905,-0.591634
1.69,15.079517,6.218855,-0.582868
1.7,15.080234,6.221968,-0.580659
1.71,15.085017,6.219112,-0.58298
1.72,15.084258,6.220516,-0.581154
1.73,15.079826,6.224003,-0.579369
1.74,15.082168,6.223315,-0.579924
1.75,15.081837,6.223239,-0.581197
1.76,15.07734,6.217838,-0.575013
1.77,15.071337,6.201095,-0.595803
1.78,15.081474,6.21661,-0.579317
1.79,15.077313,6.217362,-0.573395
1.8,15.080314,6.22377,-0.572024
1.81,15.077152,6.218541,-0.568741
1.82,15.077583,6.213282,-0.573507
1.83,15.080252,6.223572,-0.567066
1.84,15.083459,6.214481,-0.573084
1.85,15.079243,6.223701,-0.568828
1.86,15.07864,6.214785,-0.56934
1.87,15.078407,6.223042,-0.572004
1.88,15.091309,6.230865,-0.580031
1.89,15.088387,6.22885,-0.579281
1.9,15.073652,6.214983,-0.571372
1.91,15.072458,6.211749,-0.579989
1.92,15.086216,6.21935,-0.585072
1.93,15.078742,6.220168,-0.574794
1.94,15.080105,6.209819,-0.572981
1.95,15.07295,6.204667,-0.58574
1.96,15.073067,6.218689,-0.580385
1.97,15.074035,6.219513,-0.580749
1.98,15.079524,6.211482,-0.579004
1.99,15.087732,6.222173,-0.590528
2,15.07773,6.220249,-0.575334
2.01,15.081012,6.218298,-0.577496
2.02,15.081545,6.220287,-0.57445
2.03,15.075522,6.219243,-0.579885
2.04,15.090041,6.237282,-0.587222
2.05,15.08385,6.219806,-0.57386
2.06,15.082313,6.214052,-0.57814
2.07,15.074994,6.203791,-0.595146
2.08,15.085628,6.222489,-0.575476
2.09,15.088076,6.221502,-0.575146
2.1,15.088522,6.218496,-0.574704
2.11,15.085706,6.215704,-0.573921
2.12,15.087806,6.215763,-0.576095
2.13,15.087893,6.222105,-0.576582
2.14,15.098654,6.229342,-0.594253
2.15,15.089272,6.213998,-0.572968
2.16,15.087868,6.21283,-0.577842
2.17,15.085417,6.20796,-0.577388
2.18,15.083838,6.200551,-0.580077
2.19,15.085354,6.204664,-0.576363
2.2,15.085444,6.208939,-0.572223
2.21,15.08628,6.202243,-0.57577
2.22,15.084254,6.197504,-0.576989
2.23,15.072909,6.200527,-0.581209
2.24,15.072799,6.19347,-0.576732
2.25,15.075459,6.196136,-0.571183
2.26,15.08287,6.206839,-0.578841
2.27,15.074021,6.201705,-0.566399
2.28,15.073616,6.196749,-0.568141
2.29,15.072933,6.201454,-0.580023
