%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,,time dif,avg time dif,max
1.67694E+18,-0.961914063,0.00390625,-0.177246094,-0.305343511,0.061068702,-0.198473282,0,1676941310,0,,,
1.67694E+18,-0.961914063,0.001953125,-0.163818359,-0.259541985,0.122137405,-0.20610687,0,1676941310,0.014679909,0.014679909,0.012149063,0.032949924
1.67694E+18,-0.973144531,-0.01171875,-0.162109375,-0.27480916,0.190839695,-0.213740458,0,1676941310,0.029309988,0.014630079,,
1.67694E+18,-0.970947266,0.012207031,-0.170410156,-0.20610687,0.27480916,-0.213740458,0,1676941310,0.044059992,0.014750004,,
1.67694E+18,-0.954833984,-0.006347656,-0.164550781,-0.13740458,0.358778626,-0.229007634,0,1676941310,0.058959961,0.014899969,,
1.67694E+18,-0.975830078,-0.008544922,-0.17578125,-0.122137405,0.435114504,-0.20610687,0,1676941310,0.073519945,0.014559984,,
1.67694E+18,-0.982177734,-0.001220703,-0.185546875,-0.13740458,0.519083969,-0.198473282,0,1676941310,0.091330051,0.017810106,,
1.67694E+18,-0.966064453,-0.013916016,-0.182128906,-0.13740458,0.564885496,-0.221374046,0,1676941310,0.106060028,0.014729977,,
1.67694E+18,-0.955322266,0.014404297,-0.188964844,-0.114503817,0.709923664,-0.297709924,0,1676941310,0.120830059,0.014770031,,
1.67694E+18,-0.969970703,0.005371094,-0.181884766,-0.099236641,0.786259542,-0.320610687,0,1676941310,0.135419846,0.014589787,,
1.67694E+18,-0.969970703,-0.014404297,-0.158691406,-0.152671756,0.893129771,-0.351145038,0,1676941310,0.150229931,0.014810085,,
1.67694E+18,-0.961914063,-0.002929688,-0.180419922,-0.213740458,0.969465649,-0.389312977,0,1676941310,0.164890051,0.01466012,,
1.67694E+18,-0.970458984,0.006591797,-0.174560547,-0.236641221,1.06870229,-0.427480916,0,1676941310,0.179729939,0.014839888,,
1.67694E+18,-0.975341797,-0.015380859,-0.198242188,-0.229007634,1.152671756,-0.503816794,0,1676941310,0.194659948,0.01493001,,
1.67694E+18,-0.954833984,-0.0078125,-0.196044922,-0.221374046,1.27480916,-0.503816794,0,1676941310,0.217609882,0.022949934,,
1.67694E+18,-0.962890625,-0.011230469,-0.200439453,-0.175572519,1.351145038,-0.503816794,0,1676941310,0.233479977,0.015870094,,
1.67694E+18,-0.965332031,-0.015869141,-0.217773438,-0.160305344,1.41221374,-0.465648855,0,1676941310,0.253229856,0.01974988,,
1.67694E+18,-0.977539063,-0.030517578,-0.238037109,-0.129770992,1.404580153,-0.366412214,0,1676941310,0.268349886,0.015120029,,
1.67694E+18,-0.982910156,-0.03515625,-0.261962891,-0.114503817,1.259541985,-0.221374046,0,1676941310,0.283089876,0.01473999,,
1.67694E+18,-0.966064453,-0.058105469,-0.284912109,-0.06870229,0.916030534,-0.06870229,0,1676941310,0.298199892,0.015110016,,
1.67694E+18,-0.977050781,-0.098876953,-0.358886719,-0.091603053,0.366412214,0.305343511,0,1676941310,0.314879894,0.016680002,,
1.67694E+18,-0.985107422,-0.166259766,-0.415039063,-0.053435115,-0.297709924,0.93129771,0,1676941310,0.329809904,0.01493001,,
