%time,field.mx,field.my,field.fz,field.t,%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
1.6769413115185864e+18,149.0,208.0,211.68,1676941310.66392,1676941310603500600,-0.9619140625,0.00390625,-0.17724609375,-0.3053435114503817,0.0610687022900763,-0.1984732824427481,0.0,1676941309.7214224
1.6769413115872978e+18,151.0,210.0,205.8,1676941310.6644273,1676941310603556500,-0.9619140625,0.001953125,-0.163818359375,-0.2595419847328244,0.1221374045801526,-0.2061068702290076,0.0,1676941309.7361002
1.6769413115873498e+18,138.0,168.0,211.68,1676941310.664781,1676941310649867100,-0.97314453125,-0.01171875,-0.162109375,-0.2748091603053435,0.1908396946564885,-0.2137404580152671,0.0,1676941309.7507346
1.6769413115873782e+18,138.0,168.0,209.72,1676941310.712674,1676941310649900700,-0.970947265625,0.01220703125,-0.17041015625,-0.2061068702290076,0.2748091603053435,-0.2137404580152671,0.0,1676941309.765489
1.676941311587392e+18,137.0,167.0,205.8,1676941310.7131984,1676941310649925200,-0.954833984375,-0.00634765625,-0.16455078125,-0.1374045801526717,0.3587786259541984,-0.2290076335877862,0.0,1676941309.7803886
1.6769413115874104e+18,136.0,167.0,207.76,1676941310.7135377,1676941310695270200,-0.975830078125,-0.008544921875,-0.17578125,-0.1221374045801526,0.4351145038167939,-0.2061068702290076,0.0,1676941309.7949436
1.6769413115874588e+18,136.0,166.0,209.72,1676941310.7138488,1676941310695288100,-0.982177734375,-0.001220703125,-0.185546875,-0.1374045801526717,0.5190839694656488,-0.1984732824427481,0.0,1676941309.8127596
1.6769413116384333e+18,139.0,167.0,215.6,1676941310.751048,1676941310695294000,-0.966064453125,-0.013916015625,-0.18212890625,-0.1374045801526717,0.5648854961832062,-0.2213740458015267,0.0,1676941309.827489
1.6769413116384822e+18,138.0,168.0,211.68,1676941310.7515898,1676941310744297400,-0.955322265625,0.014404296875,-0.18896484375,-0.1145038167938931,0.7099236641221374,-0.2977099236641221,0.0,1676941309.842251
1.6769413116384963e+18,137.0,167.0,209.72,1676941310.7519352,1676941310744313800,-0.969970703125,0.00537109375,-0.181884765625,-0.099236641221374,0.7862595419847328,-0.3206106870229007,0.0,1676941309.8568478
1.6769413116385797e+18,135.0,166.0,213.64,1676941310.7525036,1676941310744341300,-0.969970703125,-0.014404296875,-0.15869140625,-0.1526717557251908,0.8931297709923665,-0.3511450381679389,0.0,1676941309.871654
1.676941311686076e+18,135.0,165.0,215.6,1676941310.7998028,1676941310744353300,-0.9619140625,-0.0029296875,-0.180419921875,-0.2137404580152671,0.9694656488549618,-0.3893129770992366,0.0,1676941309.886316
