%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42,field.data43,field.data44,field.data45,field.data46,field.data47,field.data48,field.data49,field.data50
1689263600878814300,0,63600.87890625,259.0,4097.0,3.0633962154388428,1.9517195224761963,3.7228808403015137,4098.0,4353.0,-0.49673399329185486,7.56578254699707,2.381314754486084,4354.0,4609.0,5.9766435623168945,-6.442746639251709,-0.2048976719379425,4610.0,4865.0,-3.0610745803904237e-15,-4.7457612790740775e-15,-1.2679928636884002e-15,260.0,5121.0,2.4543936252593994,-3.875535011291504,1.6055725812911987,5122.0,5377.0,-1.8004494905471802,1.4568209648132324,-1.8211904764175415,5378.0,5633.0,4.1967291831970215,-4.183493614196777,1.1275049448013306,5634.0,5889.0,-2.3209761545951897e-15,-2.0062701686470374e-15,1.0387247617891842e-15,1280.0,1792.0,9.743552341164225e-16,1.2345371798542235e-15,-1.0575469985474773e-15,1280.0,3328.0,89.99495697021484,-95.3846664428711,-95.38525390625
1689263600910871900,0,63600.91015625,259.0,4097.0,3.0937728881835938,1.969610571861267,3.7992217540740967,4098.0,4353.0,-0.5391047596931458,7.825882911682129,2.4849281311035156,4354.0,4609.0,5.946166515350342,-6.414103031158447,-0.15535618364810944,4610.0,4865.0,-2.9174673439635087e-15,-6.390688357092733e-16,1.8372589318243083e-15,260.0,5121.0,2.356416702270508,-3.8970978260040283,1.6708364486694336,5122.0,5377.0,-1.6328538656234741,1.5400476455688477,-1.573652982711792,5378.0,5633.0,4.12807035446167,-4.455251693725586,1.4805318117141724,5634.0,5889.0,-1.297080504492705e-15,-2.629844812987339e-15,-7.480525945655439e-16,1280.0,1792.0,3.578904519864755e-16,-1.634968088141313e-15,1.3386936350783652e-17,1280.0,3328.0,89.99507141113281,-87.05325317382812,-87.05315399169922
1689263600940731200,0,63600.94140625,259.0,4097.0,3.2242958545684814,1.9366074800491333,3.8391618728637695,4098.0,4353.0,-0.5780243277549744,8.002683639526367,2.56247878074646,4354.0,4609.0,5.916227340698242,-6.3931989669799805,-0.10254312306642532,4610.0,4865.0,-1.6910897383693043e-15,1.2551264067498278e-16,-1.939632789667341e-16,260.0,5121.0,2.1815242767333984,-3.7909374237060547,1.7500801086425781,5122.0,5377.0,-1.481560230255127,1.5594877004623413,-1.3264477252960205,5378.0,5633.0,4.071160793304443,-4.678351879119873,1.7509750127792358,5634.0,5889.0,-1.1051048280413724e-15,2.3625375202181165e-15,-1.3804375462275927e-15,1280.0,1792.0,-2.920013525002955e-15,-2.049696250833565e-16,1.3160222523058996e-16,1280.0,3328.0,89.99595642089844,-33.61887741088867,-33.61940383911133
1689263600972447200,0,63600.97265625,259.0,4097.0,3.5430548191070557,1.9092267751693726,3.8932814598083496,4098.0,4353.0,-0.6506389379501343,8.302940368652344,2.735156536102295,4354.0,4609.0,5.880316257476807,-6.352695465087891,-0.017814043909311295,4610.0,4865.0,-5.953635767572867e-17,2.058289638311476e-15,-2.053266944692495e-15,260.0,5121.0,1.7850733995437622,-3.6022861003875732,1.907858967781067,5122.0,5377.0,-1.153225064277649,1.7114793062210083,-0.7057999968528748,5378.0,5633.0,4.003066539764404,-5.249797821044922,2.323256731033325,5634.0,5889.0,-1.92065292537152e-15,2.8640646694962036e-15,9.301613959725478e-16,1280.0,1792.0,1.2476632259213498e-15,-6.62404745607362e-18,5.092049735493554e-16,1280.0,3328.0,89.994140625,-62.21535110473633,-62.21609115600586
1689263601012560500,0,63601.01171875,259.0,4097.0,3.6674532890319824,1.9163236618041992,3.9320106506347656,4098.0,4353.0,-0.6225262880325317,8.56340503692627,2.8708865642547607,4354.0,4609.0,5.898467063903809,-6.302353858947754,-0.004578040912747383,4610.0,4865.0,-1.5953682390659903e-15,5.428364696596466e-16,-1.4786533458023337e-15,260.0,5121.0,1.5491265058517456,-3.670621395111084,2.0172314643859863,5122.0,5377.0,-0.9127271771430969,1.9583778381347656,-0.2190367430448532,5378.0,5633.0,3.9653217792510986,-5.74245548248291,2.6802563667297363,5634.0,5889.0,2.4056728848152785e-15,-6.846378318430154e-16,4.686865172427355e-16,1280.0,1792.0,1.3909078263677215e-15,1.0624660365095382e-15,2.7530463904401874e-15,1280.0,3328.0,89.9939956665039,-76.28445434570312,-76.28535461425781
1689263601032697700,0,63601.03125,259.0,4097.0,3.692772150039673,1.862379789352417,3.911837339401245,4098.0,4353.0,-0.5417332649230957,8.901196479797363,2.980631113052368,4354.0,4609.0,5.929403781890869,-6.283182144165039,-0.008454958908259869,4610.0,4865.0,3.1788714523650792e-15,2.982192096078525e-15,5.312863283908869e-16,260.0,5121.0,1.3709871768951416,-3.743295669555664,2.058457374572754,5122.0,5377.0,-0.6761842966079712,1.9607219696044922,0.18830126523971558,5378.0,5633.0,3.9260361194610596,-5.999399185180664,2.9705495834350586,5634.0,5889.0,3.6420219740227974e-17,-1.6049141945024279e-15,-1.4957297417772172e-15,1280.0,1792.0,4.268813384798975e-16,-1.638023018344704e-15,-1.777322668718357e-15,1280.0,3328.0,89.99435424804688,-83.37638854980469,-83.3776626586914
1689263601066245200,0,63601.06640625,259.0,4097.0,3.672215223312378,2.014033317565918,3.883246421813965,4098.0,4353.0,-0.5250265002250671,9.13084888458252,3.114670991897583,4354.0,4609.0,5.953296661376953,-6.265986919403076,-0.006327877286821604,4610.0,4865.0,2.6958701841928645e-15,2.125114396860973e-15,1.3290471044056086e-15,260.0,5121.0,1.3019939661026,-3.938710927963257,2.014965772628784,5122.0,5377.0,-0.5312420129776001,1.6011526584625244,0.5443235635757446,5378.0,5633.0,3.9377317428588867,-5.917797088623047,3.176062822341919,5634.0,5889.0,-3.143402159457042e-15,-2.570455415527959e-16,-5.262790401836339e-16,1280.0,1792.0,-1.1796436215206325e-15,1.8448756638442558e-15,-4.030183292431553e-16,1280.0,3328.0,89.99469757080078,-101.3687973022461,-101.36968231201172
1689263601112498500,0,63601.109375,259.0,4097.0,3.595635175704956,2.2330868244171143,3.8655874729156494,4098.0,4353.0,-0.6518003344535828,9.275588989257812,3.2399487495422363,4354.0,4609.0,5.970165729522705,-6.25818395614624,0.004868060350418091,4610.0,4865.0,2.578978578680587e-15,8.095965262053836e-16,1.181695029439764e-15,260.0,5121.0,1.4169830083847046,-3.9360148906707764,1.8963292837142944,5122.0,5377.0,-0.5346237421035767,1.2691279649734497,0.6549637913703918,5378.0,5633.0,4.04417610168457,-6.089684963226318,3.07556414604187,5634.0,5889.0,-2.4412671150830356e-15,5.635865534058904e-16,1.4132624022743017e-15,1280.0,1792.0,-1.5308252813972783e-15,1.2412494924447402e-15,-1.2436925472228584e-15,1280.0,3328.0,89.99397277832031,-111.84235382080078,-111.84313201904297
1689263601142071800,0,63601.140625,259.0,4097.0,3.4918770790100098,2.446889638900757,3.833995819091797,4098.0,4353.0,-0.7819828987121582,9.347105026245117,3.2980377674102783,4354.0,4609.0,5.979260444641113,-6.254831314086914,-0.0014306774828583002,4610.0,4865.0,1.660869190998047e-15,6.751164933016074e-16,4.293468975337608e-18,260.0,5121.0,1.5712425708770752,-4.02004337310791,1.7364534139633179,5122.0,5377.0,-0.6280727386474609,0.835922122001648,0.5192968845367432,5378.0,5633.0,4.159509181976318,-5.985465049743652,2.8293869495391846,5634.0,5889.0,2.565230810430176e-15,-2.820478895129339e-15,-5.995318258907251e-16,1280.0,1792.0,7.780356550742148e-16,-1.833803884432458e-15,-6.000715976363629e-16,1280.0,3328.0,89.99340057373047,-115.14105987548828,-115.14131927490234
1689263601173774600,0,63601.171875,259.0,4097.0,3.3544740676879883,2.741438388824463,3.84197998046875,4098.0,4353.0,-0.8826473951339722,9.32172679901123,3.3602054119110107,4354.0,4609.0,6.000118732452393,-6.267050743103027,-0.03209276869893074,4610.0,4865.0,-1.4537669884164104e-15,-5.806315562221663e-16,-6.418308513315919e-16,260.0,5121.0,1.7288248538970947,-4.196385383605957,1.55937922000885,5122.0,5377.0,-0.7244147658348083,0.4830887019634247,0.30275264382362366,5378.0,5633.0,4.2559356689453125,-5.824010372161865,2.6322903633117676,5634.0,5889.0,2.079832015500758e-15,2.1848537248066874e-15,-9.23421448932127e-16,1280.0,1792.0,8.3479723869385675e-16,-4.036512746129911e-16,9.01940120980774e-18,1280.0,3328.0,89.9943618774414,-116.41529083251953,-116.4150619506836
