%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,field.t,field.steps
1685055870340724600,-9.287108239746093,1.7836802368164062,-3.3973721557617185,0.17557251908396945,-3.030534351145038,-0.12213740458015267,0.0,0.35948506991068524,55870.44662189484,3.0
1685055870391585000,-9.313444458007812,1.8291700683593748,-3.3782185424804685,0.32061068702290074,-3.3053435114503817,-0.48091603053435117,0.0,0.35948506991068524,55870.4677965641,3.0
1685055870391590300,-9.234435803222656,1.8124106567382812,-3.277662072753906,0.4198473282442748,-3.5419847328244276,-0.7633587786259542,0.0,0.35948506991068524,55870.49023580551,3.0
1685055870439832300,-9.236830004882812,1.9416975463867185,-3.323151904296875,0.022900763358778626,-3.4122137404580153,-0.7786259541984732,0.0,0.35948506991068524,55870.51251220703,3.0
1685055870439845300,-9.279925634765624,1.7405846069335937,-3.2321722412109373,0.7557251908396947,-3.1908396946564888,-0.648854961832061,0.0,0.35948506991068524,55870.533054828644,3.0
1685055870503298300,-9.26316622314453,1.8148048583984373,-3.2609026611328122,0.4122137404580153,-3.4198473282442747,-0.7862595419847328,0.0,0.35948506991068524,55870.55639338493,3.0
1685055870503316100,-9.315838659667968,1.649604943847656,-3.27526787109375,0.5648854961832062,-2.946564885496183,-0.7709923664122137,0.0,0.35948506991068524,55870.57781267166,3.0
1685055870503367100,-9.33978067626953,1.7501614135742187,-3.323151904296875,0.33587786259541985,-2.9236641221374047,-0.6259541984732825,0.0,0.35948506991068524,55870.60128283501,3.0
1685055870550940200,-9.234435803222656,1.68551796875,-3.296815686035156,0.42748091603053434,-2.8702290076335877,-0.20610687022900764,0.0,0.35948506991068524,55870.62283372879,3.0
1685055870550964300,-9.222464794921875,1.7286135986328124,-3.287238879394531,0.2366412213740458,-3.114503816793893,-0.1984732824427481,0.0,0.35948506991068524,55870.6455283165,3.0
1685055870598283600,-9.251195214843749,1.7525556152343749,-3.2441432495117186,-0.13740458015267176,-3.1603053435114505,-0.030534351145038167,0.0,0.35948506991068524,55870.66628456116,3.0
1685055870598288600,-9.284714038085937,1.7405846069335937,-3.5338416503906247,-0.22137404580152673,-3.8625954198473282,-0.20610687022900764,0.0,0.35948506991068524,55870.689265966415,3.0
1685055870646071800,-9.234435803222656,1.714248388671875,-3.4620156005859375,-1.9312977099236641,-4.183206106870229,-0.4122137404580153,0.0,0.35948506991068524,55870.70951485634,3.0
1685055870646128300,-9.208099584960937,1.9800047729492187,-3.5434184570312497,0.32061068702290074,-4.541984732824427,-0.9618320610687023,0.0,0.35948506991068524,55870.73252224922,3.0
1685055870646133700,-9.253589416503905,1.7932570434570312,-3.3542765258789062,0.549618320610687,-4.740458015267175,-1.0534351145038168,0.0,0.35948506991068524,55870.753286123276,3.0
1685055870695295500,-9.373299499511718,1.8459294799804686,-3.337517114257812,0.7480916030534351,-4.213740458015267,-1.2595419847328244,0.0,0.35948506991068524,55870.77488684654,3.0
1685055870695394700,-9.332598071289063,1.7956512451171873,-3.1651345947265623,0.9847328244274809,-3.519083969465649,-1.3435114503816794,0.0,0.35948506991068524,55870.798023462296,3.0
1685055870748305100,-9.299079248046874,1.7980454467773437,-3.114856359863281,0.7251908396946565,-2.9160305343511452,-1.3511450381679388,0.0,0.35948506991068524,55870.81901216507,3.0
1685055870748368200,-9.220070593261719,1.5682020874023437,-3.162740393066406,0.44274809160305345,-2.4580152671755724,-1.1297709923664123,0.0,0.35948506991068524,55870.841789484024,3.0
1685055870796132200,-9.241618408203124,1.8243816650390623,-3.284844677734375,0.31297709923664124,-2.1526717557251906,-0.8473282442748091,0.0,0.35948506991068524,55870.86250543594,3.0
1685055870796152500,-9.236830004882812,1.8052280517578123,-3.375824340820312,0.030534351145038167,-2.3893129770992365,-0.5343511450381679,0.0,0.35948506991068524,55870.88600945473,3.0
1685055870796179100,-9.296685046386719,1.7022773803710936,-3.4428619873046875,-0.3511450381679389,-2.9236641221374047,-0.3893129770992366,0.0,0.35948506991068524,55870.90631198883,3.0
