%time,field.mx,field.my,field.fz,field.t,Post E -Pre E,Avg of F,A/10^9 - E,Post H -Pre H,
1.67762E+18,-7,8,-29.4,1677303911,,0.009454232,-312187.5456,,0.009413906
1.67762E+18,-6,8,-29.4,1677303911,0.009379864,,-312187.5368,0.008739948,
1.67762E+18,-6,8,-27.44,1677303911,0.009420156,,-312187.5274,0.009410143,
1.67762E+18,-6,8,-29.4,1677303911,0.009399891,,-312187.518,0.009389639,
1.67762E+18,-7,8,-29.4,1677303911,0.009419918,,-312187.5086,0.009419918,
1.67762E+18,-7,8,-29.4,1677303911,0.009400129,,-312187.4992,0.009400129,
1.67762E+18,-7,8,-29.4,1677303911,0.009419918,,-312187.4898,0.009409904,
1.67762E+18,-7,8,-29.4,1677303911,0.009439945,,-312187.4804,0.009439945,
1.67762E+18,-7,8,-29.4,1677303911,0.009400129,,-312187.471,0.009390116,
1.67762E+18,-6,9,-29.4,1677303911,0.009419918,,-312187.4616,0.009419918,
1.67762E+18,-6,8,-29.4,1677303911,0.00970006,,-312187.4521,0.009410381,
1.67762E+18,-7,8,-29.4,1677303911,0.009459972,,-312187.4427,0.009459972,
1.67762E+18,-6,8,-27.44,1677303911,0.009429932,,-312187.4333,0.00941968,
1.67762E+18,-6,8,-29.4,1677303911,0.009420156,,-312187.4238,0.009420156,
1.67762E+18,-6,8,-29.4,1677303911,0.009469986,,-312187.4144,0.009469986,
1.67762E+18,-6,8,-29.4,1677303911,0.009419918,,-312187.405,0.009409904,
1.67762E+18,-7,8,-29.4,1677303911,0.009390116,,-312187.3956,0.009390116,
1.67762E+18,-7,8,-29.4,1677303911,0.009389877,,-312187.3862,0.009379864,
1.67762E+18,-7,8,-29.4,1677303911,0.009629965,,-312187.3766,0.009629965,
1.67762E+18,-6,8,-31.36,1677303911,0.009819984,,-312187.3668,0.009809971,
1.67762E+18,-7,8,-29.4,1677303911,0.00948,,-312187.3573,0.009469986,
1.67762E+18,-7,8,-29.4,1677303911,0.009400129,,-312187.3479,0.009400129,
1.67762E+18,-6,8,-29.4,1677303911,0.009439945,,-312187.3384,0.00943017,
1.67762E+18,-7,8,-27.44,1677303911,0.009399891,,-312187.3291,0.009399891,
1.67762E+18,-6,8,-27.44,1677303911,0.00943017,,,,
1.67762E+18,-6,8,-27.44,1677303911,0.009409904,,,,
1.67762E+18,-6,8,-27.44,1677303911,0.009420156,,,,
1.67762E+18,-6,8,-29.4,1677303911,0.009409904,,,,
1.67762E+18,-7,8,-29.4,1677303911,0.009589911,,,,
1.67762E+18,-6,9,-29.4,1677303911,0.009720087,,,,
