%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
1677616065315853600,0.79150390625,-0.230224609375,-0.79345703125,-0.061068702290076333,-0.2900763358778626,-0.11450381679389313,0.0,1677303878.099407
1677616065315922700,0.798583984375,-0.227783203125,-0.795654296875,-0.061068702290076333,-0.31297709923664124,-0.09923664122137404,0.0,1677303878.1097665
1677616065315942200,0.7890625,-0.23193359375,-0.79345703125,-0.07633587786259542,-0.31297709923664124,-0.11450381679389313,0.0,1677303878.119516
1677616065315958800,0.7978515625,-0.227783203125,-0.798828125,-0.08396946564885496,-0.31297709923664124,-0.07633587786259542,0.0,1677303878.1296449
1677616065315972300,0.80078125,-0.22998046875,-0.790283203125,-0.07633587786259542,-0.2900763358778626,-0.07633587786259542,0.0,1677303878.139771
1677616065315983300,0.799072265625,-0.2314453125,-0.7978515625,-0.0916030534351145,-0.2900763358778626,-0.10687022900763359,0.0,1677303878.1499844
1677616065375950800,0.79638671875,-0.228759765625,-0.795654296875,-0.07633587786259542,-0.2824427480916031,-0.06870229007633588,0.0,1677303878.1601076
1677616065375970300,0.792236328125,-0.2275390625,-0.79736328125,-0.061068702290076333,-0.2824427480916031,-0.10687022900763359,0.0,1677303878.169861
1677616065375974100,0.79443359375,-0.230712890625,-0.796142578125,-0.06870229007633588,-0.29770992366412213,-0.10687022900763359,0.0,1677303878.1794276
1677616065375980900,0.794921875,-0.231689453125,-0.7919921875,-0.06870229007633588,-0.31297709923664124,-0.08396946564885496,0.0,1677303878.1898937
1677616065375984300,0.79150390625,-0.228271484375,-0.79345703125,-0.0916030534351145,-0.31297709923664124,-0.0916030534351145,0.0,1677303878.200216
1677616065376107000,0.79541015625,-0.2314453125,-0.79541015625,-0.09923664122137404,-0.2824427480916031,-0.0916030534351145,0.0,1677303878.2103162
1677616065438299700,0.792236328125,-0.2265625,-0.796630859375,-0.0916030534351145,-0.3053435114503817,-0.09923664122137404,0.0,1677303878.2195344
1677616065438331200,0.8017578125,-0.228271484375,-0.798095703125,-0.0916030534351145,-0.2824427480916031,-0.07633587786259542,0.0,1677303878.229466
