%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
1677616095392389900,0.801025390625,-0.1962890625,-0.81005859375,-0.08396946564885496,-0.2900763358778626,-0.0916030534351145,0.0,1677303907.5841646
1677616095392395300,0.784912109375,-0.193359375,-0.8125,-0.0916030534351145,-0.3053435114503817,-0.08396946564885496,0.0,1677303907.59031
1677616095392401000,0.794677734375,-0.19873046875,-0.807373046875,-0.0916030534351145,-0.2900763358778626,-0.09923664122137404,0.0,1677303907.5992055
1677616095392406700,0.789306640625,-0.190185546875,-0.81689453125,-0.09923664122137404,-0.2900763358778626,-0.08396946564885496,0.0,1677303907.6089013
1677616095392413100,0.78955078125,-0.19677734375,-0.81396484375,-0.06870229007633588,-0.2748091603053435,-0.09923664122137404,0.0,1677303907.6190171
1677616095392547000,0.79052734375,-0.190185546875,-0.800048828125,-0.09923664122137404,-0.2900763358778626,-0.09923664122137404,0.0,1677303907.628944
1677616095392558700,0.79443359375,-0.192626953125,-0.82666015625,-0.08396946564885496,-0.2824427480916031,-0.0916030534351145,0.0,1677303907.6388915
1677616095392568400,0.793701171875,-0.19091796875,-0.807373046875,-0.09923664122137404,-0.2900763358778626,-0.0916030534351145,0.0,1677303907.6489294
1677616095392574100,0.79052734375,-0.192626953125,-0.826171875,-0.07633587786259542,-0.29770992366412213,-0.08396946564885496,0.0,1677303907.6588356
1677616095392602000,0.7919921875,-0.2001953125,-0.800048828125,-0.09923664122137404,-0.2748091603053435,-0.08396946564885496,0.0,1677303907.6688309
1677616095392606800,0.795654296875,-0.189697265625,-0.81298828125,-0.08396946564885496,-0.29770992366412213,-0.0916030534351145,0.0,1677303907.6788762
1677616095392611400,0.794189453125,-0.1943359375,-0.807861328125,-0.08396946564885496,-0.29770992366412213,-0.061068702290076333,0.0,1677303907.6888704
1677616095392616800,0.796630859375,-0.190673828125,-0.82275390625,-0.08396946564885496,-0.2748091603053435,-0.09923664122137404,0.0,1677303907.6989775
1677616095392622100,0.79345703125,-0.200927734375,-0.812744140625,-0.07633587786259542,-0.2900763358778626,-0.07633587786259542,0.0,1677303907.7089803
1677616095392626800,0.79541015625,-0.192138671875,-0.811279296875,-0.08396946564885496,-0.2748091603053435,-0.08396946564885496,0.0,1677303907.7188988
1677616095392631300,0.790283203125,-0.187744140625,-0.804443359375,-0.0916030534351145,-0.26717557251908397,-0.10687022900763359,0.0,1677303907.7288973
1677616095392635700,0.79345703125,-0.188720703125,-0.809326171875,-0.0916030534351145,-0.2900763358778626,-0.08396946564885496,0.0,1677303907.7388859
1677616095392639900,0.796875,-0.1904296875,-0.80810546875,-0.08396946564885496,-0.2748091603053435,-0.061068702290076333,0.0,1677303907.7489955
1677616095392644300,0.784912109375,-0.191162109375,-0.81103515625,-0.05343511450381679,-0.2595419847328244,-0.0916030534351145,0.0,1677303907.7590425
1677616095392648500,0.78515625,-0.1953125,-0.8154296875,-0.10687022900763359,-0.25190839694656486,-0.10687022900763359,0.0,1677303907.7691045
1677616095392653300,0.7890625,-0.192138671875,-0.8056640625,-0.08396946564885496,-0.3053435114503817,-0.07633587786259542,0.0,1677303907.7788584
1677616095392657600,0.7978515625,-0.201416015625,-0.804931640625,-0.0916030534351145,-0.2824427480916031,-0.08396946564885496,0.0,1677303907.7889657
1677616095392661900,0.7890625,-0.192138671875,-0.80859375,-0.06870229007633588,-0.2595419847328244,-0.09923664122137404,0.0,1677303907.7989395
1677616095392694300,0.793212890625,-0.1923828125,-0.813720703125,-0.07633587786259542,-0.26717557251908397,-0.0916030534351145,0.0,1677303907.80906
1677616095392706900,0.795166015625,-0.19580078125,-0.81884765625,-0.08396946564885496,-0.2824427480916031,-0.06870229007633588,0.0,1677303907.8189034
1677616095392714500,0.791748046875,-0.193359375,-0.803466796875,-0.06870229007633588,-0.2748091603053435,-0.10687022900763359,0.0,1677303907.828938
1677616095392720900,0.794677734375,-0.193603515625,-0.807373046875,-0.07633587786259542,-0.2748091603053435,-0.08396946564885496,0.0,1677303907.8415668
1677616095392793900,0.791259765625,-0.19091796875,-0.80908203125,-0.08396946564885496,-0.2900763358778626,-0.09923664122137404,0.0,1677303907.8510551
1677616095392824700,0.791259765625,-0.19091796875,-0.815185546875,-0.07633587786259542,-0.31297709923664124,-0.0916030534351145,0.0,1677303907.8599908
1677616095392830300,0.7890625,-0.189697265625,-0.81884765625,-0.08396946564885496,-0.29770992366412213,-0.09923664122137404,0.0,1677303907.8694205
1677616095392865800,0.79150390625,-0.192138671875,-0.80615234375,-0.0916030534351145,-0.2900763358778626,-0.0916030534351145,0.0,1677303907.8793619
1677616095392871500,0.78125,-0.1943359375,-0.819580078125,-0.061068702290076333,-0.3053435114503817,-0.09923664122137404,0.0,1677303907.88917
1677616095392877500,0.791748046875,-0.19775390625,-0.81591796875,-0.07633587786259542,-0.29770992366412213,-0.0916030534351145,0.0,1677303907.9010684
1677616095392882100,0.790283203125,-0.198486328125,-0.820068359375,-0.07633587786259542,-0.2824427480916031,-0.10687022900763359,0.0,1677303907.9094195
1677616095392887200,0.781982421875,-0.195556640625,-0.805908203125,-0.07633587786259542,-0.2900763358778626,-0.07633587786259542,0.0,1677303907.9191744
1677616095392891700,0.790283203125,-0.1982421875,-0.818359375,-0.06870229007633588,-0.2595419847328244,-0.0916030534351145,0.0,1677303907.929086
