%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
1677611551313831700,0.487060546875,-0.13427734375,-1.059326171875,-0.08396946564885496,-0.2595419847328244,-0.0916030534351145,0.0,1677299405.2696748
1677611551313850100,0.491455078125,-0.130859375,-1.066650390625,-0.10687022900763359,-0.31297709923664124,-0.0916030534351145,0.0,1677299405.279625
1677611551313905900,0.497314453125,-0.12646484375,-1.066650390625,-0.08396946564885496,-0.2900763358778626,-0.1297709923664122,0.0,1677299405.2896063
1677611551313936500,0.493408203125,-0.131103515625,-1.07373046875,-0.0916030534351145,-0.26717557251908397,-0.09923664122137404,0.0,1677299405.2995968
1677611551313990000,0.487060546875,-0.131591796875,-1.07177734375,-0.10687022900763359,-0.2824427480916031,-0.09923664122137404,0.0,1677299405.3097546
1677611551314002900,0.476806640625,-0.131103515625,-1.06103515625,-0.08396946564885496,-0.26717557251908397,-0.11450381679389313,0.0,1677299405.3199627
1677611551370602300,0.4892578125,-0.1298828125,-1.068115234375,-0.0916030534351145,-0.24427480916030533,-0.0916030534351145,0.0,1677299405.3295665
1677611551370643900,0.48876953125,-0.132568359375,-1.07373046875,-0.10687022900763359,-0.2595419847328244,-0.08396946564885496,0.0,1677299405.3395567
1677611551370659600,0.487060546875,-0.136474609375,-1.066650390625,-0.07633587786259542,-0.26717557251908397,-0.11450381679389313,0.0,1677299405.3495343
1677611551370667400,0.48828125,-0.112548828125,-1.067138671875,-0.09923664122137404,-0.25190839694656486,-0.09923664122137404,0.0,1677299405.3595757
1677611551370719900,0.48974609375,-0.130615234375,-1.06884765625,-0.10687022900763359,-0.29770992366412213,-0.07633587786259542,0.0,1677299405.3695393
1677611551423838300,0.488037109375,-0.127685546875,-1.0703125,-0.09923664122137404,-0.2900763358778626,-0.08396946564885496,0.0,1677299405.3805819
1677611551423878600,0.487548828125,-0.134765625,-1.071044921875,-0.08396946564885496,-0.2900763358778626,-0.05343511450381679,0.0,1677299405.3897095
1677611551423906700,0.48681640625,-0.116943359375,-1.06494140625,-0.08396946564885496,-0.3053435114503817,-0.0916030534351145,0.0,1677299405.3995526
1677611551423942600,0.494140625,-0.134521484375,-1.0703125,-0.10687022900763359,-0.3053435114503817,-0.0916030534351145,0.0,1677299405.4095457
1677611551423979400,0.490234375,-0.1357421875,-1.061767578125,-0.09923664122137404,-0.26717557251908397,-0.0916030534351145,0.0,1677299405.4195428
