%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,field.t,field.steps
1689263455104957700,-9.119514123535156,2.039859814453125,-1.2641384765625,1.8778625954198473,-1.3969465648854962,5.114503816793893,0.0,0.26650063196818036,63454.962180137634,256.0
1689263455104975200,-9.332598071289063,2.0446482177734375,-1.8315642700195311,-2.2595419847328246,-0.9236641221374046,6.549618320610687,0.0,0.26650063196818036,63454.98239803314,256.0
1689263455172754200,-9.251195214843749,2.214636535644531,-2.4971523315429685,-5.32824427480916,-3.427480916030534,8.17557251908397,0.0,0.26650063196818036,63455.006361961365,256.0
1689263455172770700,-9.423577734375,2.27927998046875,-2.3678654418945313,-2.099236641221374,-6.183206106870229,8.450381679389313,0.0,0.26650063196818036,63455.02651309967,256.0
1689263455172778400,-9.349357482910156,2.9041666137695312,-2.916137622070312,-2.1755725190839694,-9.900763358778626,5.916030534351145,0.0,0.26650063196818036,63455.05046629906,256.0
1689263455172789500,-9.277531433105468,3.1747114013671873,-2.492363928222656,-1.5648854961832062,-11.870229007633588,2.5267175572519083,0.0,0.26650063196818036,63455.07074165344,256.0
1689263455229391700,-9.14824454345703,3.337517114257812,-1.8770541015625,-0.9847328244274809,-13.0,-2.015267175572519,0.0,0.26650063196818036,63455.094138383865,256.0
1689263455229410100,-9.253589416503905,3.5218706420898434,-1.2952630981445312,-0.25190839694656486,-11.007633587786259,-7.442748091603053,0.0,0.26650063196818036,63455.115236759186,256.0
1689263455229421000,-9.203311181640624,4.139574670410156,-1.2425906616210938,0.08396946564885496,-8.778625954198473,-15.335877862595419,0.0,0.26650063196818036,63455.13538479805,256.0
1689263455316232700,-9.303867651367186,4.537012145996093,-1.39821376953125,1.2213740458015268,-7.534351145038168,-28.236641221374047,0.0,0.26650063196818036,63455.16059923172,256.0
1689263455316245600,-9.366116894531249,4.934449621582031,-2.085349645996094,3.030534351145038,-8.618320610687023,-38.603053435114504,0.0,0.26650063196818036,63455.18161249161,256.0
1689263455316249300,-9.600748657226562,5.044582897949218,-2.2290017456054687,4.732824427480916,-9.549618320610687,-47.603053435114504,0.0,0.26650063196818036,63455.20490694046,256.0
1689263455316258800,-10.510545288085936,5.269637854003906,-2.877830395507812,8.358778625954198,-13.16030534351145,-53.94656488549618,0.0,0.26650063196818036,63455.22558116913,256.0
1689263455368103800,-10.17056865234375,6.349422802734375,-2.7437551025390623,3.885496183206107,-17.53435114503817,-68.06870229007633,0.0,0.26650063196818036,63455.249438524246,256.0
1689263455368109300,-9.320627062988281,4.261678955078125,-2.2481553588867187,6.030534351145038,-17.396946564885496,-77.5114503816794,0.0,0.26650063196818036,63455.269906282425,256.0
1689263455432490300,-10.484209069824217,3.845087866210937,-2.252943762207031,9.0,-21.435114503816795,-82.07633587786259,0.0,0.26650063196818036,63455.29418182373,256.0
1689263455432497000,-9.981426721191406,3.526659045410156,-2.1021090576171875,9.030534351145038,-25.396946564885496,-85.97709923664122,0.0,0.26650063196818036,63455.314601659775,256.0
1689263455432584200,-9.828197814941406,2.3415292236328122,-2.1978771240234374,5.145038167938932,-28.603053435114504,-82.64885496183206,0.0,0.26650063196818036,63455.33747649193,256.0
1689263455541701500,-10.041281762695311,-0.6967126831054687,-2.0374656127929685,4.190839694656488,-32.274809160305345,-57.52671755725191,0.0,0.26650063196818036,63455.358984947205,256.0
1689263455541712800,-8.98304462890625,0.12210428466796874,-2.176329309082031,-7.465648854961832,-26.66412213740458,-35.61068702290076,0.0,0.26650063196818036,63455.37962579727,256.0
1689263455541716300,-7.7596075805664055,0.7709329345703124,-0.689530078125,-4.152671755725191,-28.66412213740458,-8.106870229007633,0.0,0.26650063196818036,63455.402611494064,256.0
1689263455608560000,-7.989450939941406,-0.40462008056640625,-1.2018892333984375,-0.8244274809160306,-26.870229007633586,17.702290076335878,0.0,0.26650063196818036,63455.42388319969,256.0
1689263455608576800,-7.094019519042968,0.1580173095703125,-1.5682020874023437,6.290076335877862,-20.19083969465649,39.74045801526717,1.0,0.26650063196818036,63455.446331977844,256.0
1689263455608591200,-7.012616662597656,1.1420341918945311,-1.5562310791015623,5.00763358778626,-13.15267175572519,52.85496183206107,1.0,0.26650063196818036,63455.466727256775,256.0
1689263455608600800,-8.027758166503906,1.7956512451171873,-1.697488977050781,0.030534351145038167,-4.580152671755725,60.541984732824424,1.0,0.26650063196818036,63455.4901342392,256.0
1689263455608764700,-7.805097412109374,1.1731588134765625,-1.5466542724609373,1.4732824427480915,4.106870229007634,65.69465648854961,1.0,0.26650063196818036,63455.51012945175,256.0
1689263455719358800,-8.525752111816406,1.6998831787109374,-2.0159177978515626,-6.931297709923665,15.473282442748092,67.06106870229007,1.0,0.26650063196818036,63455.53387236595,256.0
1689263455719399200,-8.149862451171874,2.142810485839844,-1.8411410766601561,-21.80916030534351,26.19083969465649,68.00763358778626,1.0,0.26650063196818036,63455.55424451828,256.0
1689263455719413100,-8.128314636230469,2.166752502441406,-1.7477672119140624,-33.00763358778626,35.52671755725191,67.78625954198473,1.0,0.26650063196818036,63455.575092077255,256.0
1689263455719440000,-8.169016064453125,2.5809493896484375,-2.0350714111328125,-44.908396946564885,43.0763358778626,66.32824427480917,1.0,0.26650063196818036,63455.5980887413,256.0
1689263455774636700,-8.494627490234375,2.418143676757812,-2.1116858642578125,-53.11450381679389,47.63358778625954,65.38931297709924,1.0,0.26650063196818036,63455.619862794876,256.0
1689263455774653100,-9.011775048828124,2.4779987182617185,-2.3415292236328122,-59.267175572519086,49.267175572519086,65.31297709923665,1.0,0.26650063196818036,63455.642379283905,256.0
1689263455774657100,-9.572018237304688,2.1835119140624997,-2.602497204589844,-62.465648854961835,48.44274809160305,65.9618320610687,1.0,0.26650063196818036,63455.662801742554,256.0
1689263455841714800,-10.002974536132811,1.9776105712890624,-2.6958710693359373,-62.541984732824424,46.62595419847328,66.38167938931298,1.0,0.26650063196818036,63455.68633580208,256.0
1689263455841731500,-9.943119494628906,2.0733786376953125,-2.7533319091796873,-60.656488549618324,44.14503816793893,65.48091603053435,1.0,0.26650063196818036,63455.70721578598,256.0
1689263455841738500,-9.6917283203125,1.7022773803710936,-2.327164013671875,-55.80152671755725,43.29770992366412,63.6412213740458,1.0,0.26650063196818036,63455.730416059494,256.0
1689263455841741900,-9.698910925292969,2.138022082519531,-2.3918074584960936,-47.36641221374046,40.81679389312977,59.18320610687023,1.0,0.26650063196818036,63455.750492572784,256.0
1689263455926471400,-9.770736975097655,2.128445275878906,-2.2098481323242187,-38.282442748091604,36.82442748091603,55.29770992366412,1.0,0.26650063196818036,63455.77462911606,256.0
1689263455926487300,-9.840168823242188,2.2194249389648437,-2.2170307373046874,-29.427480916030536,31.328244274809162,50.06870229007634,1.0,0.26650063196818036,63455.79453396797,256.0
1689263455993830400,-9.744400756835937,2.408566870117187,-2.0159177978515626,-21.267175572519083,26.259541984732824,44.32824427480916,1.0,0.26650063196818036,63455.81472373009,256.0
1689263455993840500,-9.399635717773437,2.461239306640625,-2.142810485839844,-13.877862595419847,22.198473282442748,39.16793893129771,1.0,0.26650063196818036,63455.83791708946,256.0
1689263455993842000,-9.042899670410156,2.8993782104492185,-1.8938135131835936,-9.435114503816793,19.35114503816794,31.770992366412212,1.0,0.26650063196818036,63455.85792136192,256.0
1689263455993843200,-8.8489693359375,3.2058360229492187,-1.9752163696289062,-9.32824427480916,17.206106870229007,23.366412213740457,1.0,0.26650063196818036,63455.88138771057,256.0
1689263455993847900,-8.382100012207031,3.299209887695312,-1.7166425903320313,-9.404580152671755,17.366412213740457,11.488549618320612,0.0,0.28876765569051105,63455.9024477005,257.0
1689263456052334400,-8.279149340820313,3.1651345947265623,-1.7453730102539062,-9.320610687022901,17.236641221374047,2.1297709923664123,0.0,0.28876765569051105,63455.92661547661,257.0
1689263456052447700,-8.480262280273436,2.9759926635742184,-1.9608511596679685,-8.267175572519085,15.030534351145038,-3.5572519083969465,0.0,0.28876765569051105,63455.94735646248,257.0
1689263456136557600,-9.045293872070312,2.863465185546875,-2.4444798950195312,-5.282442748091603,11.595419847328245,-10.893129770992367,0.0,0.28876765569051105,63455.97085976601,257.0
1689263456136578100,-10.026916552734374,2.81558115234375,-3.342305517578125,0.20610687022900764,6.114503816793893,-19.374045801526716,0.0,0.28876765569051105,63455.992100954056,257.0
1689263456136583000,-9.65342109375,2.2768857788085937,-2.990357873535156,10.580152671755725,6.106870229007634,-26.297709923664122,0.0,0.28876765569051105,63456.01238441467,257.0
1689263456136593300,-8.535328918457031,2.090138049316406,-2.9544448486328125,20.786259541984734,5.244274809160306,-36.36641221374046,0.0,0.28876765569051105,63456.034979104996,257.0
1689263456188265700,-7.785943798828124,1.8195932617187498,-2.3032219970703123,30.366412213740457,6.0458015267175576,-41.06106870229008,0.0,0.28876765569051105,63456.05519032478,257.0
1689263456188280000,-15.998055493164062,9.543287817382812,-0.9217676391601562,-27.916030534351144,-39.091603053435115,-54.29770992366412,0.0,0.28876765569051105,63456.078107595444,257.0
1689263456188283500,-6.825868933105468,-1.1228805786132812,2.3870190551757813,-42.93893129770992,-14.740458015267176,-48.770992366412216,0.0,0.28876765569051105,63456.09839510918,257.0
1689263456236239100,-5.351040710449219,6.804321118164062,-3.1124621582031247,-48.42748091603053,-5.854961832061068,-55.229007633587784,0.0,0.28876765569051105,63456.1223590374,257.0
1689263456236245800,-6.256048937988281,2.1978771240234374,-1.3862427612304686,-63.93129770992366,-0.7404580152671756,-58.41984732824427,0.0,0.28876765569051105,63456.143001794815,257.0
1689263456300559800,-19.46485949707031,-12.926294763183593,-6.179434484863281,5.6106870229007635,-22.061068702290076,-42.70229007633588,0.0,0.28876765569051105,63456.167665958405,257.0
1689263456300571200,-7.960720520019531,7.0461354858398435,-6.852205151367187,10.419847328244275,-5.175572519083969,-45.152671755725194,0.0,0.28876765569051105,63456.18811130524,257.0
1689263456300575500,-9.667786303710937,1.6543933471679686,-3.1699229980468746,12.389312977099237,-20.916030534351144,-40.93893129770992,0.0,0.28876765569051105,63456.20836305618,257.0
1689263456356173700,-9.423577734375,1.2785036865234374,2.4588451049804685,8.801526717557252,-19.625954198473284,-32.61832061068702,0.0,0.28876765569051105,63456.23236513138,257.0
1689263456356182400,-9.112331518554686,2.8658593872070313,0.06703764648437499,-1.6870229007633588,-6.0534351145038165,-28.671755725190838,0.0,0.28876765569051105,63456.25361585617,257.0
1689263456408697000,-8.82263311767578,1.350329736328125,-2.128445275878906,-1.3206106870229009,1.4580152671755726,-17.427480916030536,0.0,0.28876765569051105,63456.27936577797,257.0
1689263456408708700,-9.495403784179686,1.5682020874023437,-3.77326181640625,5.190839694656488,-3.2213740458015265,-12.511450381679388,0.0,0.28876765569051105,63456.30074906349,257.0
1689263456472733500,-9.265560424804686,2.3056161987304686,-4.029441394042968,-0.5877862595419847,-7.435114503816794,-11.854961832061068,0.0,0.28876765569051105,63456.32424521446,257.0
1689263456472739900,-9.212887988281249,1.9512743530273435,-3.3303345092773435,0.2824427480916031,-11.694656488549619,-8.595419847328245,0.0,0.28876765569051105,63456.34539413452,257.0
1689263456472757600,-9.294290844726563,2.2768857788085937,-2.81558115234375,4.541984732824427,-12.755725190839694,-9.381679389312977,0.0,0.28876765569051105,63456.368613004684,257.0
1689263456536253600,-9.229647399902344,2.8131869506835936,-2.1547814941406247,4.221374045801527,-13.122137404580153,-12.229007633587786,0.0,0.28876765569051105,63456.388877391815,257.0
1689263456536280300,-9.203311181640624,2.806004345703125,-1.924938134765625,3.854961832061069,-13.251908396946565,-14.458015267175572,0.0,0.28876765569051105,63456.41302061081,257.0
1689263456536284000,-9.291896643066405,2.5809493896484375,-2.39420166015625,3.4885496183206106,-14.01526717557252,-15.312977099236642,0.0,0.28876765569051105,63456.433197021484,257.0
1689263456592826700,-9.311050256347656,2.1619640991210938,-2.786850732421875,3.763358778625954,-15.748091603053435,-16.87786259541985,0.0,0.28876765569051105,63456.45769047737,257.0
1689263456592832600,-9.414000927734374,2.39420166015625,-3.071760729980469,2.1908396946564888,-18.84732824427481,-18.51145038167939,0.0,0.28876765569051105,63456.47736644745,257.0
1689263456592837500,-9.428366137695312,2.4947581298828125,-3.229778039550781,1.8244274809160306,-21.954198473282442,-19.984732824427482,0.0,0.28876765569051105,63456.497478723526,257.0
1689263456664251600,-9.327809667968749,2.2649147705078123,-2.9041666137695312,2.717557251908397,-25.885496183206108,-21.442748091603054,0.0,0.28876765569051105,63456.52189517021,257.0
1689263456664254300,-9.255983618164063,2.24097275390625,-2.3630770385742186,5.801526717557252,-28.251908396946565,-22.587786259541986,0.0,0.28876765569051105,63456.54244971275,257.0
1689263456664262500,-9.313444458007812,2.1835119140624997,-2.109291662597656,3.2061068702290076,-28.954198473282442,-25.17557251908397,0.0,0.28876765569051105,63456.564381837845,257.0
1689263456712221700,-9.258377819824219,2.592920397949219,-1.7094599853515624,1.1374045801526718,-28.740458015267176,-28.03053435114504,0.0,0.28876765569051105,63456.58461737633,257.0
1689263456712225900,-9.330203869628905,2.300827795410156,-1.5298948608398437,3.885496183206107,-28.396946564885496,-30.595419847328245,0.0,0.28876765569051105,63456.61160469055,257.0
1689263456760302200,-9.397241516113281,2.2744915771484373,-1.4700398193359374,3.1603053435114505,-27.221374045801525,-32.908396946564885,0.0,0.28876765569051105,63456.631638765335,257.0
1689263456760305500,-9.555258825683593,2.133233679199219,-1.5203180541992187,2.3893129770992365,-25.66412213740458,-33.6793893129771,0.0,0.28876765569051105,63456.656094789505,257.0
1689263456820726500,-9.900023864746093,1.867477294921875,-1.3096283081054687,1.6717557251908397,-24.748091603053435,-33.89312977099237,0.0,0.28876765569051105,63456.67662644386,257.0
1689263456820745500,-10.292672937011718,2.9664158569335934,-2.3870190551757813,0.7709923664122137,-26.14503816793893,-37.48091603053435,0.0,0.28876765569051105,63456.6978623867,257.0
1689263456820763100,-10.541669909667968,1.8004396484374998,-3.7612908081054686,15.061068702290076,-28.83206106870229,-37.25954198473283,0.0,0.28876765569051105,63456.71812939644,257.0
1689263456879634600,-11.008539233398437,5.947196923828125,-2.806004345703125,13.16793893129771,-37.404580152671755,-50.93893129770992,0.0,0.28876765569051105,63456.73914527893,257.0
1689263456879636900,-9.993397729492187,3.6104561035156246,-1.8411410766601561,12.648854961832061,-39.0,-65.63358778625954,0.0,0.28876765569051105,63456.76436829567,257.0
1689263456879665500,-10.54645831298828,2.2864625854492187,-1.0606313354492187,10.412213740458014,-44.58015267175573,-74.86259541984732,0.0,0.28876765569051105,63456.78438401222,257.0
1689263456929076600,-10.773907470703124,2.93050283203125,-2.0757728393554684,9.50381679389313,-46.587786259541986,-84.81679389312977,0.0,0.28876765569051105,63456.808170080185,257.0
1689263456929084300,-10.13226142578125,2.020706201171875,-1.8722656982421875,13.763358778625955,-47.465648854961835,-92.47328244274809,0.0,0.28876765569051105,63456.82804727554,257.0
1689263456992339500,-9.926360083007811,1.5251064575195312,-1.5921441040039062,20.65648854961832,-49.61832061068702,-98.22900763358778,0.0,0.28876765569051105,63456.85239100456,257.0
1689263456992359100,-10.058041174316406,1.2976572998046874,-1.5801730957031248,30.221374045801525,-52.98473282442748,-104.64885496183206,0.0,0.28876765569051105,63456.87300300598,257.0
1689263456992361600,-10.120290417480469,1.0821791503906248,-1.687912170410156,33.32824427480916,-57.2442748091603,-110.6412213740458,0.0,0.28876765569051105,63456.8953974247,257.0
1689263457052411200,-10.390835205078124,-0.15083470458984374,-1.0797849487304687,37.35114503816794,-58.80916030534351,-113.19083969465649,0.0,0.28876765569051105,63456.91662478447,257.0
1689263457052415300,-10.08677159423828,-3.009511486816406,-0.6560112548828124,42.656488549618324,-57.091603053435115,-100.61832061068702,0.0,0.28876765569051105,63456.936974048615,257.0
