%time,field.mx,field.my,field.fz,field.t,,time dif
1.67694E+18,132,168,166.6,1676941259,1.663480043,0.041210175
1.67694E+18,136,170,166.6,1676941259,1.663789988,0.000309944
1.67694E+18,138,172,176.4,1676941259,1.663949966,0.000159979
1.67694E+18,138,171,182.28,1676941259,1.674669981,0.010720015
1.67694E+18,143,177,186.2,1676941259,1.674900055,0.000230074
1.67694E+18,147,180,199.92,1676941259,1.72262001,0.047719955
1.67694E+18,148,181,207.76,1676941259,1.722899914,0.000279903
1.67694E+18,152,185,213.64,1676941259,1.728329897,0.005429983
1.67694E+18,159,190,221.48,1676941259,1.728479862,0.000149965
1.67694E+18,166,196,233.24,1676941259,1.76128006,0.032800198
1.67694E+18,169,199,246.96,1676941259,1.761669874,0.000389814
1.67694E+18,173,204,254.8,1676941259,1.761929989,0.000260115
1.67694E+18,179,210,264.6,1676941259,1.762170076,0.000240088
1.67694E+18,184,215,276.36,1676941259,1.809380054,0.047209978
1.67694E+18,192,221,282.24,1676941259,1.80982995,0.000449896
1.67694E+18,194,222,297.92,1676941259,1.810639858,0.000809908
1.67694E+18,199,226,301.84,1676941259,1.810930014,0.000290155
1.67694E+18,205,230,303.8,1676941259,1.858789921,0.047859907
1.67694E+18,205,230,313.6,1676941259,1.859220028,0.000430107
1.67694E+18,209,233,315.56,1676941259,1.859600067,0.000380039
1.67694E+18,213,236,317.52,1676941259,1.860569954,0.000969887
1.67694E+18,215,238,325.36,1676941259,1.86097002,0.000400066
1.67694E+18,212,236,329.28,1676941259,1.861579895,0.000609875
1.67694E+18,214,239,327.32,1676941259,1.907389879,0.045809984
1.67694E+18,218,240,329.28,1676941259,1.907899857,0.000509977
1.67694E+18,221,239,339.08,1676941259,1.908139944,0.000240088
1.67694E+18,221,238,341.04,1676941259,1.908590078,0.000450134
1.67694E+18,224,240,339.08,1676941259,1.908949852,0.000359774
1.67694E+18,220,236,346.92,1676941259,1.955940008,0.046990156
1.67694E+18,220,236,344.96,1676941259,1.956609964,0.000669956
1.67694E+18,222,235,341.04,1676941259,1.957099915,0.00048995
1.67694E+18,220,231,346.92,1676941259,1.957639933,0.000540018
1.67694E+18,217,230,343,1676941259,2.004829884,0.047189951
1.67694E+18,218,229,337.12,1676941259,2.01067996,0.005850077
1.67694E+18,216,227,333.2,1676941259,2.011009932,0.000329971
1.67694E+18,213,224,327.32,1676941259,2.011739969,0.000730038
1.67694E+18,208,219,323.4,1676941259,2.05325985,0.04151988
1.67694E+18,206,216,311.64,1676941259,2.05366993,0.00041008
