%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,,time dif
1.67694E+18,-0.964355469,0.000244141,-0.196044922,-0.122137405,-0.099236641,-0.13740458,0,1676941257,0,
1.67694E+18,-0.954345703,0.012207031,-0.203125,-0.13740458,-0.099236641,-0.129770992,0,1676941257,0.010200024,0.010200024
1.67694E+18,-0.978759766,0.001708984,-0.198242188,-0.122137405,-0.076335878,-0.13740458,0,1676941257,0.01996994,0.009769917
1.67694E+18,-0.962158203,0.003173828,-0.194091797,-0.175572519,-0.076335878,-0.099236641,0,1676941257,0.029979944,0.010010004
1.67694E+18,-0.965332031,0.004394531,-0.191650391,-0.167938931,-0.083969466,-0.076335878,0,1676941257,0.039949894,0.00996995
1.67694E+18,-0.969482422,0.010742188,-0.199462891,-0.152671756,-0.061068702,-0.076335878,0,1676941257,0.049989939,0.010040045
1.67694E+18,-0.969970703,0.028076172,-0.192382813,-0.122137405,-0.053435115,-0.091603053,0,1676941257,0.060179949,0.01019001
1.67694E+18,-0.970947266,0.010742188,-0.203369141,-0.099236641,-0.083969466,-0.06870229,0,1676941257,0.069979906,0.009799957
1.67694E+18,-0.970214844,0.009521484,-0.192138672,-0.106870229,-0.114503817,-0.099236641,0,1676941257,0.079979897,0.00999999
1.67694E+18,-0.967529297,0.007324219,-0.213623047,-0.106870229,-0.114503817,-0.099236641,0,1676941257,0.089979887,0.00999999
1.67694E+18,-0.963867188,0.009277344,-0.217773438,-0.122137405,-0.114503817,-0.083969466,0,1676941257,0.099969864,0.009989977
1.67694E+18,-0.967529297,0.012939453,-0.211669922,-0.122137405,-0.13740458,-0.06870229,0,1676941257,0.110080004,0.01011014
1.67694E+18,-0.969238281,0.013183594,-0.215332031,-0.129770992,-0.175572519,-0.06870229,0,1676941257,0.119969845,0.009889841
1.67694E+18,-0.959960938,0.015380859,-0.20703125,-0.13740458,-0.20610687,-0.106870229,0,1676941257,0.12996006,0.009990215
1.67694E+18,-0.966308594,0.008544922,-0.212890625,-0.122137405,-0.183206107,-0.099236641,0,1676941257,0.139970064,0.010010004
1.67694E+18,-0.962646484,0.012695313,-0.198974609,-0.122137405,-0.221374046,-0.114503817,0,1676941257,0.150019884,0.01004982
1.67694E+18,-0.963378906,0.008544922,-0.214599609,-0.114503817,-0.236641221,-0.13740458,0,1676941257,0.160059929,0.010040045
1.67694E+18,-0.965820313,0.014160156,-0.204833984,-0.145038168,-0.27480916,-0.091603053,0,1676941257,0.169960022,0.009900093
1.67694E+18,-0.962402344,0.011230469,-0.207275391,-0.152671756,-0.290076336,-0.114503817,0,1676941257,0.179949999,0.009989977
1.67694E+18,-0.958251953,0.015625,-0.196777344,-0.13740458,-0.282442748,-0.099236641,0,1676941257,0.190039873,0.010089874
1.67694E+18,-0.967773438,0.009521484,-0.21875,-0.122137405,-0.267175573,-0.122137405,0,1676941257,0.200039864,0.00999999
1.67694E+18,-0.964111328,0.021240234,-0.206054688,-0.122137405,-0.290076336,-0.145038168,0,1676941257,0.210269928,0.010230064
1.67694E+18,-0.962646484,0.013427734,-0.198730469,-0.13740458,-0.297709924,-0.13740458,0,1676941257,0.220039845,0.009769917
1.67694E+18,-0.959472656,0.013916016,-0.204345703,-0.145038168,-0.282442748,-0.152671756,0,1676941257,0.229990005,0.009950161
1.67694E+18,-0.964111328,0.018066406,-0.194580078,-0.167938931,-0.297709924,-0.152671756,0,1676941257,0.239959955,0.00996995
1.67694E+18,-0.966308594,0.015869141,-0.197998047,-0.167938931,-0.282442748,-0.183206107,0,1676941257,0.250530005,0.010570049
1.67694E+18,-0.962890625,0.013671875,-0.182128906,-0.175572519,-0.244274809,-0.175572519,0,1676941257,0.260030031,0.009500027
1.67694E+18,-0.968261719,0.014648438,-0.19140625,-0.167938931,-0.267175573,-0.183206107,0,1676941257,0.26996994,0.009939909
1.67694E+18,-0.963378906,0.016601563,-0.186767578,-0.13740458,-0.221374046,-0.213740458,0,1676941257,0.27993989,0.00996995
1.67694E+18,-0.962402344,0.009277344,-0.195556641,-0.145038168,-0.20610687,-0.183206107,0,1676941258,0.289979935,0.010040045
1.67694E+18,-0.966064453,0.0078125,-0.188720703,-0.114503817,-0.190839695,-0.167938931,0,1676941258,0.30031991,0.010339975
