%time,field.mx,field.my,field.fz,field.t,%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
1.676941258895086e+18,149.0,204.0,205.8,1676941258.0038557,1676941258124623400,-0.96435546875,0.000244140625,-0.196044921875,-0.1221374045801526,-0.099236641221374,-0.1374045801526717,0.0,1676941257.217209
1.6769412588951012e+18,145.0,202.0,203.84,1676941258.0043542,1676941258124657400,-0.954345703125,0.01220703125,-0.203125,-0.1374045801526717,-0.099236641221374,-0.1297709923664122,0.0,1676941257.2274003
1.6769412588951076e+18,145.0,202.0,203.84,1676941258.004641,1676941258124668300,-0.978759765625,0.001708984375,-0.1982421875,-0.1221374045801526,-0.0763358778625954,-0.1374045801526717,0.0,1676941257.2371736
1.6769412588951442e+18,146.0,203.0,201.88,1676941258.0049028,1676941258124673400,-0.962158203125,0.003173828125,-0.194091796875,-0.1755725190839694,-0.0763358778625954,-0.099236641221374,0.0,1676941257.2471857
1.6769412589416804e+18,148.0,204.0,197.96,1676941258.051386,1676941258124816500,-0.96533203125,0.00439453125,-0.191650390625,-0.1679389312977099,-0.0839694656488549,-0.0763358778625954,0.0,1676941257.2571585
1.6769412589417106e+18,149.0,205.0,199.92,1676941258.0518095,1676941258124856200,-0.969482421875,0.0107421875,-0.199462890625,-0.1526717557251908,-0.0610687022900763,-0.0763358778625954,0.0,1676941257.267192
1.6769412589417293e+18,147.0,203.0,199.92,1676941258.0520751,1676941258171973600,-0.969970703125,0.028076171875,-0.1923828125,-0.1221374045801526,-0.0534351145038167,-0.0916030534351145,0.0,1676941257.277388
1.676941258941759e+18,150.0,205.0,201.88,1676941258.052391,1676941258171995400,-0.970947265625,0.0107421875,-0.203369140625,-0.099236641221374,-0.0839694656488549,-0.0687022900763358,0.0,1676941257.2871833
1.6769412589923249e+18,149.0,203.0,203.84,1676941258.1006346,1676941258172003100,-0.97021484375,0.009521484375,-0.192138671875,-0.1068702290076335,-0.1145038167938931,-0.099236641221374,0.0,1676941257.297184
1.6769412589923428e+18,148.0,203.0,203.84,1676941258.1010594,1676941258172013200,-0.967529296875,0.00732421875,-0.213623046875,-0.1068702290076335,-0.1145038167938931,-0.099236641221374,0.0,1676941257.3071852
1.676941258992351e+18,146.0,202.0,201.88,1676941258.101629,1676941258172048400,-0.9638671875,0.00927734375,-0.2177734375,-0.1221374045801526,-0.1145038167938931,-0.0839694656488549,0.0,1676941257.3171782
