%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28
1676077457877801100,0,77457.0,1.0,-1.6928147077560425,0.9117318987846375,0.5229770541191101,16.0,-0.5421169996261597,-0.840834379196167,0.9059154987335205,17.0,-3.133992910385132,0.26421815156936646,1.8772647380828857,18.0,6.508299827575684,0.5831587910652161,-2.9365224838256836,20.0,-0.710966944694519,0.9559569954872131,1.355209469795227,21.0,-4.228455543518066,-0.5011354684829712,-0.47685474157333374,22.0,-0.7012085318565369,-0.23716625571250916,0.7833223342895508
1676077457902142800,0,77457.0,1.0,-1.942406415939331,0.8280730247497559,0.7006192207336426,16.0,0.48107945919036865,-1.5518059730529785,0.4058906137943268,17.0,-3.7665770053863525,0.03551432862877846,2.119361639022827,18.0,7.338565349578857,0.5072491765022278,-3.228264331817627,20.0,-1.1177146434783936,0.8798470497131348,1.3399754762649536,21.0,-3.8821184635162354,-0.4250980317592621,-0.41488489508628845,22.0,-1.3751850128173828,-0.43696868419647217,1.056160807609558
1676077457907325300,0,77457.0,1.0,-2.744649887084961,0.08498285710811615,1.158965826034546,16.0,-3.0517146587371826,3.194190740585327,2.0452823638916016,17.0,-3.647303581237793,-0.44970670342445374,2.1493115425109863,18.0,8.23274040222168,1.3816378116607666,-3.6978747844696045,20.0,-3.654334783554077,0.5437846779823303,0.6143373847007751,21.0,-2.410480499267578,-0.29511767625808716,0.2591109871864319,22.0,-0.7901924252510071,-0.5495254993438721,1.8113877773284912
1676077457924889300,0,77457.0,1.0,-3.334761619567871,-0.17642150819301605,1.4202936887741089,16.0,-3.9033241271972656,3.9780685901641846,2.6096153259277344,17.0,1.724934697151184,1.3362396955490112,3.638604164123535,18.0,10.765066146850586,-2.7052602767944336,0.4257650673389435,20.0,-2.7253875732421875,0.34084486961364746,0.7521361112594604,21.0,-4.045608043670654,-0.45088839530944824,0.336659699678421,22.0,-0.8469063639640808,-0.09882079064846039,1.7413556575775146
1676077457928504200,0,77457.0,1.0,-3.6437387466430664,-0.10124753415584564,1.7630890607833862,16.0,-3.988628387451172,2.746102809906006,2.4130923748016357,17.0,-2.036067008972168,-3.4985249042510986,1.4760589599609375,18.0,15.593080520629883,-5.564688682556152,0.6486815810203552,20.0,-3.9998416900634766,-0.04075987637042999,0.19939179718494415,21.0,-3.3344008922576904,-0.7112975120544434,0.3241994082927704,22.0,-1.0886590480804443,-0.27833420038223267,1.9561539888381958
1676077457939748600,0,77457.0,1.0,-3.955559730529785,-0.2299049198627472,1.996153712272644,16.0,-5.9195427894592285,2.525367259979248,3.1494226455688477,17.0,0.5716454386711121,3.9322805404663086,-3.7793402671813965,18.0,8.559303283691406,1.9175769090652466,0.19038410484790802,20.0,-4.219658851623535,-0.6807383894920349,0.1051824763417244,21.0,-3.6974642276763916,-0.5888925790786743,0.2275710254907608,22.0,-1.3196086883544922,-0.826130211353302,2.6667640209198
1676077457954425900,0,77457.0,1.0,-4.470792770385742,-1.1084755659103394,2.127469062805176,16.0,-8.371859550476074,0.8825391530990601,3.9056499004364014,17.0,3.8876941204071045,2.908632755279541,-3.346482038497925,18.0,6.892220973968506,1.6993297338485718,-5.695568084716797,20.0,-4.241483211517334,-0.9979602694511414,0.2794301509857178,21.0,-3.9015793800354004,-0.8315660953521729,0.25455060601234436,22.0,-1.8170758485794067,-0.6578600406646729,2.520573616027832
1676077457968209700,0,77457.0,1.0,-4.581050395965576,-1.3416446447372437,2.2051990032196045,16.0,-10.484889030456543,-0.18239149451255798,4.308215618133545,17.0,2.6737401485443115,-6.504011154174805,7.703306198120117,18.0,10.271385192871094,6.331344127655029,-8.260819435119629,20.0,-3.4710702896118164,-0.18895095586776733,0.90379399061203,21.0,-4.466548919677734,-1.0271189212799072,0.3802289068698883,22.0,-2.3348584175109863,-1.1275947093963623,3.0593700408935547
1676077457970491800,0,77457.0,1.0,-4.929897308349609,-1.194928765296936,2.308303117752075,16.0,-9.737512588500977,-1.1655086278915405,3.0774827003479004,17.0,1.0624514818191528,-2.1158249378204346,7.4291863441467285,18.0,-0.5824636220932007,3.594241142272949,26.447843551635742,20.0,-3.8134262561798096,0.42993879318237305,1.1145395040512085,21.0,-5.247200965881348,-1.5630189180374146,0.4135923683643341,22.0,-2.7096126079559326,-0.9369345903396606,2.796274423599243
1676077457981363800,0,77457.0,1.0,-4.192965030670166,-1.3347023725509644,2.051823854446411,16.0,-9.74602222442627,-1.1214736700057983,2.1264400482177734,17.0,3.763139247894287,-3.623042345046997,1.416878342628479,18.0,8.157490730285645,4.234383583068848,1.328960657119751,20.0,-4.32593297958374,1.4080311059951782,1.32705819606781,21.0,-5.694189071655273,-1.9807661771774292,0.2445612996816635,22.0,-3.810262441635132,-1.6084997653961182,3.5264594554901123
1676077457991871700,0,77457.0,1.0,-2.9150047302246094,-0.9926676750183105,2.338259696960449,16.0,-10.432312965393066,-0.4319462776184082,1.8209978342056274,17.0,1.7563185691833496,0.7500202655792236,0.005869502201676369,18.0,0.9003772139549255,13.543919563293457,-1.4831080436706543,20.0,-3.807161569595337,2.5555005073547363,2.041189432144165,21.0,-6.207338809967041,-1.907036542892456,0.3396219313144684,22.0,-5.11767578125,-2.2165873050689697,4.272155284881592
1676077458015641900,0,77458.0,1.0,-1.8209178447723389,-0.3174051344394684,3.4091739654541016,16.0,-8.96910285949707,-2.078916311264038,1.6192443370819092,17.0,9.447362899780273,5.064894199371338,1.6933754682540894,18.0,5.674311637878418,-0.290607213973999,9.75845718383789,20.0,-3.7513773441314697,2.4355907440185547,2.8033571243286133,21.0,-6.8297014236450195,-2.133955717086792,0.604061484336853,22.0,-7.195732593536377,-2.708670139312744,4.723551273345947
1676077458018990800,0,77458.0,1.0,0.31174418330192566,-0.1995590478181839,5.688578128814697,16.0,-1.4260132312774658,-7.523441791534424,3.7881925106048584,17.0,5.208149433135986,4.192642688751221,-1.303885579109192,18.0,0.9601662158966064,-7.414122104644775,-1.6065266132354736,20.0,-1.3176097869873047,2.3107106685638428,4.639681339263916,21.0,-8.485931396484375,-3.581263542175293,0.6065233945846558,22.0,-7.762022495269775,-2.5097599029541016,-1.9951701164245605
1676077458030226700,0,77458.0,1.0,-0.8711935877799988,-0.46076616644859314,7.261758327484131,16.0,3.5689876079559326,-4.920162677764893,7.061720848083496,17.0,2.838609457015991,0.23481062054634094,-2.148385763168335,18.0,-4.606770038604736,-0.4135077893733978,-0.2713930010795593,20.0,0.27068158984184265,0.5406485199928284,5.6924848556518555,21.0,-9.114046096801758,-3.721273183822632,0.8721814751625061,22.0,-14.282690048217773,-6.820387840270996,7.953239917755127
1676077458044006000,0,77458.0,1.0,-2.0951592922210693,-0.19451354444026947,6.2296881675720215,16.0,11.391453742980957,-0.31464171409606934,8.679158210754395,17.0,3.8547215461730957,-0.8796375393867493,-1.0748279094696045,18.0,0.8436095714569092,-6.423970699310303,1.0708221197128296,20.0,1.4332811832427979,-0.9728944301605225,6.587183952331543,21.0,-9.668766021728516,-4.568033695220947,1.1426312923431396,22.0,-13.70901870727539,-5.768709182739258,2.750950574874878
1676077458047304900,0,77458.0,1.0,-2.4864256381988525,-1.4031118154525757,5.244507312774658,16.0,16.0141658782959,-4.208054065704346,4.839061737060547,17.0,5.598499774932861,-0.25447723269462585,-0.2528148293495178,18.0,0.47094032168388367,3.941850423812866,1.2386411428451538,20.0,2.8478152751922607,0.4211849570274353,7.023173809051514,21.0,-9.585400581359863,-5.727693557739258,0.8710667490959167,22.0,-16.386850357055664,-5.157159805297852,1.854834794998169
