time,theta,alpha,mx,my,fz
13-49-36-253849,0,,,1.0,-4.0,-160.72
13-49-36-264847,0,,,1.0,-4.0,-160.72
13-49-36-273850,0,,,1.0,-4.0,-160.72
13-49-36-284849,0,,,1.0,-4.0,-160.72
13-49-36-293870,0,,,2.0,-4.0,-160.72
13-49-36-304869,0,,,2.0,-4.0,-160.72
13-49-36-314387,0,,,2.0,-4.0,-160.72
13-49-36-323388,0,,,2.0,-4.0,-160.72
13-49-36-333425,0,,,2.0,-4.0,-160.72
13-49-36-344386,0,,,2.0,-4.0,-160.72
13-49-36-353396,0,,,2.0,-4.0,-160.72
13-49-36-365399,0,,,2.0,-3.0,-160.72
13-49-36-373396,0,,,2.0,-3.0,-160.72
13-49-36-384399,0,,,2.0,-3.0,-160.72
13-49-36-393414,0,,,2.0,-3.0,-160.72
13-49-36-404406,0,,,2.0,-3.0,-160.72
13-49-36-413916,0,,,2.0,-3.0,-160.72
13-49-36-423917,0,,,2.0,-3.0,-160.72
13-49-36-435923,0,,,2.0,-3.0,-160.72
13-49-36-443953,0,,,2.0,-3.0,-160.72
13-49-36-454917,0,,,1.0,-4.0,-160.72
13-49-36-463926,0,,,1.0,-4.0,-160.72
13-49-36-474916,0,,,1.0,-4.0,-160.72
13-49-36-484915,0,,,1.0,-4.0,-160.72
13-49-36-493923,0,,,1.0,-4.0,-160.72
13-49-36-503923,0,,,1.0,-4.0,-160.72
13-49-36-514432,0,,,1.0,-4.0,-160.72
13-49-36-524432,0,,,1.0,-4.0,-160.72
13-49-36-533433,0,,,1.0,-4.0,-160.72
13-49-36-545434,0,,,1.0,-4.0,-160.72
13-49-36-554432,0,,,1.0,-4.0,-160.72
13-49-36-564432,0,,,1.0,-4.0,-160.72
13-49-36-573432,0,,,1.0,-4.0,-160.72
13-49-36-583846,0,,,1.0,-4.0,-160.72
13-49-36-593858,0,,,1.0,-4.0,-160.72
13-49-36-604855,0,,,1.0,-4.0,-160.72
13-49-36-614368,0,,,1.0,-4.0,-160.72
13-49-36-623369,0,,,1.0,-4.0,-160.72
13-49-36-634369,0,,,1.0,-4.0,-160.72
13-49-36-644368,0,,,1.0,-4.0,-160.72
13-49-36-653403,0,,,1.0,-4.0,-160.72
13-49-36-664368,0,,,2.0,-4.0,-160.72
13-49-36-673369,0,,,2.0,-4.0,-160.72
13-49-36-684369,0,,,2.0,-4.0,-160.72
13-49-36-693383,0,,,2.0,-4.0,-160.72
13-49-36-704414,0,,,2.0,-4.0,-160.72
13-49-36-713435,0,,,1.0,-4.0,-160.72
13-49-36-723437,0,,,1.0,-4.0,-160.72
13-49-36-734435,0,,,1.0,-4.0,-160.72
13-49-36-743436,0,,,1.0,-4.0,-160.72
13-49-36-753437,0,,,1.0,-4.0,-160.72
13-49-36-764437,0,,,1.0,-4.0,-160.72
13-49-36-774436,0,,,1.0,-4.0,-160.72
13-49-36-783436,0,,,1.0,-4.0,-160.72
13-49-36-793440,0,,,1.0,-4.0,-160.72
13-49-36-803440,0,,,1.0,-4.0,-160.72
13-49-36-813795,0,,,1.0,-4.0,-160.72
13-49-36-824795,0,,,1.0,-4.0,-160.72
13-49-36-833795,0,,,1.0,-4.0,-160.72
13-49-36-844796,0,,,1.0,-4.0,-160.72
13-49-36-854796,0,,,1.0,-4.0,-160.72
13-49-36-864795,0,,,1.0,-4.0,-160.72
13-49-36-873799,0,,,1.0,-4.0,-160.72
13-49-36-883834,0,,,1.0,-4.0,-160.72
13-49-36-894838,0,,,1.0,-4.0,-160.72
13-49-36-904801,0,,,1.0,-4.0,-160.72
13-49-36-914317,0,,,1.0,-4.0,-160.72
13-49-36-923318,0,,,2.0,-4.0,-160.72
13-49-36-934316,0,,,2.0,-4.0,-160.72
13-49-36-943317,0,,,2.0,-4.0,-160.72
13-49-36-953318,0,,,2.0,-4.0,-160.72
13-49-36-963318,0,,,2.0,-4.0,-160.72
13-49-36-973355,0,,,2.0,-4.0,-160.72
13-49-36-983364,0,,,2.0,-4.0,-160.72
13-49-36-993404,0,,,2.0,-4.0,-160.72
13-49-37-003404,0,,,2.0,-4.0,-160.72
13-49-37-013873,0,,,2.0,-4.0,-160.72
13-49-37-023874,0,,,2.0,-4.0,-160.72
13-49-37-033876,0,,,2.0,-4.0,-160.72
13-49-37-043911,0,,,2.0,-4.0,-160.72
13-49-37-053917,0,,,2.0,-4.0,-160.72
13-49-37-064874,0,,,2.0,-4.0,-160.72
13-49-37-073877,0,,,2.0,-4.0,-160.72
13-49-37-083926,0,,,2.0,-4.0,-160.72
13-49-37-094879,0,,,2.0,-4.0,-160.72
13-49-37-103882,0,,,2.0,-4.0,-160.72
13-49-37-114405,0,,,1.0,-4.0,-160.72
13-49-37-123438,0,,,1.0,-4.0,-160.72
13-49-37-134402,0,,,1.0,-4.0,-160.72
13-49-37-145404,0,,,1.0,-4.0,-160.72
13-49-37-155408,0,,,1.0,-4.0,-160.72
13-49-37-163439,0,,,1.0,-4.0,-160.72
13-49-37-174440,0,,,1.0,-4.0,-160.72
13-49-37-184438,0,,,1.0,-4.0,-160.72
13-49-37-194408,0,,,1.0,-4.0,-160.72
13-49-37-203409,0,,,1.0,-4.0,-160.72
13-49-37-213918,0,,,1.0,-4.0,-160.72
13-49-37-224918,0,,,1.0,-4.0,-160.72
13-49-37-234918,0,,,1.0,-4.0,-160.72
13-49-37-243923,0,,,1.0,-4.0,-160.72
13-49-37-254920,0,,,1.0,-4.0,-160.72
13-49-37-264919,0,,,1.0,-4.0,-160.72
13-49-37-273956,0,,,1.0,-4.0,-160.72
13-49-37-283957,0,,,1.0,-4.0,-160.72
13-49-37-294001,0,,,1.0,-4.0,-160.72
13-49-37-303009,0,,,1.0,-4.0,-160.72
13-49-37-313585,0,,,1.0,-4.0,-160.72
13-49-37-324586,0,,,1.0,-4.0,-160.72
13-49-37-333587,0,,,1.0,-4.0,-160.72
13-49-37-344585,0,,,1.0,-3.0,-160.72
13-49-37-354586,0,,,1.0,-3.0,-160.72
13-49-37-364550,0,,,1.0,-3.0,-160.72
13-49-37-374548,0,,,1.0,-3.0,-160.72
13-49-37-384547,0,,,1.0,-3.0,-160.72
13-49-37-393552,0,,,1.0,-3.0,-160.72
13-49-37-404557,0,,,1.0,-3.0,-160.72
13-49-37-413623,0,,,1.0,-4.0,-160.72
13-49-37-424622,0,,,1.0,-4.0,-160.72
13-49-37-434620,0,,,1.0,-4.0,-160.72
13-49-37-443621,0,,,1.0,-4.0,-160.72
13-49-37-455620,0,,,1.0,-4.0,-160.72
13-49-37-463620,0,,,1.0,-4.0,-160.72
13-49-37-473621,0,,,1.0,-4.0,-160.72
13-49-37-483621,0,,,1.0,-4.0,-160.72
13-49-37-493701,0,,,1.0,-4.0,-160.72
