time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
12-27-16-749576,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-759575,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-768577,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-779576,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-788579,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-798581,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-808631,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-818631,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-829631,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-839227,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-849223,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-858223,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-868258,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-878262,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-888304,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-899302,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-908850,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-918854,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-928856,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-939818,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-949813,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-958816,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-968853,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-979816,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-989820,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-16-999858,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-009382,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-018384,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-029381,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-039381,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-048383,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-058422,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-068383,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-079382,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-088391,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-098391,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-108909,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-118909,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-128910,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-139909,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-149909,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-159909,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-168943,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-179037,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-188591,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-199593,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-209106,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-218108,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-229108,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-239106,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-248108,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-259106,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-270108,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-279143,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-289187,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-299185,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-308776,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-318779,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-329775,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-339775,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-348775,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-359775,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-368780,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-379776,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
12-27-17-388821,3.8 0,3.8 0,[0.],[0.],[0.],[0.],[0.]
