time,theta,alpha,mx,my,fz
13-49-21-664018,0,,,1.0,-4.0,-148.96
13-49-21-673056,0,,,1.0,-4.0,-148.96
13-49-21-683032,0,,,1.0,-4.0,-148.96
13-49-21-693067,0,,,1.0,-4.0,-148.96
13-49-21-703624,0,,,1.0,-4.0,-148.96
13-49-21-713668,0,,,1.0,-4.0,-148.96
13-49-21-724628,0,,,1.0,-4.0,-148.96
13-49-21-734626,0,,,1.0,-4.0,-148.96
13-49-21-744624,0,,,1.0,-4.0,-148.96
13-49-21-754626,0,,,1.0,-4.0,-148.96
13-49-21-764626,0,,,1.0,-4.0,-148.96
13-49-21-774629,0,,,1.0,-4.0,-148.96
13-49-21-783667,0,,,1.0,-4.0,-148.96
13-49-21-794671,0,,,1.0,-4.0,-148.96
13-49-21-804184,0,,,1.0,-4.0,-148.96
13-49-21-813969,0,,,1.0,-4.0,-148.96
13-49-21-823971,0,,,1.0,-4.0,-148.96
13-49-21-833973,0,,,1.0,-4.0,-148.96
13-49-21-843936,0,,,1.0,-4.0,-148.96
13-49-21-853971,0,,,2.0,-4.0,-150.92
13-49-21-864932,0,,,2.0,-4.0,-150.92
13-49-21-873970,0,,,2.0,-4.0,-150.92
13-49-21-884976,0,,,2.0,-4.0,-150.92
13-49-21-893976,0,,,1.0,-4.0,-150.92
13-49-21-904454,0,,,1.0,-4.0,-150.92
13-49-21-913498,0,,,1.0,-4.0,-150.92
13-49-21-924492,0,,,1.0,-4.0,-150.92
13-49-21-934490,0,,,1.0,-4.0,-150.92
13-49-21-943501,0,,,1.0,-4.0,-150.92
13-49-21-954457,0,,,1.0,-4.0,-150.92
13-49-21-964453,0,,,1.0,-4.0,-150.92
13-49-21-973453,0,,,1.0,-4.0,-150.92
13-49-21-983459,0,,,1.0,-4.0,-150.92
13-49-21-993498,0,,,1.0,-4.0,-148.96
13-49-22-004085,0,,,1.0,-4.0,-148.96
13-49-22-014052,0,,,1.0,-4.0,-148.96
13-49-22-023084,0,,,1.0,-4.0,-148.96
13-49-22-033085,0,,,1.0,-4.0,-148.96
13-49-22-044087,0,,,1.0,-4.0,-148.96
13-49-22-053581,0,,,1.0,-4.0,-148.96
13-49-22-063582,0,,,1.0,-4.0,-150.92
13-49-22-073586,0,,,1.0,-4.0,-150.92
13-49-22-083629,0,,,1.0,-4.0,-150.92
13-49-22-095593,0,,,1.0,-4.0,-150.92
13-49-22-104142,0,,,1.0,-4.0,-150.92
13-49-22-113152,0,,,1.0,-4.0,-154.84
13-49-22-124110,0,,,1.0,-4.0,-154.84
13-49-22-133148,0,,,1.0,-4.0,-154.84
13-49-22-144147,0,,,1.0,-4.0,-154.84
13-49-22-153147,0,,,1.0,-4.0,-154.84
13-49-22-164111,0,,,1.0,-4.0,-154.84
13-49-22-173111,0,,,1.0,-4.0,-162.68
13-49-22-183114,0,,,1.0,-4.0,-162.68
13-49-22-193115,0,,,1.0,-4.0,-162.68
13-49-22-203735,0,,,1.0,-4.0,-162.68
13-49-22-214737,0,,,1.0,-4.0,-162.68
13-49-22-224699,0,,,2.0,-4.0,-162.68
13-49-22-234742,0,,,2.0,-4.0,-162.68
13-49-22-244735,0,,,2.0,-4.0,-162.68
13-49-22-255699,0,,,2.0,-4.0,-162.68
13-49-22-264698,0,,,2.0,-4.0,-162.68
13-49-22-273698,0,,,2.0,-4.0,-162.68
13-49-22-283703,0,,,1.0,-4.0,-162.68
13-49-22-293745,0,,,1.0,-4.0,-162.68
13-49-22-304337,0,,,1.0,-4.0,-162.68
13-49-22-313814,0,,,1.0,-4.0,-162.68
13-49-22-324813,0,,,2.0,-4.0,-162.68
13-49-22-333854,0,,,2.0,-4.0,-162.68
13-49-22-344855,0,,,2.0,-4.0,-162.68
13-49-22-354850,0,,,2.0,-4.0,-162.68
13-49-22-363852,0,,,2.0,-4.0,-162.68
13-49-22-373853,0,,,2.0,-4.0,-162.68
13-49-22-383895,0,,,1.0,-4.0,-162.68
13-49-22-394894,0,,,1.0,-4.0,-162.68
13-49-22-404372,0,,,1.0,-4.0,-162.68
13-49-22-413412,0,,,1.0,-4.0,-162.68
13-49-22-424408,0,,,1.0,-4.0,-162.68
13-49-22-434409,0,,,1.0,-4.0,-162.68
13-49-22-444412,0,,,2.0,-4.0,-162.68
13-49-22-454408,0,,,2.0,-4.0,-162.68
13-49-22-463413,0,,,2.0,-4.0,-162.68
13-49-22-474409,0,,,2.0,-4.0,-162.68
13-49-22-483456,0,,,2.0,-4.0,-162.68
13-49-22-494453,0,,,2.0,-4.0,-162.68
13-49-22-503967,0,,,2.0,-4.0,-162.68
13-49-22-513966,0,,,2.0,-4.0,-162.68
13-49-22-523966,0,,,1.0,-4.0,-162.68
13-49-22-534965,0,,,1.0,-4.0,-162.68
13-49-22-543968,0,,,1.0,-4.0,-162.68
13-49-22-554968,0,,,1.0,-4.0,-162.68
13-49-22-563969,0,,,1.0,-4.0,-162.68
13-49-22-574967,0,,,1.0,-4.0,-162.68
13-49-22-584935,0,,,1.0,-4.0,-162.68
13-49-22-593936,0,,,1.0,-4.0,-162.68
13-49-22-605445,0,,,1.0,-4.0,-162.68
13-49-22-613446,0,,,1.0,-4.0,-162.68
13-49-22-624446,0,,,1.0,-4.0,-162.68
13-49-22-633446,0,,,1.0,-4.0,-162.68
13-49-22-643487,0,,,1.0,-4.0,-162.68
13-49-22-653485,0,,,2.0,-4.0,-162.68
13-49-22-664446,0,,,2.0,-4.0,-162.68
13-49-22-673448,0,,,2.0,-4.0,-162.68
13-49-22-683458,0,,,2.0,-4.0,-162.68
13-49-22-693494,0,,,2.0,-4.0,-162.68
13-49-22-703979,0,,,1.0,-4.0,-162.68
13-49-22-713979,0,,,1.0,-4.0,-162.68
13-49-22-724976,0,,,1.0,-4.0,-162.68
13-49-22-734976,0,,,1.0,-4.0,-162.68
13-49-22-743977,0,,,1.0,-4.0,-162.68
13-49-22-753979,0,,,1.0,-4.0,-162.68
13-49-22-763979,0,,,1.0,-4.0,-162.68
13-49-22-774977,0,,,1.0,-4.0,-162.68
13-49-22-783986,0,,,1.0,-4.0,-162.68
13-49-22-795986,0,,,1.0,-4.0,-162.68
13-49-22-804503,0,,,1.0,-4.0,-162.68
13-49-22-814506,0,,,1.0,-4.0,-162.68
13-49-22-824505,0,,,1.0,-4.0,-162.68
13-49-22-834501,0,,,1.0,-4.0,-162.68
