time,theta,alpha,mx,my,fz
13-49-22-843502,0,,,1.0,-4.0,-162.68
13-49-22-853503,0,,,1.0,-4.0,-162.68
13-49-22-864501,0,,,1.0,-4.0,-162.68
13-49-22-874501,0,,,1.0,-4.0,-162.68
13-49-22-883507,0,,,1.0,-4.0,-162.68
13-49-22-893508,0,,,1.0,-4.0,-162.68
13-49-22-904027,0,,,1.0,-4.0,-162.68
13-49-22-914058,0,,,1.0,-4.0,-162.68
13-49-22-923060,0,,,1.0,-4.0,-162.68
13-49-22-934022,0,,,1.0,-4.0,-162.68
13-49-22-944422,0,,,1.0,-4.0,-162.68
13-49-22-953423,0,,,1.0,-4.0,-162.68
13-49-22-964425,0,,,2.0,-4.0,-162.68
13-49-22-975420,0,,,2.0,-4.0,-162.68
13-49-22-983500,0,,,2.0,-4.0,-162.68
13-49-22-994500,0,,,2.0,-4.0,-162.68
13-49-23-003976,0,,,2.0,-4.0,-162.68
13-49-23-014013,0,,,2.0,-4.0,-162.68
13-49-23-024011,0,,,2.0,-4.0,-162.68
13-49-23-034016,0,,,2.0,-4.0,-164.64
13-49-23-044011,0,,,2.0,-4.0,-164.64
13-49-23-053012,0,,,2.0,-4.0,-164.64
13-49-23-064011,0,,,2.0,-4.0,-164.64
13-49-23-073977,0,,,2.0,-4.0,-164.64
13-49-23-083980,0,,,1.0,-4.0,-164.64
13-49-23-095985,0,,,1.0,-4.0,-164.64
13-49-23-105374,0,,,1.0,-4.0,-164.64
13-49-23-113410,0,,,1.0,-4.0,-164.64
13-49-23-125374,0,,,1.0,-4.0,-164.64
13-49-23-135372,0,,,1.0,-4.0,-162.68
13-49-23-143413,0,,,1.0,-4.0,-162.68
13-49-23-154375,0,,,1.0,-4.0,-162.68
13-49-23-164372,0,,,1.0,-4.0,-162.68
13-49-23-173372,0,,,1.0,-4.0,-162.68
13-49-23-183381,0,,,1.0,-4.0,-162.68
13-49-23-193382,0,,,1.0,-4.0,-162.68
13-49-23-204898,0,,,1.0,-4.0,-162.68
13-49-23-214895,0,,,2.0,-4.0,-162.68
13-49-23-223895,0,,,2.0,-4.0,-162.68
13-49-23-234896,0,,,2.0,-4.0,-162.68
13-49-23-243896,0,,,2.0,-4.0,-162.68
13-49-23-254895,0,,,2.0,-4.0,-162.68
13-49-23-263895,0,,,1.0,-4.0,-162.68
13-49-23-274895,0,,,1.0,-4.0,-162.68
13-49-23-283901,0,,,1.0,-4.0,-162.68
13-49-23-293902,0,,,1.0,-4.0,-162.68
13-49-23-304412,0,,,1.0,-4.0,-162.68
13-49-23-314416,0,,,1.0,-4.0,-162.68
13-49-23-324412,0,,,1.0,-4.0,-162.68
13-49-23-333413,0,,,1.0,-4.0,-162.68
13-49-23-343414,0,,,1.0,-4.0,-162.68
13-49-23-353450,0,,,1.0,-4.0,-162.68
13-49-23-364450,0,,,1.0,-4.0,-162.68
13-49-23-374447,0,,,1.0,-4.0,-162.68
13-49-23-384420,0,,,1.0,-4.0,-162.68
13-49-23-393453,0,,,1.0,-4.0,-162.68
13-49-23-404007,0,,,1.0,-4.0,-162.68
13-49-23-414004,0,,,1.0,-4.0,-162.68
13-49-23-424002,0,,,1.0,-4.0,-162.68
13-49-23-433039,0,,,1.0,-4.0,-162.68
13-49-23-443040,0,,,1.0,-4.0,-162.68
13-49-23-453039,0,,,1.0,-4.0,-162.68
13-49-23-463040,0,,,1.0,-4.0,-162.68
13-49-23-473047,0,,,1.0,-4.0,-162.68
13-49-23-483084,0,,,1.0,-4.0,-162.68
13-49-23-493084,0,,,1.0,-4.0,-162.68
13-49-23-503668,0,,,1.0,-4.0,-162.68
13-49-23-513670,0,,,1.0,-4.0,-162.68
13-49-23-524670,0,,,1.0,-4.0,-162.68
13-49-23-533683,0,,,1.0,-4.0,-162.68
13-49-23-543671,0,,,1.0,-4.0,-162.68
13-49-23-554671,0,,,1.0,-4.0,-162.68
13-49-23-564633,0,,,1.0,-4.0,-162.68
13-49-23-574671,0,,,1.0,-4.0,-162.68
13-49-23-583717,0,,,1.0,-4.0,-162.68
13-49-23-594715,0,,,1.0,-4.0,-162.68
13-49-23-604269,0,,,1.0,-4.0,-162.68
13-49-23-614270,0,,,1.0,-4.0,-162.68
13-49-23-624230,0,,,1.0,-4.0,-162.68
13-49-23-633234,0,,,1.0,-4.0,-162.68
13-49-23-643234,0,,,1.0,-4.0,-162.68
13-49-23-658234,0,,,1.0,-4.0,-162.68
13-49-23-664234,0,,,1.0,-4.0,-162.68
13-49-23-675233,0,,,1.0,-3.0,-162.68
13-49-23-683239,0,,,1.0,-3.0,-162.68
13-49-23-693241,0,,,1.0,-3.0,-162.68
13-49-23-703753,0,,,1.0,-3.0,-162.68
13-49-23-715753,0,,,1.0,-4.0,-162.68
13-49-23-724751,0,,,1.0,-4.0,-162.68
13-49-23-733756,0,,,1.0,-4.0,-162.68
13-49-23-743786,0,,,1.0,-4.0,-162.68
13-49-23-753751,0,,,1.0,-4.0,-162.68
13-49-23-764750,0,,,1.0,-4.0,-162.68
13-49-23-774749,0,,,1.0,-4.0,-162.68
13-49-23-783757,0,,,1.0,-4.0,-162.68
13-49-23-793758,0,,,1.0,-4.0,-162.68
13-49-23-804270,0,,,1.0,-4.0,-162.68
13-49-23-815270,0,,,1.0,-4.0,-162.68
13-49-23-823271,0,,,1.0,-4.0,-162.68
13-49-23-834271,0,,,1.0,-4.0,-162.68
13-49-23-843309,0,,,1.0,-4.0,-162.68
13-49-23-854309,0,,,1.0,-4.0,-162.68
13-49-23-864274,0,,,1.0,-4.0,-162.68
13-49-23-874271,0,,,1.0,-4.0,-162.68
13-49-23-883274,0,,,1.0,-4.0,-162.68
13-49-23-893279,0,,,1.0,-4.0,-162.68
13-49-23-903838,0,,,1.0,-4.0,-162.68
13-49-23-914835,0,,,1.0,-4.0,-162.68
13-49-23-924833,0,,,1.0,-4.0,-162.68
13-49-23-933837,0,,,2.0,-4.0,-162.68
13-49-23-943837,0,,,2.0,-4.0,-162.68
13-49-23-953837,0,,,2.0,-4.0,-162.68
13-49-23-963872,0,,,2.0,-4.0,-162.68
13-49-23-974837,0,,,2.0,-4.0,-162.68
13-49-23-983913,0,,,2.0,-4.0,-162.68
13-49-23-993914,0,,,2.0,-4.0,-162.68
13-49-24-004464,0,,,2.0,-4.0,-162.68
13-49-24-014426,0,,,2.0,-4.0,-162.68
13-49-24-024426,0,,,2.0,-4.0,-162.68
13-49-24-033428,0,,,2.0,-4.0,-162.68
13-49-24-043464,0,,,2.0,-4.0,-162.68
13-49-24-054465,0,,,2.0,-4.0,-162.68
13-49-24-064463,0,,,2.0,-4.0,-162.68
13-49-24-073465,0,,,2.0,-4.0,-162.68
13-49-24-084506,0,,,2.0,-4.0,-162.68
13-49-24-094468,0,,,2.0,-4.0,-162.68
13-49-24-104028,0,,,2.0,-4.0,-162.68
13-49-24-113028,0,,,2.0,-4.0,-162.68
13-49-24-123030,0,,,2.0,-4.0,-162.68
13-49-24-134034,0,,,2.0,-4.0,-162.68
13-49-24-144029,0,,,1.0,-4.0,-162.68
13-49-24-153028,0,,,1.0,-4.0,-162.68
13-49-24-164028,0,,,1.0,-4.0,-162.68
13-49-24-173030,0,,,1.0,-4.0,-162.68
13-49-24-183069,0,,,1.0,-4.0,-162.68
13-49-24-193071,0,,,1.0,-4.0,-162.68
13-49-24-203620,0,,,1.0,-4.0,-162.68
13-49-24-213625,0,,,1.0,-4.0,-162.68
13-49-24-223592,0,,,1.0,-4.0,-162.68
13-49-24-234582,0,,,1.0,-4.0,-162.68
13-49-24-244581,0,,,1.0,-4.0,-162.68
13-49-24-253582,0,,,1.0,-4.0,-162.68
13-49-24-264580,0,,,1.0,-4.0,-162.68
13-49-24-273580,0,,,1.0,-4.0,-162.68
13-49-24-283591,0,,,1.0,-4.0,-162.68
13-49-24-294589,0,,,1.0,-4.0,-162.68
13-49-24-304103,0,,,1.0,-4.0,-162.68
13-49-24-313618,0,,,1.0,-4.0,-162.68
13-49-24-324614,0,,,1.0,-4.0,-162.68
13-49-24-333618,0,,,1.0,-4.0,-162.68
13-49-24-344616,0,,,1.0,-4.0,-162.68
13-49-24-353617,0,,,1.0,-4.0,-162.68
13-49-24-364614,0,,,2.0,-4.0,-162.68
13-49-24-373615,0,,,2.0,-4.0,-162.68
13-49-24-384627,0,,,2.0,-4.0,-162.68
13-49-24-393659,0,,,2.0,-4.0,-162.68
13-49-24-404219,0,,,2.0,-4.0,-162.68
13-49-24-413219,0,,,2.0,-4.0,-162.68
13-49-24-424216,0,,,1.0,-4.0,-162.68
13-49-24-433251,0,,,1.0,-4.0,-162.68
13-49-24-443218,0,,,1.0,-4.0,-162.68
13-49-24-454214,0,,,1.0,-4.0,-162.68
13-49-24-464215,0,,,1.0,-4.0,-162.68
13-49-24-474214,0,,,2.0,-4.0,-162.68
13-49-24-483218,0,,,2.0,-4.0,-162.68
13-49-24-493219,0,,,2.0,-4.0,-162.68
13-49-24-503729,0,,,2.0,-4.0,-162.68
13-49-24-513730,0,,,2.0,-4.0,-162.68
13-49-24-524728,0,,,2.0,-4.0,-162.68
13-49-24-533729,0,,,1.0,-4.0,-162.68
13-49-24-544729,0,,,1.0,-4.0,-162.68
13-49-24-553767,0,,,1.0,-4.0,-162.68
13-49-24-564728,0,,,1.0,-4.0,-162.68
13-49-24-573731,0,,,1.0,-4.0,-162.68
13-49-24-583734,0,,,1.0,-4.0,-162.68
13-49-24-593736,0,,,1.0,-4.0,-162.68
13-49-24-604245,0,,,1.0,-4.0,-162.68
13-49-24-614282,0,,,1.0,-4.0,-162.68
13-49-24-624282,0,,,1.0,-4.0,-162.68
13-49-24-633249,0,,,1.0,-4.0,-162.68
13-49-24-644245,0,,,1.0,-4.0,-162.68
13-49-24-653246,0,,,1.0,-4.0,-162.68
13-49-24-665244,0,,,1.0,-4.0,-162.68
13-49-24-673246,0,,,1.0,-4.0,-162.68
13-49-24-683251,0,,,1.0,-4.0,-162.68
13-49-24-693252,0,,,1.0,-4.0,-162.68
13-49-24-704766,0,,,1.0,-4.0,-162.68
13-49-24-714765,0,,,1.0,-4.0,-162.68
13-49-24-723768,0,,,1.0,-4.0,-162.68
13-49-24-734767,0,,,1.0,-4.0,-162.68
13-49-24-744767,0,,,2.0,-4.0,-162.68
13-49-24-755766,0,,,2.0,-4.0,-162.68
13-49-24-764771,0,,,2.0,-4.0,-162.68
13-49-24-774766,0,,,2.0,-4.0,-162.68
13-49-24-784149,0,,,2.0,-4.0,-162.68
13-49-24-794147,0,,,2.0,-4.0,-162.68
13-49-24-803662,0,,,2.0,-4.0,-162.68
13-49-24-813668,0,,,2.0,-4.0,-162.68
13-49-24-823698,0,,,1.0,-4.0,-162.68
13-49-24-833702,0,,,1.0,-4.0,-162.68
13-49-24-844663,0,,,1.0,-4.0,-162.68
13-49-24-854663,0,,,1.0,-4.0,-162.68
13-49-24-864664,0,,,1.0,-4.0,-162.68
13-49-24-873680,0,,,1.0,-4.0,-162.68
13-49-24-883684,0,,,1.0,-4.0,-162.68
13-49-24-893695,0,,,1.0,-4.0,-162.68
13-49-24-903910,0,,,1.0,-4.0,-162.68
13-49-24-914918,0,,,1.0,-4.0,-162.68
13-49-24-924911,0,,,1.0,-4.0,-162.68
13-49-24-934910,0,,,1.0,-4.0,-162.68
13-49-24-943912,0,,,1.0,-4.0,-162.68
13-49-24-953912,0,,,1.0,-4.0,-162.68
13-49-24-963913,0,,,1.0,-4.0,-162.68
13-49-24-973949,0,,,1.0,-4.0,-162.68
13-49-24-983917,0,,,1.0,-4.0,-162.68
13-49-24-993921,0,,,1.0,-4.0,-162.68
13-49-25-004440,0,,,2.0,-4.0,-162.68
13-49-25-013441,0,,,2.0,-4.0,-162.68
13-49-25-025429,0,,,2.0,-4.0,-162.68
13-49-25-033438,0,,,2.0,-4.0,-162.68
13-49-25-043438,0,,,2.0,-4.0,-162.68
13-49-25-053440,0,,,2.0,-4.0,-162.68
13-49-25-064438,0,,,2.0,-4.0,-162.68
13-49-25-073432,0,,,1.0,-4.0,-162.68
13-49-25-083433,0,,,1.0,-4.0,-162.68
13-49-25-093438,0,,,1.0,-4.0,-162.68
13-49-25-103953,0,,,1.0,-4.0,-162.68
13-49-25-113963,0,,,1.0,-4.0,-162.68
13-49-25-123964,0,,,1.0,-4.0,-162.68
13-49-25-134961,0,,,1.0,-4.0,-162.68
13-49-25-144961,0,,,1.0,-4.0,-162.68
13-49-25-153962,0,,,1.0,-4.0,-162.68
13-49-25-164961,0,,,1.0,-4.0,-162.68
13-49-25-173963,0,,,1.0,-4.0,-162.68
13-49-25-184955,0,,,2.0,-4.0,-162.68
13-49-25-193964,0,,,2.0,-4.0,-162.68
13-49-25-204405,0,,,2.0,-4.0,-162.68
13-49-25-213406,0,,,2.0,-4.0,-162.68
13-49-25-224394,0,,,1.0,-4.0,-162.68
13-49-25-233395,0,,,1.0,-4.0,-162.68
13-49-25-244397,0,,,1.0,-4.0,-162.68
13-49-25-253405,0,,,1.0,-4.0,-162.68
13-49-25-264050,0,,,1.0,-4.0,-162.68
13-49-25-274050,0,,,1.0,-4.0,-162.68
13-49-25-284046,0,,,1.0,-4.0,-162.68
13-49-25-294046,0,,,1.0,-4.0,-162.68
13-49-25-303554,0,,,1.0,-4.0,-162.68
13-49-25-313558,0,,,1.0,-4.0,-162.68
13-49-25-324838,0,,,1.0,-4.0,-162.68
13-49-25-333563,0,,,1.0,-4.0,-162.68
13-49-25-343564,0,,,1.0,-4.0,-162.68
13-49-25-353566,0,,,1.0,-4.0,-162.68
13-49-25-363562,0,,,1.0,-4.0,-162.68
13-49-25-373565,0,,,1.0,-4.0,-162.68
13-49-25-383582,0,,,1.0,-4.0,-162.68
13-49-25-394586,0,,,1.0,-4.0,-162.68
13-49-25-404101,0,,,1.0,-4.0,-162.68
13-49-25-413104,0,,,1.0,-4.0,-162.68
13-49-25-424104,0,,,1.0,-4.0,-162.68
13-49-25-434132,0,,,1.0,-4.0,-162.68
13-49-25-443134,0,,,1.0,-4.0,-162.68
13-49-25-454100,0,,,1.0,-4.0,-162.68
13-49-25-465109,0,,,1.0,-4.0,-162.68
13-49-25-474099,0,,,1.0,-4.0,-162.68
13-49-25-483100,0,,,1.0,-4.0,-162.68
13-49-25-493103,0,,,1.0,-4.0,-162.68
13-49-25-503340,0,,,1.0,-4.0,-162.68
13-49-25-513340,0,,,1.0,-4.0,-162.68
13-49-25-523342,0,,,1.0,-4.0,-162.68
13-49-25-534331,0,,,1.0,-4.0,-162.68
13-49-25-543340,0,,,1.0,-4.0,-162.68
13-49-25-554334,0,,,1.0,-4.0,-162.68
13-49-25-564331,0,,,1.0,-4.0,-162.68
13-49-25-573340,0,,,1.0,-4.0,-162.68
13-49-25-584346,0,,,1.0,-4.0,-162.68
13-49-25-593339,0,,,1.0,-4.0,-162.68
13-49-25-603466,0,,,1.0,-4.0,-162.68
13-49-25-614476,0,,,1.0,-4.0,-162.68
13-49-25-623476,0,,,1.0,-4.0,-162.68
13-49-25-633478,0,,,1.0,-4.0,-162.68
13-49-25-644475,0,,,1.0,-4.0,-162.68
13-49-25-653475,0,,,1.0,-4.0,-162.68
13-49-25-663471,0,,,1.0,-4.0,-162.68
13-49-25-674467,0,,,1.0,-4.0,-162.68
13-49-25-683468,0,,,1.0,-4.0,-162.68
13-49-25-693475,0,,,1.0,-4.0,-162.68
13-49-25-704008,0,,,1.0,-4.0,-162.68
13-49-25-713019,0,,,1.0,-4.0,-162.68
13-49-25-724011,0,,,2.0,-4.0,-162.68
13-49-25-733037,0,,,2.0,-4.0,-162.68
13-49-25-743039,0,,,2.0,-4.0,-162.68
13-49-25-754075,0,,,2.0,-4.0,-162.68
13-49-25-763043,0,,,2.0,-4.0,-162.68
13-49-25-774023,0,,,1.0,-4.0,-162.68
13-49-25-783019,0,,,1.0,-4.0,-162.68
13-49-25-793029,0,,,1.0,-4.0,-162.68
13-49-25-803547,0,,,1.0,-4.0,-162.68
13-49-25-813547,0,,,1.0,-4.0,-162.68
13-49-25-824537,0,,,1.0,-4.0,-162.68
13-49-25-833538,0,,,1.0,-4.0,-162.68
13-49-25-843538,0,,,1.0,-4.0,-162.68
13-49-25-854606,0,,,1.0,-4.0,-162.68
13-49-25-864538,0,,,1.0,-4.0,-162.68
13-49-25-874537,0,,,1.0,-3.0,-162.68
13-49-25-884551,0,,,1.0,-3.0,-162.68
13-49-25-893590,0,,,1.0,-3.0,-162.68
13-49-25-904099,0,,,1.0,-3.0,-162.68
13-49-25-914059,0,,,1.0,-3.0,-162.68
13-49-25-925059,0,,,1.0,-3.0,-162.68
13-49-25-934060,0,,,1.0,-4.0,-162.68
13-49-25-943063,0,,,1.0,-4.0,-162.68
13-49-25-954064,0,,,1.0,-4.0,-162.68
13-49-25-964067,0,,,1.0,-4.0,-162.68
13-49-25-973552,0,,,2.0,-4.0,-162.68
13-49-25-984525,0,,,2.0,-4.0,-162.68
13-49-25-993354,0,,,2.0,-4.0,-162.68
13-49-26-004349,0,,,2.0,-4.0,-162.68
13-49-26-014269,0,,,2.0,-4.0,-162.68
13-49-26-024199,0,,,2.0,-4.0,-162.68
13-49-26-034117,0,,,2.0,-4.0,-162.68
13-49-26-043951,0,,,1.0,-4.0,-162.68
13-49-26-053739,0,,,1.0,-4.0,-162.68
13-49-26-063533,0,,,1.0,-4.0,-162.68
13-49-26-073053,0,,,1.0,-4.0,-162.68
13-49-26-083059,0,,,1.0,-4.0,-162.68
13-49-26-093065,0,,,1.0,-4.0,-162.68
13-49-26-103579,0,,,1.0,-4.0,-162.68
13-49-26-114577,0,,,1.0,-4.0,-162.68
13-49-26-124578,0,,,1.0,-4.0,-162.68
13-49-26-133580,0,,,1.0,-4.0,-162.68
13-49-26-143581,0,,,1.0,-4.0,-162.68
13-49-26-154577,0,,,1.0,-4.0,-162.68
13-49-26-164579,0,,,1.0,-4.0,-162.68
13-49-26-174578,0,,,1.0,-4.0,-162.68
13-49-26-183582,0,,,1.0,-4.0,-162.68
13-49-26-193591,0,,,1.0,-4.0,-162.68
13-49-26-204115,0,,,1.0,-4.0,-162.68
13-49-26-214109,0,,,1.0,-4.0,-162.68
13-49-26-223111,0,,,1.0,-4.0,-162.68
13-49-26-234111,0,,,1.0,-4.0,-162.68
13-49-26-244113,0,,,1.0,-4.0,-162.68
13-49-26-254112,0,,,1.0,-4.0,-162.68
13-49-26-263114,0,,,1.0,-4.0,-162.68
13-49-26-274108,0,,,1.0,-4.0,-162.68
13-49-26-283109,0,,,1.0,-4.0,-162.68
13-49-26-293113,0,,,1.0,-4.0,-162.68
13-49-26-303623,0,,,1.0,-4.0,-162.68
13-49-26-313624,0,,,1.0,-4.0,-162.68
13-49-26-324623,0,,,1.0,-4.0,-162.68
13-49-26-333628,0,,,1.0,-4.0,-162.68
13-49-26-344628,0,,,1.0,-4.0,-162.68
13-49-26-353660,0,,,1.0,-4.0,-162.68
13-49-26-364662,0,,,1.0,-4.0,-162.68
13-49-26-374662,0,,,1.0,-4.0,-162.68
13-49-26-383663,0,,,1.0,-4.0,-162.68
13-49-26-393704,0,,,1.0,-4.0,-162.68
13-49-26-404216,0,,,1.0,-4.0,-162.68
13-49-26-414177,0,,,1.0,-4.0,-162.68
13-49-26-423178,0,,,1.0,-4.0,-162.68
13-49-26-433214,0,,,1.0,-4.0,-162.68
13-49-26-443215,0,,,1.0,-4.0,-162.68
13-49-26-453217,0,,,1.0,-4.0,-162.68
13-49-26-464181,0,,,1.0,-4.0,-162.68
13-49-26-474181,0,,,1.0,-4.0,-162.68
