index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
1077.0,0.001,0.001,0.001,0.001,0.001,0.001
1078.0,0.001,0.001,0.001,0.001,0.001,0.001
1079.0,0.001,0.001,0.001,0.001,0.001,0.001
1080.0,0.001,0.001,0.001,0.001,0.001,0.001
1081.0,0.001,0.001,0.001,0.001,0.001,0.001
1082.0,0.001,0.001,0.001,0.001,0.001,0.001
1083.0,0.001,0.001,0.001,0.001,0.001,0.001
1084.0,0.001,0.001,0.001,0.001,0.001,0.001
1085.0,0.001,0.001,0.001,0.001,0.001,0.001
1086.0,0.001,0.001,0.001,0.001,0.001,0.001
1087.0,0.001,0.001,0.001,0.001,0.001,0.001
1088.0,0.001,0.001,0.001,0.001,0.001,0.001
1089.0,0.001,0.001,0.001,0.001,0.001,0.001
1090.0,0.001,0.001,0.001,0.001,0.001,0.001
1091.0,0.001,0.001,0.001,0.001,0.001,0.001
1092.0,0.001,0.001,0.001,0.001,0.001,0.001
1093.0,0.001,0.001,0.001,0.001,0.001,0.001
1094.0,0.001,0.001,0.001,0.001,0.001,0.001
1095.0,0.001,0.001,0.001,0.001,0.001,0.001
1096.0,0.001,0.001,0.001,0.001,0.001,0.001
1097.0,0.001,0.001,0.001,0.001,0.001,0.001
1098.0,0.001,0.001,0.001,0.001,0.001,0.001
1099.0,0.001,0.001,0.001,0.001,0.001,0.001
1100.0,0.27883917,0.27883917,0.27883917,1.8360034e-15,1.8360034e-15,1.8360034e-15
1101.0,0.5974949,0.5974949,0.5974949,7.922892e-14,7.922892e-14,7.922892e-14
1102.0,1.2140869,1.2140869,1.2140869,2.8130562e-12,2.8130562e-12,2.8130562e-12
1103.0,2.3393786,2.3393786,2.3393786,8.2178375e-11,8.2178375e-11,8.2178375e-11
1104.0,4.274511,4.274511,4.274511,1.9752457e-09,1.9752457e-09,1.9752457e-09
1105.0,7.4064054,7.4064054,7.4064054,3.906332e-08,3.906332e-08,3.906332e-08
1106.0,12.169248,12.169248,12.169248,6.3562595e-07,6.3562595e-07,6.3562595e-07
1107.0,18.960733,18.960733,18.960733,8.509784e-06,8.509784e-06,8.509784e-06
1108.0,28.014423,28.014423,28.014423,9.3738905e-05,9.3738905e-05,9.3738905e-05
1109.0,39.250336,39.250336,39.250336,0.0008495827,0.0008495827,0.0008495827
1110.0,52.148315,52.148315,52.148315,0.0063354275,0.0063354275,0.0063354275
1111.0,65.70105,65.70105,65.70105,0.038871437,0.038871437,0.038871437
1112.0,78.49455,78.49455,78.49455,0.19623195,0.19623195,0.19623195
1113.0,88.92869,88.92869,88.92869,0.81506693,0.81506693,0.81506693
1114.0,95.53872,95.53872,95.53872,2.7854881,2.7854881,2.7854881
1115.0,97.33121,97.33121,97.33121,7.83238,7.83238,7.83238
1116.0,94.0286,94.0286,94.0286,18.12052,18.12052,18.12052
1117.0,86.139626,86.139626,86.139626,34.49308,34.49308,34.49308
1118.0,74.83093,74.83093,74.83093,54.022884,54.022884,54.022884
1119.0,61.644524,61.644524,61.644524,69.61583,69.61583,69.61583
1120.0,48.15518,48.15518,48.15518,73.811264,73.811264,73.811264
1121.0,35.671936,35.671936,35.671936,64.390495,64.390495,64.390495
1122.0,25.05795,25.05795,25.05795,46.21738,46.21738,46.21738
1123.0,16.69166,16.69166,16.69166,27.294384,27.294384,27.294384
1124.0,10.543593,10.543593,10.543593,13.262511,13.262511,13.262511
1125.0,6.315576,6.315576,6.315576,5.3022795,5.3022795,5.3022795
1126.0,3.5873394,3.5873394,3.5873394,1.7441505,1.7441505,1.7441505
1127.0,1.9322668,1.9322668,1.9322668,0.4720519,0.4720519,0.4720519
1128.0,0.986954,0.986954,0.986954,0.10511869,0.10511869,0.10511869
1129.0,0.4780374,0.4780374,0.4780374,0.019259924,0.019259924,0.019259924
1130.0,0.001,0.001,0.001,0.001,0.001,0.001
1131.0,0.001,0.001,0.001,0.001,0.001,0.001
1132.0,0.001,0.001,0.001,0.001,0.001,0.001
1133.0,0.001,0.001,0.001,0.001,0.001,0.001
1134.0,0.001,0.001,0.001,0.001,0.001,0.001
1135.0,0.001,0.001,0.001,0.001,0.001,0.001
1136.0,0.001,0.001,0.001,0.001,0.001,0.001
1137.0,0.001,0.001,0.001,0.001,0.001,0.001
1138.0,0.001,0.001,0.001,0.001,0.001,0.001
1139.0,0.001,0.001,0.001,0.001,0.001,0.001
1140.0,0.001,0.001,0.001,0.001,0.001,0.001
1141.0,0.001,0.001,0.001,0.001,0.001,0.001
1142.0,0.001,0.001,0.001,0.001,0.001,0.001
1143.0,0.001,0.001,0.001,0.001,0.001,0.001
1144.0,0.001,0.001,0.001,0.001,0.001,0.001
1145.0,0.001,0.001,0.001,0.001,0.001,0.001
1146.0,0.001,0.001,0.001,0.001,0.001,0.001
1147.0,0.001,0.001,0.001,0.001,0.001,0.001
1148.0,0.001,0.001,0.001,0.001,0.001,0.001
1149.0,0.001,0.001,0.001,0.001,0.001,0.001
