time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
12-42-28-400408,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-410412,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-420425,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-429936,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-440945,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-450945,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-459949,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-469949,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-480948,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-489947,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-500943,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-509944,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-519950,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-530457,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-540463,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-550466,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-559467,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-570466,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-580498,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-591463,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-600462,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-609467,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-620511,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-631095,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-640104,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-651097,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-660099,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-670100,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-681060,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-690062,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-701059,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-710060,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-720065,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-730570,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-739617,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-749613,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-759617,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-770613,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-780613,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-789620,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-800611,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-809612,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-819656,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-830199,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-840242,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-850245,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-861243,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-871205,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-880208,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-890209,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-901205,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-911206,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-920208,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-930209,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-939733,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-950061,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-960058,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-971058,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
12-42-28-981057,3.3 0,3.3 0,[0.],[0.],[0.],[0.],[0.]
