time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
11-05-18-305328,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-315355,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-325354,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-335363,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-345363,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-356362,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-366325,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-375330,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-386833,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-394839,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-405838,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-415431,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-426430,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-436429,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-445429,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-455430,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-466429,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-475437,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-486435,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-495495,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-505496,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-516495,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-526494,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-535497,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-546495,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-557494,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-565495,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-575498,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-585539,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-595789,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-605768,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-614769,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-625768,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-635769,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-644772,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-655769,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-666268,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-675791,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-685789,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-695108,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-707071,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-715110,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-726072,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-735084,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-747072,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-755077,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-767073,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-775078,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-786079,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-795146,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-805146,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-816146,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-827144,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-835147,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-845147,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-857144,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-865146,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-875152,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-885154,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-895195,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-906164,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-915164,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-925164,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-935164,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-945165,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-955166,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-965205,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-975250,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-986249,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-18-995631,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-19-005623,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-19-016626,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-19-026624,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-19-035624,0,0,[0.],[0.],[0.],[0.],[0.]
11-05-19-045625,0,0,[0.],[0.],[0.],[0.],[0.]
