time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-40-40-197998,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-208510,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-219511,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-229510,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-239511,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-248511,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-258514,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-269512,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-278533,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-288519,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-298530,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-309054,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-319053,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-330055,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-338435,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-348066,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-358065,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-368064,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-379053,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-388053,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-399068,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-408193,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-418193,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-428193,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-438194,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-449193,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-458192,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-468192,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-478195,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-489195,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-498197,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-508576,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-519565,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-528584,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-538576,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-548591,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-558575,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-569565,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-578606,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-589570,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-598590,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-609361,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-619360,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-628360,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-40-638360,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-649355,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-658357,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-669355,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-678386,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-689356,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-698364,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-708871,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-719871,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-728872,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-738872,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-749871,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-758877,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-769872,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-779874,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-789871,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-798880,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-809391,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-819389,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-828390,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-839390,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-848394,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-859395,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-869390,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-879392,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-889390,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-898396,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-908903,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-918939,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-928946,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-938940,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-949905,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-959904,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-969903,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-979903,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-989903,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-40-998912,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-010422,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-018427,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-028459,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-038459,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
