time,theta,alpha,mx,my,fz
13-44-42-149017,4,.,1.0,-4.0,-170.52
13-44-42-159012,4,.,1.0,-4.0,-170.52
13-44-42-169012,4,.,1.0,-4.0,-170.52
13-44-42-178012,4,.,1.0,-4.0,-170.52
13-44-42-189013,4,.,1.0,-4.0,-170.52
13-44-42-199013,4,.,1.0,-4.0,-170.52
13-44-42-208020,4,.,1.0,-4.0,-170.52
13-44-42-219019,4,.,1.0,-4.0,-170.52
13-44-42-228532,4,.,1.0,-4.0,-170.52
13-44-42-237538,4,.,1.0,-4.0,-170.52
13-44-42-248532,4,.,1.0,-4.0,-170.52
13-44-42-258531,4,.,1.0,-4.0,-170.52
13-44-42-267531,4,.,1.0,-4.0,-170.52
13-44-42-277532,4,.,1.0,-4.0,-170.52
13-44-42-287536,4,.,1.0,-4.0,-170.52
13-44-42-297572,4,.,1.0,-4.0,-170.52
13-44-42-308613,4,.,1.0,-4.0,-170.52
13-44-42-318576,4,.,1.0,-4.0,-170.52
13-44-42-327632,4,.,1.0,-4.0,-170.52
13-44-42-337635,4,.,1.0,-4.0,-170.52
13-44-42-348631,4,.,1.0,-4.0,-170.52
13-44-42-358631,4,.,1.0,-4.0,-170.52
13-44-42-367668,4,.,1.0,-4.0,-170.52
13-44-42-378633,4,.,1.0,-4.0,-170.52
13-44-42-388629,4,.,1.0,-4.0,-170.52
13-44-42-398631,4,.,1.0,-4.0,-170.52
13-44-42-408635,4,.,1.0,-4.0,-168.56
13-44-42-417637,4,.,1.0,-4.0,-168.56
13-44-42-429149,4,.,1.0,-4.0,-168.56
13-44-42-439148,4,.,1.0,-4.0,-168.56
13-44-42-448149,4,.,1.0,-4.0,-168.56
13-44-42-460150,4,.,1.0,-4.0,-170.52
13-44-42-469150,4,.,1.0,-4.0,-170.52
13-44-42-479147,4,.,1.0,-4.0,-170.52
13-44-42-488147,4,.,1.0,-4.0,-170.52
13-44-42-498150,4,.,1.0,-4.0,-170.52
13-44-42-508151,4,.,1.0,-4.0,-168.56
13-44-42-518154,4,.,1.0,-4.0,-168.56
13-44-42-528666,4,.,1.0,-4.0,-168.56
13-44-42-538662,4,.,1.0,-4.0,-168.56
13-44-42-548661,4,.,1.0,-4.0,-168.56
13-44-42-557661,4,.,1.0,-4.0,-168.56
13-44-42-567663,4,.,1.0,-4.0,-168.56
13-44-42-579663,4,.,1.0,-4.0,-170.52
13-44-42-588663,4,.,1.0,-4.0,-170.52
13-44-42-598663,4,.,1.0,-4.0,-170.52
13-44-42-608668,4,.,1.0,-4.0,-170.52
13-44-42-618668,4,.,1.0,-4.0,-170.52
13-44-42-628177,4,.,1.0,-4.0,-170.52
13-44-42-638177,4,.,1.0,-4.0,-168.56
