time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
12-23-13-095942,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-106944,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-115944,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-126941,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-135950,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-146350,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-157351,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-166386,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-177350,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-186437,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-196436,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-205438,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-215438,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-226438,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-235444,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-245953,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-255954,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-265960,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-276991,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-285991,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-295992,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-305996,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-316995,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-326992,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-336035,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-346513,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-355547,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-366515,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-375547,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-386511,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-396509,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-405509,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-415549,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-426550,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-435595,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-446143,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-457142,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-466144,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-476144,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-486149,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-497141,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-506141,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-516142,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-526150,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-536153,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-546757,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-556755,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-565755,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
12-23-13-575760,5.6 0,5.6 0,[0.],[0.],[0.],[0.],[0.]
