time,theta,alpha,mx,my,fz
14-08-09-644389,['0 0'],1.0,-16.0,-3.92
14-08-09-653425,['0 0'],1.0,-16.0,-3.92
14-08-09-663394,['0 0'],1.0,-16.0,-3.92
14-08-09-673904,['0 0'],1.0,-16.0,-3.92
14-08-09-683941,['0 0'],1.0,-16.0,-3.92
14-08-09-693942,['0 0'],1.0,-16.0,-3.92
14-08-09-704908,['0 0'],1.0,-16.0,-3.92
14-08-09-715905,['0 0'],1.0,-16.0,-3.92
14-08-09-724904,['0 0'],1.0,-16.0,-3.92
14-08-09-733908,['0 0'],1.0,-16.0,-3.92
14-08-09-744907,['0 0'],1.0,-16.0,-5.88
14-08-09-754908,['0 0'],1.0,-16.0,-5.88
14-08-09-763949,['0 0'],1.0,-16.0,-5.88
14-08-09-774421,['0 0'],1.0,-16.0,-5.88
14-08-09-783600,['0 0'],1.0,-16.0,-5.88
14-08-09-794600,['0 0'],1.0,-16.0,-5.88
14-08-09-804600,['0 0'],1.0,-16.0,-3.92
14-08-09-813600,['0 0'],1.0,-16.0,-3.92
14-08-09-823600,['0 0'],1.0,-16.0,-3.92
14-08-09-834601,['0 0'],1.0,-16.0,-3.92
14-08-09-843637,['0 0'],2.0,-16.0,-3.92
14-08-09-854637,['0 0'],2.0,-16.0,-3.92
14-08-09-863645,['0 0'],2.0,-16.0,-3.92
14-08-09-874196,['0 0'],2.0,-16.0,-3.92
14-08-09-885193,['0 0'],2.0,-16.0,-3.92
14-08-09-894195,['0 0'],2.0,-16.0,-3.92
14-08-09-905194,['0 0'],1.0,-17.0,-3.92
14-08-09-915193,['0 0'],1.0,-17.0,-3.92
14-08-09-924194,['0 0'],1.0,-17.0,-3.92
14-08-09-934231,['0 0'],1.0,-17.0,-3.92
14-08-09-945197,['0 0'],1.0,-17.0,-3.92
14-08-09-955197,['0 0'],1.0,-17.0,-3.92
14-08-09-964201,['0 0'],1.0,-17.0,-3.92
14-08-09-974712,['0 0'],1.0,-17.0,-3.92
14-08-09-984711,['0 0'],2.0,-16.0,-5.88
14-08-09-994713,['0 0'],2.0,-16.0,-5.88
14-08-10-003713,['0 0'],2.0,-16.0,-5.88
14-08-10-014711,['0 0'],2.0,-16.0,-5.88
14-08-10-025711,['0 0'],2.0,-16.0,-5.88
14-08-10-033715,['0 0'],1.0,-16.0,-5.88
14-08-10-043751,['0 0'],1.0,-16.0,-5.88
14-08-10-054750,['0 0'],1.0,-16.0,-5.88
14-08-10-063795,['0 0'],1.0,-16.0,-5.88
14-08-10-074316,['0 0'],1.0,-16.0,-5.88
14-08-10-085315,['0 0'],1.0,-16.0,-5.88
14-08-10-095312,['0 0'],1.0,-16.0,-5.88
14-08-10-105311,['0 0'],1.0,-16.0,-5.88
14-08-10-115310,['0 0'],1.0,-16.0,-5.88
14-08-10-124312,['0 0'],1.0,-16.0,-5.88
14-08-10-135310,['0 0'],1.0,-16.0,-5.88
14-08-10-145310,['0 0'],1.0,-16.0,-5.88
14-08-10-154311,['0 0'],1.0,-16.0,-3.92
14-08-10-164315,['0 0'],1.0,-16.0,-3.92
14-08-10-174830,['0 0'],1.0,-16.0,-3.92
14-08-10-185827,['0 0'],1.0,-16.0,-3.92
14-08-10-195827,['0 0'],1.0,-16.0,-3.92
14-08-10-203961,['0 0'],1.0,-16.0,-3.92
14-08-10-214959,['0 0'],1.0,-16.0,-3.92
14-08-10-223962,['0 0'],1.0,-16.0,-3.92
14-08-10-234925,['0 0'],1.0,-16.0,-3.92
14-08-10-244926,['0 0'],1.0,-16.0,-3.92
14-08-10-253967,['0 0'],1.0,-16.0,-3.92
14-08-10-264336,['0 0'],1.0,-16.0,-3.92
14-08-10-274054,['0 0'],1.0,-16.0,-3.92
14-08-10-285053,['0 0'],1.0,-16.0,-3.92
14-08-10-294065,['0 0'],1.0,-16.0,-3.92
14-08-10-305051,['0 0'],1.0,-16.0,-3.92
14-08-10-314052,['0 0'],1.0,-16.0,-3.92
14-08-10-325052,['0 0'],1.0,-16.0,-3.92
14-08-10-334063,['0 0'],1.0,-16.0,-3.92
14-08-10-344061,['0 0'],1.0,-16.0,-3.92
14-08-10-354059,['0 0'],1.0,-16.0,-3.92
14-08-10-364082,['0 0'],1.0,-16.0,-3.92
14-08-10-374361,['0 0'],1.0,-16.0,-3.92
14-08-10-383361,['0 0'],1.0,-16.0,-3.92
14-08-10-393357,['0 0'],1.0,-16.0,-3.92
14-08-10-403428,['0 0'],1.0,-16.0,-3.92
14-08-10-414364,['0 0'],1.0,-16.0,-5.88
14-08-10-424363,['0 0'],1.0,-16.0,-5.88
14-08-10-433361,['0 0'],1.0,-16.0,-5.88
14-08-10-443362,['0 0'],1.0,-16.0,-5.88
14-08-10-453363,['0 0'],1.0,-16.0,-5.88
14-08-10-464383,['0 0'],1.0,-16.0,-3.92
14-08-10-473715,['0 0'],1.0,-16.0,-3.92
14-08-10-484713,['0 0'],1.0,-16.0,-3.92
14-08-10-494704,['0 0'],1.0,-16.0,-3.92
14-08-10-503704,['0 0'],1.0,-16.0,-3.92
14-08-10-513742,['0 0'],1.0,-16.0,-3.92
14-08-10-523755,['0 0'],1.0,-16.0,-3.92
14-08-10-534138,['0 0'],1.0,-16.0,-3.92
14-08-10-543715,['0 0'],1.0,-16.0,-3.92
14-08-10-553714,['0 0'],1.0,-16.0,-3.92
14-08-10-563729,['0 0'],2.0,-16.0,-3.92
14-08-10-573907,['0 0'],2.0,-16.0,-3.92
14-08-10-584899,['0 0'],2.0,-16.0,-3.92
14-08-10-593906,['0 0'],2.0,-16.0,-3.92
14-08-10-603907,['0 0'],2.0,-16.0,-3.92
14-08-10-614897,['0 0'],2.0,-16.0,-3.92
14-08-10-623897,['0 0'],2.0,-16.0,-3.92
14-08-10-633936,['0 0'],2.0,-16.0,-3.92
14-08-10-644901,['0 0'],1.0,-16.0,-3.92
14-08-10-654473,['0 0'],1.0,-16.0,-3.92
14-08-10-664427,['0 0'],1.0,-16.0,-3.92
14-08-10-673945,['0 0'],1.0,-16.0,-3.92
14-08-10-683945,['0 0'],1.0,-16.0,-3.92
14-08-10-694944,['0 0'],1.0,-16.0,-5.88
14-08-10-704943,['0 0'],1.0,-16.0,-5.88
14-08-10-713943,['0 0'],1.0,-16.0,-5.88
14-08-10-723943,['0 0'],1.0,-16.0,-5.88
14-08-10-734943,['0 0'],1.0,-16.0,-5.88
14-08-10-743943,['0 0'],1.0,-16.0,-5.88
14-08-10-753943,['0 0'],1.0,-16.0,-5.88
14-08-10-763947,['0 0'],1.0,-16.0,-5.88
14-08-10-774468,['0 0'],1.0,-16.0,-5.88
14-08-10-784464,['0 0'],1.0,-16.0,-5.88
14-08-10-794464,['0 0'],1.0,-16.0,-5.88
