index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13533.0,0.001,0.001,0.001,0.001,0.001,0.001
13534.0,0.001,0.001,0.001,0.001,0.001,0.001
13535.0,0.001,0.001,0.001,0.001,0.001,0.001
13536.0,0.001,0.001,0.001,0.001,0.001,0.001
13537.0,0.001,0.001,0.001,0.001,0.001,0.001
13538.0,0.001,0.001,0.001,0.001,0.001,0.001
13539.0,0.001,0.001,0.001,0.001,0.001,0.001
13540.0,0.001,0.001,0.001,0.001,0.001,0.001
13541.0,0.001,0.001,0.001,0.001,0.001,0.001
13542.0,0.001,0.001,0.001,0.001,0.001,0.001
13543.0,0.001,0.001,0.001,0.001,0.001,0.001
13544.0,0.001,0.001,0.001,0.001,0.001,0.001
13545.0,0.001,0.001,0.001,0.001,0.001,0.001
13546.0,0.001,0.001,0.001,0.001,0.001,0.001
13547.0,0.001,0.001,0.001,0.001,0.001,0.001
13548.0,0.001,0.001,0.001,0.001,0.001,0.001
13549.0,0.001,0.001,0.001,0.001,0.001,0.001
13550.0,0.001,0.001,0.001,0.001,0.001,0.001
13551.0,0.001,0.001,0.001,0.001,0.001,0.001
13552.0,0.001,0.001,0.001,0.001,0.001,0.001
13553.0,0.001,0.001,0.001,0.001,0.001,0.001
13554.0,0.001,0.001,0.001,0.001,0.001,0.001
13555.0,0.001,0.001,0.001,0.001,0.001,0.001
13556.0,0.001,0.001,0.001,0.001,0.001,0.001
13557.0,0.001,0.001,0.001,0.001,0.001,0.001
13558.0,0.001,0.001,0.001,0.001,0.001,0.001
13559.0,0.001,0.001,0.001,0.001,0.001,0.001
13560.0,0.001,0.001,0.001,0.001,0.001,0.001
13561.0,0.001,0.001,0.001,0.001,0.001,0.001
13562.0,0.001,0.001,0.001,0.001,0.001,0.001
13563.0,0.001,0.001,0.001,0.001,0.001,0.001
13564.0,0.001,0.001,0.001,0.001,0.001,0.001
13565.0,0.001,0.001,0.001,0.001,0.001,0.001
13566.0,0.001,0.001,0.001,0.001,0.001,0.001
13567.0,0.001,0.001,0.001,0.001,0.001,0.001
13568.0,0.001,0.001,0.001,0.001,0.001,0.001
13569.0,0.001,0.001,0.001,0.001,0.001,0.001
13570.0,0.001,0.001,0.001,0.001,0.001,0.001
13571.0,0.001,0.001,0.001,0.001,0.001,0.001
13572.0,0.001,0.001,0.001,0.001,0.001,0.001
13573.0,0.001,0.001,0.001,0.001,0.001,0.001
13574.0,0.001,0.001,0.001,0.001,0.001,0.001
13575.0,0.001,0.001,0.001,0.001,0.001,0.001
13576.0,0.001,0.001,0.001,0.001,0.001,0.001
13577.0,0.001,0.001,0.001,0.001,0.001,0.001
13578.0,0.001,0.001,0.001,0.001,0.001,0.001
13579.0,0.001,0.001,0.001,0.001,0.001,0.001
13580.0,0.001,0.001,0.001,0.001,0.001,0.001
13581.0,0.001,0.001,0.001,0.001,0.001,0.001
