time,theta,alpha,mx,my,fz,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_accel_x,imu_accel_y,imu_accel_z
11-23-09-009826,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-018831,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-029856,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-038865,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-049862,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-059826,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-068831,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-078835,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-089305,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-099271,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-109269,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-118270,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-128274,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-139270,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-149270,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-158270,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-168311,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-178816,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-188823,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-199822,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-209823,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-219822,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-229821,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-239821,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-248821,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-258823,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-268827,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-280042,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-290043,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-300041,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-309041,0.0,0.0,4.0,-7.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-09-319041,0.0,0.0,4.0,-7.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
