time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
11-06-09-476334,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-486334,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-496332,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-505334,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-515340,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-526917,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-534959,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-544959,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-555922,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-564924,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-576923,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-585927,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-594927,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-605932,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-614942,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-624953,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-635488,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-645497,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-655494,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-666486,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-675487,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-686487,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-695495,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-705495,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-716499,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-725493,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-736019,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-746007,3,3,[0.],[0.],[0.],[0.],[0.]
11-06-09-756007,3,3,[0.],[0.],[0.],[0.],[0.]
