index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
29952.0,0.001,0.001,0.001,0.001,0.001,0.001
29953.0,0.001,0.001,0.001,0.001,0.001,0.001
29954.0,0.001,0.001,0.001,0.001,0.001,0.001
29955.0,0.001,0.001,0.001,0.001,0.001,0.001
29956.0,0.001,0.001,0.001,0.001,0.001,0.001
29957.0,0.001,0.001,0.001,0.001,0.001,0.001
29958.0,0.001,0.001,0.001,0.001,0.001,0.001
29959.0,0.001,0.001,0.001,0.001,0.001,0.001
29960.0,0.001,0.001,0.001,0.001,0.001,0.001
29961.0,0.001,0.001,0.001,0.001,0.001,0.001
29962.0,0.001,0.001,0.001,0.001,0.001,0.001
29963.0,0.001,0.001,0.001,0.001,0.001,0.001
29964.0,0.001,0.001,0.001,0.001,0.001,0.001
29965.0,0.001,0.001,0.001,0.001,0.001,0.001
29966.0,0.001,0.001,0.001,0.001,0.001,0.001
29967.0,0.001,0.001,0.001,0.001,0.001,0.001
29968.0,0.001,0.001,0.001,0.001,0.001,0.001
29969.0,0.001,0.001,0.001,0.001,0.001,0.001
29970.0,0.001,0.001,0.001,0.001,0.001,0.001
29971.0,0.001,0.001,0.001,0.001,0.001,0.001
29972.0,0.001,0.001,0.001,0.001,0.001,0.001
29973.0,0.001,0.001,0.001,0.001,0.001,0.001
29974.0,0.001,0.001,0.001,0.001,0.001,0.001
29975.0,0.001,0.001,0.001,0.001,0.001,0.001
29976.0,0.001,0.001,0.001,0.001,0.001,0.001
29977.0,0.001,0.001,0.001,0.001,0.001,0.001
29978.0,0.001,0.001,0.001,0.001,0.001,0.001
29979.0,0.001,0.001,0.001,0.001,0.001,0.001
29980.0,0.001,0.001,0.001,0.001,0.001,0.001
29981.0,0.001,0.001,0.001,0.001,0.001,0.001
29982.0,0.001,0.001,0.001,0.001,0.001,0.001
29983.0,0.001,0.001,0.001,0.001,0.001,0.001
29984.0,0.001,0.001,0.001,0.001,0.001,0.001
29985.0,0.001,0.001,0.001,0.001,0.001,0.001
29986.0,0.001,0.001,0.001,0.001,0.001,0.001
29987.0,0.001,0.001,0.001,0.001,0.001,0.001
29988.0,0.001,0.001,0.001,0.001,0.001,0.001
29989.0,0.001,0.001,0.001,0.001,0.001,0.001
29990.0,0.001,0.001,0.001,0.001,0.001,0.001
29991.0,0.001,0.001,0.001,0.001,0.001,0.001
29992.0,0.001,0.001,0.001,0.001,0.001,0.001
29993.0,0.001,0.001,0.001,0.001,0.001,0.001
29994.0,0.001,0.001,0.001,0.001,0.001,0.001
29995.0,0.001,0.001,0.001,0.001,0.001,0.001
29996.0,0.001,0.001,0.001,0.001,0.001,0.001
29997.0,0.001,0.001,0.001,0.001,0.001,0.001
