time,theta,alpha,mx,my,fz
13-46-37-157841,0.0,0.0,1.0,-4.0,-170.52
13-46-37-167840,0.0,0.0,1.0,-4.0,-170.52
13-46-37-177841,0.0,0.0,1.0,-4.0,-170.52
13-46-37-188808,0.0,0.0,1.0,-4.0,-170.52
13-46-37-198807,0.0,0.0,1.0,-4.0,-170.52
13-46-37-207805,0.0,0.0,1.0,-4.0,-170.52
13-46-37-217828,0.0,0.0,1.0,-4.0,-170.52
13-46-37-227841,0.0,0.0,1.0,-4.0,-170.52
13-46-37-237883,0.0,0.0,1.0,-4.0,-170.52
13-46-37-247473,0.0,0.0,1.0,-4.0,-170.52
13-46-37-258474,0.0,0.0,1.0,-4.0,-170.52
13-46-37-268474,0.0,0.0,1.0,-4.0,-170.52
13-46-37-277475,0.0,0.0,1.0,-4.0,-170.52
13-46-37-287750,0.0,0.0,1.0,-4.0,-170.52
13-46-37-297755,0.0,0.0,1.0,-4.0,-170.52
13-46-37-308750,0.0,0.0,1.0,-4.0,-170.52
13-46-37-318749,0.0,0.0,1.0,-4.0,-170.52
13-46-37-328791,0.0,0.0,1.0,-4.0,-170.52
13-46-37-338755,0.0,0.0,1.0,-4.0,-170.52
13-46-37-348266,0.0,0.0,1.0,-4.0,-170.52
13-46-37-357267,0.0,0.0,1.0,-4.0,-170.52
13-46-37-368266,0.0,0.0,1.0,-4.0,-170.52
13-46-37-378267,0.0,0.0,1.0,-4.0,-170.52
13-46-37-387268,0.0,0.0,1.0,-4.0,-170.52
13-46-37-398265,0.0,0.0,1.0,-4.0,-170.52
13-46-37-407265,0.0,0.0,1.0,-4.0,-170.52
13-46-37-418265,0.0,0.0,1.0,-4.0,-170.52
13-46-37-427266,0.0,0.0,1.0,-4.0,-170.52
13-46-37-437270,0.0,0.0,1.0,-4.0,-170.52
13-46-37-447782,0.0,0.0,1.0,-4.0,-170.52
13-46-37-457786,0.0,0.0,1.0,-4.0,-170.52
13-46-37-468783,0.0,0.0,1.0,-4.0,-170.52
13-46-37-477784,0.0,0.0,1.0,-4.0,-170.52
13-46-37-488783,0.0,0.0,2.0,-4.0,-170.52
13-46-37-498783,0.0,0.0,2.0,-4.0,-170.52
13-46-37-508782,0.0,0.0,2.0,-4.0,-170.52
13-46-37-517784,0.0,0.0,2.0,-4.0,-170.52
13-46-37-528826,0.0,0.0,2.0,-4.0,-170.52
13-46-37-538788,0.0,0.0,1.0,-4.0,-170.52
13-46-37-548310,0.0,0.0,1.0,-4.0,-170.52
13-46-37-557346,0.0,0.0,1.0,-4.0,-170.52
13-46-37-567347,0.0,0.0,1.0,-4.0,-170.52
13-46-37-578352,0.0,0.0,1.0,-4.0,-170.52
13-46-37-588347,0.0,0.0,1.0,-4.0,-170.52
13-46-37-597350,0.0,0.0,1.0,-4.0,-170.52
13-46-37-608349,0.0,0.0,1.0,-4.0,-170.52
13-46-37-617352,0.0,0.0,1.0,-4.0,-170.52
13-46-37-628388,0.0,0.0,1.0,-4.0,-170.52
13-46-37-637393,0.0,0.0,1.0,-4.0,-170.52
13-46-37-647876,0.0,0.0,1.0,-4.0,-170.52
13-46-37-658872,0.0,0.0,1.0,-4.0,-170.52
13-46-37-667872,0.0,0.0,1.0,-4.0,-170.52
13-46-37-677874,0.0,0.0,1.0,-4.0,-170.52
13-46-37-688927,0.0,0.0,1.0,-4.0,-170.52
13-46-37-697873,0.0,0.0,1.0,-4.0,-170.52
13-46-37-708872,0.0,0.0,1.0,-4.0,-170.52
13-46-37-718872,0.0,0.0,1.0,-4.0,-170.52
13-46-37-727872,0.0,0.0,1.0,-4.0,-170.52
13-46-37-738879,0.0,0.0,1.0,-4.0,-170.52
13-46-37-748390,0.0,0.0,1.0,-4.0,-170.52
13-46-37-758386,0.0,0.0,1.0,-4.0,-170.52
13-46-37-767387,0.0,0.0,1.0,-4.0,-170.52
13-46-37-778387,0.0,0.0,1.0,-4.0,-170.52
13-46-37-788386,0.0,0.0,1.0,-4.0,-170.52
13-46-37-798385,0.0,0.0,1.0,-4.0,-170.52
13-46-37-807386,0.0,0.0,1.0,-4.0,-170.52
13-46-37-818386,0.0,0.0,1.0,-4.0,-170.52
13-46-37-828390,0.0,0.0,1.0,-4.0,-170.52
13-46-37-837393,0.0,0.0,1.0,-4.0,-170.52
13-46-37-847901,0.0,0.0,1.0,-4.0,-170.52
13-46-37-856902,0.0,0.0,1.0,-4.0,-170.52
13-46-37-867902,0.0,0.0,1.0,-4.0,-170.52
13-46-37-876902,0.0,0.0,1.0,-4.0,-170.52
13-46-37-887902,0.0,0.0,1.0,-4.0,-170.52
