time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
12-58-06-265985,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-276026,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-286604,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-296603,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-305606,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-316602,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-326601,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-336615,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-346605,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-355606,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-365606,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-375652,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-385653,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-396170,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-407169,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-417168,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-426168,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-436168,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-446169,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-457170,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-466206,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-476248,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-486839,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-495842,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-506800,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-517800,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-525801,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-535802,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-545803,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-556804,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-566801,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-575807,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
