time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
11-06-17-916429,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-17-925476,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-17-936093,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-17-945093,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-17-956100,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-17-966093,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-17-976093,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-17-985099,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-17-996098,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-006095,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-015096,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-025264,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-035807,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-044848,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-055840,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-065812,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-075848,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-084854,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-095814,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-105812,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-114813,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-124817,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-136328,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-145330,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-156327,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-165330,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-176328,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-185329,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-196328,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-206328,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-216328,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-225335,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-236542,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-246543,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-255577,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-266579,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-276541,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-286543,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-296543,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-306542,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-315542,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-326551,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-336692,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-346692,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-356690,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-365692,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-377690,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-385692,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-395693,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-407692,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-415693,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-425697,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-435698,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-445918,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-455915,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-464920,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-475916,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-485951,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-496918,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-504919,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-515918,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-524925,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-535924,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-545441,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-556443,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-566444,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-576441,4,4,[0.],[0.],[0.],[0.],[0.]
11-06-18-585442,4,4,[0.],[0.],[0.],[0.],[0.]
