index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
30860.0,0.001,0.001,0.001,0.001,0.001,0.001
30861.0,0.001,0.001,0.001,0.001,0.001,0.001
30862.0,0.001,0.001,0.001,0.001,0.001,0.001
30863.0,0.001,0.001,0.001,0.001,0.001,0.001
30864.0,0.001,0.001,0.001,0.001,0.001,0.001
30865.0,0.001,0.001,0.001,0.001,0.001,0.001
30866.0,0.001,0.001,0.001,0.001,0.001,0.001
30867.0,0.001,0.001,0.001,0.001,0.001,0.001
30868.0,0.001,0.001,0.001,0.001,0.001,0.001
30869.0,0.001,0.001,0.001,0.001,0.001,0.001
30870.0,0.001,0.001,0.001,0.001,0.001,0.001
30871.0,0.001,0.001,0.001,0.001,0.001,0.001
30872.0,0.001,0.001,0.001,0.001,0.001,0.001
30873.0,0.001,0.001,0.001,0.001,0.001,0.001
30874.0,0.001,0.001,0.001,0.001,0.001,0.001
30875.0,0.001,0.001,0.001,0.001,0.001,0.001
30876.0,0.001,0.001,0.001,0.001,0.001,0.001
30877.0,0.001,0.001,0.001,0.001,0.001,0.001
30878.0,0.001,0.001,0.001,0.001,0.001,0.001
30879.0,0.001,0.001,0.001,0.001,0.001,0.001
30880.0,0.001,0.001,0.001,0.001,0.001,0.001
30881.0,0.001,0.001,0.001,0.001,0.001,0.001
30882.0,0.001,0.001,0.001,0.001,0.001,0.001
30883.0,0.001,0.001,0.001,0.001,0.001,0.001
30884.0,0.001,0.001,0.001,0.001,0.001,0.001
30885.0,0.001,0.001,0.001,0.001,0.001,0.001
30886.0,0.001,0.001,0.001,0.001,0.001,0.001
30887.0,0.001,0.001,0.001,0.001,0.001,0.001
30888.0,0.001,0.001,0.001,0.001,0.001,0.001
30889.0,0.001,0.001,0.001,0.001,0.001,0.001
30890.0,0.001,0.001,0.001,0.001,0.001,0.001
30891.0,0.001,0.001,0.001,0.001,0.001,0.001
30892.0,0.001,0.001,0.001,0.001,0.001,0.001
30893.0,0.001,0.001,0.001,0.001,0.001,0.001
30894.0,0.001,0.001,0.001,0.001,0.001,0.001
30895.0,0.001,0.001,0.001,0.001,0.001,0.001
30896.0,0.001,0.001,0.001,0.001,0.001,0.001
30897.0,0.001,0.001,0.001,0.001,0.001,0.001
30898.0,0.001,0.001,0.001,0.001,0.001,0.001
30899.0,0.001,0.001,0.001,0.001,0.001,0.001
30900.0,97.893974,97.893974,97.893974,75.12453,75.12453,75.12453
30901.0,97.984604,97.984604,97.984604,75.319046,75.319046,75.319046
30902.0,98.06899,98.06899,98.06899,75.50395,75.50395,75.50395
30903.0,98.14713,98.14713,98.14713,75.67917,75.67917,75.67917
30904.0,98.218994,98.218994,98.218994,75.844635,75.844635,75.844635
30905.0,98.28457,98.28457,98.28457,76.000275,76.000275,76.000275
30906.0,98.34385,98.34385,98.34385,76.14603,76.14603,76.14603
30907.0,98.39681,98.39681,98.39681,76.281845,76.281845,76.281845
30908.0,98.44347,98.44347,98.44347,76.40766,76.40766,76.40766
30909.0,98.48379,98.48379,98.48379,76.52344,76.52344,76.52344
30910.0,98.51777,98.51777,98.51777,76.62911,76.62911,76.62911
