time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-34-40-317597,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-327597,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-336599,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-346626,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-356599,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-366634,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-377597,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-387431,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-398424,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-407938,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-417937,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-427937,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-437936,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-446937,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-457936,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-467935,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-476940,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-486953,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-497951,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-507473,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-518469,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-528471,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-538467,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-549469,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-559469,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-568468,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-578468,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-587480,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-598477,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-608999,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-617995,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-626998,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-636996,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-647994,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-657999,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-667993,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-676997,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-687006,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-698034,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-707523,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-718521,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-727521,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-736537,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-746526,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-757543,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-766552,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-777521,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-787527,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-797528,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-807040,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-818040,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-828081,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-838038,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-848038,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-857052,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-868039,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-40-878039,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -3.0, -135.24]
13-34-40-887044,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -3.0, -135.24]
13-34-40-898043,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -3.0, -135.24]
13-34-40-907556,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -3.0, -135.24]
13-34-40-917554,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-927288,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-937311,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-948310,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-958313,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-968309,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-978311,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-987322,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-40-998320,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-007844,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-017841,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-027842,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-036845,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-046877,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-057841,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-067840,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-076841,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-086843,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -3.0, -135.24]
13-34-41-098850,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -3.0, -135.24]
13-34-41-107361,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -3.0, -135.24]
13-34-41-118359,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -3.0, -135.24]
