time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-18-12-835543,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-846540,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-855544,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-865578,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-875583,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-885586,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-896106,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-906107,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-916109,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-925071,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-935152,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-945120,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-955121,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-965151,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-975194,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-985195,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-12-995750,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-004748,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-014748,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-024753,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-034748,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-045750,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-054749,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-064715,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-074719,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-085718,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-095238,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-106233,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-115238,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-125271,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-135273,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-147233,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-155271,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-165272,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
13-18-13-176316,5.2 0,5.2 0,[0.],[0.],[0.],[0.],0.0
