time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-00-14-125912,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-135953,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-146417,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-157417,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-167416,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-177417,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-186418,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-196425,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-206429,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-217426,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-226445,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-237433,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-246895,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-255896,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-265897,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-276895,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-285897,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-297888,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-306890,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-315889,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-326892,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-336890,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-346402,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-357401,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-366402,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-376403,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-387402,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-396402,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-407404,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-417440,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-426485,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-436486,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-447073,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-456074,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-467073,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
13-00-14-476083,4.3 0,4.3 0,[0.],[0.],[0.],[0.],0.0
