time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-37-03-254072,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-264070,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-273071,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-283071,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-292091,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-303082,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-312089,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-323546,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-332544,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-342544,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-352546,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-363533,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-373532,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-383533,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-393534,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-403542,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-412538,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-423049,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-433049,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-442060,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-452062,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-463050,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-472050,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-483054,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-492070,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-502053,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
