time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-37-05-612176,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-622145,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-632657,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-642657,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-652657,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-661659,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-672666,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-682657,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-692658,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-702656,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-712812,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-721998,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-732513,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-743510,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-753512,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-763512,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-05-773510,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-783510,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-793511,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-803514,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-812523,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-823145,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-833106,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-842107,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-853106,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-862107,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-872141,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-882144,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-894106,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-902109,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-912118,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-922154,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-05-931725,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-941723,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-952688,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-05-961688,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
