index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
34329.0,98.79992,98.79992,98.79992,67.76361,67.76361,67.76361
34330.0,0.001,0.001,0.001,0.001,0.001,0.001
34331.0,0.001,0.001,0.001,0.001,0.001,0.001
34332.0,0.001,0.001,0.001,0.001,0.001,0.001
34333.0,0.001,0.001,0.001,0.001,0.001,0.001
34334.0,0.001,0.001,0.001,0.001,0.001,0.001
34335.0,0.001,0.001,0.001,0.001,0.001,0.001
34336.0,0.001,0.001,0.001,0.001,0.001,0.001
34337.0,0.001,0.001,0.001,0.001,0.001,0.001
34338.0,0.001,0.001,0.001,0.001,0.001,0.001
34339.0,0.001,0.001,0.001,0.001,0.001,0.001
34340.0,0.001,0.001,0.001,0.001,0.001,0.001
34341.0,0.001,0.001,0.001,0.001,0.001,0.001
34342.0,0.001,0.001,0.001,0.001,0.001,0.001
34343.0,0.001,0.001,0.001,0.001,0.001,0.001
34344.0,0.001,0.001,0.001,0.001,0.001,0.001
34345.0,0.001,0.001,0.001,0.001,0.001,0.001
34346.0,0.001,0.001,0.001,0.001,0.001,0.001
34347.0,0.001,0.001,0.001,0.001,0.001,0.001
34348.0,0.001,0.001,0.001,0.001,0.001,0.001
34349.0,0.001,0.001,0.001,0.001,0.001,0.001
34350.0,0.001,0.001,0.001,0.001,0.001,0.001
34351.0,0.001,0.001,0.001,0.001,0.001,0.001
34352.0,0.001,0.001,0.001,0.001,0.001,0.001
34353.0,0.001,0.001,0.001,0.001,0.001,0.001
34354.0,0.001,0.001,0.001,0.001,0.001,0.001
34355.0,0.001,0.001,0.001,0.001,0.001,0.001
34356.0,0.001,0.001,0.001,0.001,0.001,0.001
34357.0,0.001,0.001,0.001,0.001,0.001,0.001
34358.0,0.001,0.001,0.001,0.001,0.001,0.001
34359.0,0.001,0.001,0.001,0.001,0.001,0.001
34360.0,0.001,0.001,0.001,0.001,0.001,0.001
34361.0,0.001,0.001,0.001,0.001,0.001,0.001
34362.0,0.001,0.001,0.001,0.001,0.001,0.001
34363.0,0.001,0.001,0.001,0.001,0.001,0.001
34364.0,0.001,0.001,0.001,0.001,0.001,0.001
34365.0,0.001,0.001,0.001,0.001,0.001,0.001
34366.0,0.001,0.001,0.001,0.001,0.001,0.001
34367.0,0.001,0.001,0.001,0.001,0.001,0.001
34368.0,0.001,0.001,0.001,0.001,0.001,0.001
34369.0,0.001,0.001,0.001,0.001,0.001,0.001
34370.0,0.001,0.001,0.001,0.001,0.001,0.001
34371.0,0.001,0.001,0.001,0.001,0.001,0.001
34372.0,0.001,0.001,0.001,0.001,0.001,0.001
34373.0,0.001,0.001,0.001,0.001,0.001,0.001
34374.0,0.001,0.001,0.001,0.001,0.001,0.001
34375.0,0.001,0.001,0.001,0.001,0.001,0.001
34376.0,0.001,0.001,0.001,0.001,0.001,0.001
34377.0,0.001,0.001,0.001,0.001,0.001,0.001
34378.0,0.001,0.001,0.001,0.001,0.001,0.001
34379.0,0.001,0.001,0.001,0.001,0.001,0.001
34380.0,0.001,0.001,0.001,0.001,0.001,0.001
34381.0,0.001,0.001,0.001,0.001,0.001,0.001
34382.0,0.001,0.001,0.001,0.001,0.001,0.001
34383.0,0.001,0.001,0.001,0.001,0.001,0.001
34384.0,0.001,0.001,0.001,0.001,0.001,0.001
34385.0,0.001,0.001,0.001,0.001,0.001,0.001
34386.0,0.001,0.001,0.001,0.001,0.001,0.001
34387.0,0.001,0.001,0.001,0.001,0.001,0.001
34388.0,0.001,0.001,0.001,0.001,0.001,0.001
34389.0,0.001,0.001,0.001,0.001,0.001,0.001
34390.0,0.001,0.001,0.001,0.001,0.001,0.001
34391.0,0.001,0.001,0.001,0.001,0.001,0.001
34392.0,0.001,0.001,0.001,0.001,0.001,0.001
34393.0,0.001,0.001,0.001,0.001,0.001,0.001
34394.0,0.001,0.001,0.001,0.001,0.001,0.001
34395.0,0.001,0.001,0.001,0.001,0.001,0.001
34396.0,0.001,0.001,0.001,0.001,0.001,0.001
34397.0,0.001,0.001,0.001,0.001,0.001,0.001
34398.0,0.001,0.001,0.001,0.001,0.001,0.001
34399.0,0.001,0.001,0.001,0.001,0.001,0.001
34400.0,95.07953,95.07953,95.07953,66.980446,66.980446,66.980446
34401.0,95.13848,95.13848,95.13848,67.152504,67.152504,67.152504
34402.0,95.19336,95.19336,95.19336,67.31606,67.31606,67.31606
34403.0,95.244156,95.244156,95.244156,67.47105,67.47105,67.47105
34404.0,95.290855,95.290855,95.290855,67.6174,67.6174,67.6174
34405.0,95.33347,95.33347,95.33347,67.75506,67.75506,67.75506
34406.0,95.37198,95.37198,95.37198,67.88398,67.88398,67.88398
34407.0,95.40639,95.40639,95.40639,68.004105,68.004105,68.004105
34408.0,95.436676,95.436676,95.436676,68.11538,68.11538,68.11538
34409.0,95.46286,95.46286,95.46286,68.21777,68.21777,68.21777
34410.0,95.484924,95.484924,95.484924,68.31124,68.31124,68.31124
34411.0,95.50287,95.50287,95.50287,68.395744,68.395744,68.395744
34412.0,95.516685,95.516685,95.516685,68.471245,68.471245,68.471245
34413.0,95.52638,95.52638,95.52638,68.53773,68.53773,68.53773
34414.0,95.53195,95.53195,95.53195,68.595146,68.595146,68.595146
34415.0,95.5334,95.5334,95.5334,68.64349,68.64349,68.64349
34416.0,95.530716,95.530716,95.530716,68.68274,68.68274,68.68274
34417.0,95.52391,95.52391,95.52391,68.712875,68.712875,68.712875
34418.0,95.51297,95.51297,95.51297,68.73389,68.73389,68.73389
34419.0,95.49792,95.49792,95.49792,68.745766,68.745766,68.745766
34420.0,95.47874,95.47874,95.47874,68.748505,68.748505,68.748505
34421.0,95.45544,95.45544,95.45544,68.74211,68.74211,68.74211
34422.0,95.428024,95.428024,95.428024,68.72658,68.72658,68.72658
34423.0,95.39649,95.39649,95.39649,68.70191,68.70191,68.70191
34424.0,95.360855,95.360855,95.360855,68.66813,68.66813,68.66813
34425.0,95.32111,95.32111,95.32111,68.625244,68.625244,68.625244
34426.0,95.277275,95.277275,95.277275,68.573265,68.573265,68.573265
34427.0,95.22934,95.22934,95.22934,68.51222,68.51222,68.51222
34428.0,95.17732,95.17732,95.17732,68.44213,68.44213,68.44213
34429.0,95.12122,95.12122,95.12122,68.36302,68.36302,68.36302
34430.0,0.001,0.001,0.001,0.001,0.001,0.001
34431.0,0.001,0.001,0.001,0.001,0.001,0.001
34432.0,0.001,0.001,0.001,0.001,0.001,0.001
34433.0,0.001,0.001,0.001,0.001,0.001,0.001
34434.0,0.001,0.001,0.001,0.001,0.001,0.001
34435.0,0.001,0.001,0.001,0.001,0.001,0.001
34436.0,0.001,0.001,0.001,0.001,0.001,0.001
34437.0,0.001,0.001,0.001,0.001,0.001,0.001
34438.0,0.001,0.001,0.001,0.001,0.001,0.001
34439.0,0.001,0.001,0.001,0.001,0.001,0.001
34440.0,0.001,0.001,0.001,0.001,0.001,0.001
34441.0,0.001,0.001,0.001,0.001,0.001,0.001
34442.0,0.001,0.001,0.001,0.001,0.001,0.001
