%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42,field.data43,field.data44,field.data45,field.data46,field.data47,field.data48,field.data49
1689263722437509500,0,63722.4375,1.0,-0.020918039605021477,0.022445326671004295,-0.010811956599354744,0.09494510293006897,0.19872084259986877,-0.26433441042900085,16.0,-0.035423167049884796,0.01953866332769394,-0.03185036778450012,-0.24379479885101318,0.017808053642511368,-0.8196150064468384,17.0,-0.41732966899871826,0.40522500872612,0.02185264602303505,-2.2184009552001953,2.3057258129119873,0.5307813286781311,18.0,-0.1460072547197342,0.12081396579742432,0.1610775887966156,-0.5847569108009338,0.7596107721328735,1.0866355895996094,20.0,-0.011698122136294842,0.020356178283691406,-0.01602618210017681,-0.18068228662014008,-0.02257467433810234,-0.11383397877216339,21.0,-0.03160545602440834,0.06470467895269394,-0.01745937205851078,0.5522972345352173,0.013276097364723682,-0.07099276036024094,22.0,7.881601777626202e-05,0.011377478018403053,0.0036234334111213684,0.18413831293582916,0.41389068961143494,0.014107308350503445
1689263722468614200,0,63722.46875,1.0,-0.024645790457725525,0.03972580283880234,-0.019540386274456978,-0.19079895317554474,0.33524706959724426,-0.4479263722896576,16.0,-0.02727462165057659,0.08311256021261215,-0.020416826009750366,1.0171641111373901,1.8634718656539917,-0.4153207242488861,17.0,-0.4946903586387634,0.463896244764328,0.056296106427907944,-1.5246411561965942,0.9057186841964722,0.4366643726825714,18.0,-0.18258917331695557,0.14615026116371155,0.1869703233242035,-0.9301522970199585,0.316873699426651,1.2148853540420532,20.0,-0.017922237515449524,0.025374723598361015,-0.018495259806513786,-0.2843554615974426,0.14593510329723358,-0.13688282668590546,21.0,-0.01871289499104023,0.07799491286277771,-0.018106145784258842,0.14212274551391602,-0.14286722242832184,-0.10475990176200867,22.0,0.006825392134487629,0.019808556884527206,0.003024771809577942,0.08294738084077835,0.13692080974578857,-0.11940871179103851
1689263722498261200,0,63722.49609375,1.0,-0.03329639881849289,0.06593066453933716,-0.03202736750245094,-0.2507312595844269,0.7969324588775635,-0.6701260805130005,16.0,0.000250888813752681,0.12768687307834625,-0.028482899069786072,0.7729461193084717,1.4815646409988403,-0.6981841921806335,17.0,-0.5166149139404297,0.48607322573661804,0.0725189596414566,0.2013213187456131,-1.5278908014297485,0.573509156703949,18.0,-0.22017638385295868,0.13052289187908173,0.1888384371995926,-2.1293318271636963,0.9946756362915039,0.21332380175590515,20.0,-0.020570840686559677,0.01922960765659809,-0.013305014930665493,-0.20995797216892242,-0.35583603382110596,0.26628777384757996,21.0,-0.022088592872023582,0.06437710672616959,-0.01291585247963667,-0.9652788043022156,-0.02155737206339836,0.11635755747556686,22.0,0.0030582405161112547,0.009504654444754124,0.0023279727902263403,-0.14646007120609283,-0.3076867461204529,0.061027418822050095
1689263722530376000,0,63722.53125,1.0,-0.027507483959197998,0.05394550785422325,-0.01792299747467041,-0.6053755879402161,0.9787452220916748,0.038016654551029205,16.0,-0.013597370125353336,0.031033232808113098,-0.009853989817202091,-0.8515592813491821,-0.7454162836074829,0.04005102440714836,17.0,-0.47739285230636597,0.4071063995361328,0.11385906487703323,-0.7627435326576233,-1.5855388641357422,1.2379944324493408,18.0,-0.3814176023006439,0.15973028540611267,0.2243449091911316,-3.054591417312622,2.8462417125701904,2.0793449878692627,20.0,-0.020092042163014412,0.017197994515299797,-0.01079154759645462,-0.7633749842643738,0.35120072960853577,0.04205258935689926,21.0,-0.014255695044994354,0.03077693283557892,-0.010124717839062214,-0.2691219449043274,0.318979412317276,-0.09629974514245987,22.0,-0.0032469183206558228,-0.016641197726130486,-0.0035113028716295958,-0.13094665110111237,-0.374236524105072,-0.05163394659757614
1689263722563309300,0,63722.5625,1.0,-0.16957981884479523,-0.012121886946260929,0.01464504562318325,-0.5101574659347534,1.1030921936035156,0.6587551236152649,16.0,-0.33943313360214233,-0.10018058866262436,0.038237329572439194,-2.510615348815918,0.8055570721626282,1.0737565755844116,17.0,-0.6290483474731445,0.19378311932086945,0.14007483422756195,1.7438470125198364,-0.5886987447738647,-2.848738670349121,18.0,-0.9239751100540161,0.08244670927524567,0.13954706490039825,-5.356163024902344,4.5058135986328125,-6.119400501251221,20.0,-0.10966482013463974,0.004270240664482117,-0.006985606625676155,-0.8564026355743408,0.8412200808525085,-0.11930057406425476,21.0,-0.08262097835540771,-0.006602857261896133,-0.004794578067958355,-0.21652434766292572,0.7996506094932556,0.12406932562589645,22.0,-0.006510116159915924,-0.017159387469291687,-0.0033249102998524904,-0.1229260042309761,0.24327941238880157,0.06282469630241394
1689263722592890900,0,63722.59375,1.0,-0.2547456920146942,-0.030023256316781044,0.02584458887577057,-0.7352725267410278,0.9723439812660217,0.3395284414291382,16.0,-0.46243980526924133,-0.091969333589077,0.058654844760894775,-1.1809093952178955,2.0723352432250977,1.2294753789901733,17.0,-0.6858917474746704,0.10143215954303741,0.13475315272808075,-0.3127407729625702,0.7856139540672302,-2.4301438331604004,18.0,-0.9234685301780701,0.15877169370651245,0.08364302664995193,-3.107940196990967,6.055471897125244,-0.5701790452003479,20.0,-0.1613309234380722,-0.009407229721546173,-0.00296726543456316,-0.7931057810783386,0.25605717301368713,0.01583291031420231,21.0,-0.11794651299715042,0.0056078010238707066,0.0010139353107661009,-0.4489210247993469,0.9045655727386475,-0.016409417614340782,22.0,-0.012586547993123531,-0.010203328914940357,0.003829698543995619,-0.14335134625434875,0.2802669107913971,0.11951549351215363
1689263722624245700,0,63722.62109375,1.0,-0.2968595325946808,-0.021123182028532028,0.017070963978767395,-0.4872876703739166,0.6568087339401245,-0.43918532133102417,16.0,-0.4441728889942169,-0.043090034276247025,0.0529511384665966,-1.2200663089752197,0.9321208596229553,0.27483710646629333,17.0,-0.60365229845047,0.09814336150884628,0.11162853240966797,0.30196788907051086,0.343570351600647,-2.1255884170532227,18.0,-0.923109769821167,0.2956772446632385,-0.006572324316948652,-4.842277526855469,3.9788978099823,-3.3819408416748047,20.0,-0.19157853722572327,0.00984065793454647,4.438884570845403e-05,-0.5345999002456665,1.3127694129943848,-0.1369459629058838,21.0,-0.14863154292106628,0.032113030552864075,0.004221857525408268,-0.5672655701637268,0.9777591228485107,-0.15833573043346405,22.0,-0.009856336750090122,0.0014921810943633318,0.007719839923083782,0.1051543727517128,0.29212599992752075,-0.13816902041435242
1689263722654559600,0,63722.65234375,1.0,-0.2667571008205414,0.029081743210554123,0.005748066119849682,-0.46831563115119934,0.4092695116996765,-0.0856737270951271,16.0,-0.3165295720100403,0.03687981888651848,0.024386292323470116,0.49196866154670715,1.008188247680664,-0.3119315207004547,17.0,-0.4520215690135956,0.12375403940677643,0.06931217759847641,-1.1845006942749023,1.2815067768096924,-1.6939090490341187,18.0,-0.8378931283950806,0.47105303406715393,-0.07871998846530914,-4.242286682128906,2.9106297492980957,-1.45083749294281,20.0,-0.19163517653942108,0.051242612302303314,-0.008533530868589878,-0.6038563251495361,0.7217739820480347,-0.1102583110332489,21.0,-0.1555924117565155,0.07640151679515839,-0.004793908912688494,-0.7785710692405701,0.5975638031959534,-0.2025768905878067,22.0,-0.0026056075002998114,0.014012303203344345,0.008877701126039028,-0.07897111773490906,-0.12322164326906204,0.0021488135680556297
1689263722690940100,0,63722.69140625,1.0,-0.22333383560180664,0.06709139049053192,-0.0037370414938777685,-0.4651395380496979,0.5768573880195618,-0.2829675078392029,16.0,-0.2339395135641098,0.09236930310726166,0.004728670697659254,0.26144057512283325,0.9622283577919006,-0.027450762689113617,17.0,-0.3583027422428131,0.12576983869075775,0.03600689023733139,-1.0066925287246704,1.2876245975494385,-1.0374053716659546,18.0,-0.8290570378303528,0.523901641368866,-0.09780742973089218,-3.71328067779541,1.958459496498108,-0.3387076258659363,20.0,-0.16906028985977173,0.06664326041936874,-0.0036978095304220915,-0.44748198986053467,0.5622428059577942,0.0715794637799263,21.0,-0.14275553822517395,0.09447270631790161,-0.0007483487133868039,-0.6559926867485046,0.7301101088523865,-0.07616323977708817,22.0,-0.0074532050639390945,0.0045789144933223724,0.008626259863376617,-0.0779419094324112,-0.09974664449691772,0.06581729650497437
1689263722715575600,0,63722.71484375,1.0,-0.20334920287132263,0.10127624124288559,-0.01509175542742014,-0.5110002160072327,0.665753960609436,-0.2538689970970154,16.0,-0.2192009538412094,0.1226135715842247,-0.006986166816204786,-0.3875488340854645,1.0553545951843262,-0.06943818926811218,17.0,-0.30629169940948486,0.1326984465122223,0.012244204990565777,-1.5489177703857422,0.9654242396354675,-0.44863179326057434,18.0,-0.8160419464111328,0.5338310599327087,-0.09073387831449509,-3.1537978649139404,1.0203540325164795,0.3953016996383667,20.0,-0.16987577080726624,0.1045466959476471,-0.014461351558566093,-0.4936612844467163,0.5808007121086121,-0.18455229699611664,21.0,-0.14026686549186707,0.1017468273639679,-0.011623608879745007,-0.44610705971717834,0.0005996449617668986,-0.07022681832313538,22.0,-0.006988503038883209,0.004023188725113869,0.0071765100583434105,-0.11240623146295547,0.11536304652690887,-0.011066154576838017
