%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683145635128939600,1667,-1250,-87,45634.671875
1683145635129057800,1667,-1251,-391,45634.6796875
1683145635196908400,1667,-1251,840,45634.69140625
1683145635196959600,1667,-1251,356,45634.69921875
1683145635196986800,1667,-1251,-403,45634.7109375
1683145635197011800,1667,-1251,396,45634.71875
1683145635197044800,1667,-1251,204,45634.73046875
1683145635197341900,1667,-1251,212,45634.73828125
1683145635198322400,1667,-1251,-503,45634.75
1683145635246650000,1667,-1251,181,45634.76171875
1683145635246676100,1667,-1251,-178,45634.76953125
1683145635246685300,1667,-1251,300,45634.78125
1683145635246691300,1667,-1251,-75,45634.7890625
1683145635246695300,1667,-1251,204,45634.80078125
1683145635293236500,1667,-1251,408,45634.80859375
1683145635293279300,1667,-1251,49,45634.8203125
1683145635293305200,1667,-1251,-194,45634.828125
1683145635293382400,1667,-1252,49,45634.83984375
1683145635293397400,1667,-1252,404,45634.8515625
1683145635418924500,1667,-1252,545,45634.859375
1683145635418974800,1667,-1252,-118,45634.87109375
1683145635419004400,1667,-1252,81,45634.87890625
1683145635419019300,1667,-1252,397,45634.890625
1683145635419128700,1667,-1252,-126,45634.8984375
1683145635419142500,1667,-1252,245,45634.91015625
1683145635419149300,1667,-1252,261,45634.921875
1683145635419154000,1673,-1254,-174,45634.9296875
1683145635419161000,1685,-1262,157,45634.94140625
1683145635419302500,1692,-1272,-726,45634.94921875
1683145635419374700,1704,-1284,205,45634.9609375
1683145635419396900,1722,-1302,553,45634.97265625
1683145635465593400,1732,-1313,-30,45634.98046875
1683145635465618800,1741,-1322,-86,45634.9921875
1683145635465622600,1747,-1332,281,45635.00390625
1683145635465625900,1746,-1333,-22,45635.01171875
1683145635465631000,1744,-1331,-82,45635.01953125
1683145635621781200,1744,-1332,69,45635.03125
1683145635621831200,1744,-1330,-66,45635.0390625
1683145635621934900,1741,-1324,265,45635.05078125
1683145635622026500,1738,-1316,-114,45635.05859375
1683145635622037000,1736,-1317,329,45635.0703125
1683145635622040900,1737,-1317,-118,45635.078125
1683145635622045900,1737,-1317,133,45635.08984375
1683145635622264900,1736,-1318,113,45635.1015625
1683145635622612400,1736,-1320,209,45635.109375
1683145635622755200,1735,-1322,-414,45635.12109375
1683145635622762800,1735,-1323,433,45635.12890625
1683145635622767400,1736,-1323,121,45635.140625
1683145635623204900,1736,-1323,-362,45635.1484375
1683145635623409600,1735,-1323,437,45635.16015625
1683145635623441700,1736,-1323,-66,45635.171875
1683145635623463100,1736,-1323,113,45635.1796875
1683145635679871300,1736,-1323,213,45635.19140625
1683145635679914600,1736,-1323,125,45635.19921875
1683145635680146700,1736,-1323,-230,45635.2109375
1683145635680244800,1736,-1323,521,45635.21875
1683145635680482300,1736,-1323,161,45635.23046875
