%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9
1685056263839142800,0,56263.7890625,-0.0011979029513895512,-0.0009003742015920579,1.3068410158157349,0.03740387037396431,0.007816318422555923,-0.015678513795137405,-0.13319247961044312,0.5927794575691223,-0.20220455527305603
1685056263839152900,0,56263.81640625,-0.001067984034307301,-0.00032742414623498917,1.3068432807922363,0.03884854540228844,0.031028155237436295,-0.015124720521271229,-0.037972625344991684,0.7625972032546997,0.04064885154366493
1685056263839205500,0,56263.81640625,-0.0009495055419392884,5.1231014367658645e-05,1.306812047958374,0.0355859100818634,0.034023504704236984,-0.01599515788257122,-0.6478326916694641,-0.4272075295448303,-0.26392969489097595
1685056263841124300,0,56263.83984375,-0.0007486226386390626,0.0018934315303340554,1.3069692850112915,0.026510609313845634,0.06263241916894913,-0.012615706771612167,-0.5690982937812805,-0.3999437093734741,0.03893058001995087
1685056263855372200,0,56263.85546875,-0.0007816510042175651,0.0026861047372221947,1.3070257902145386,0.031792689114809036,0.08099837601184845,-0.007767391391098499,0.28322190046310425,0.5771229267120361,0.3619930148124695
1685056263858748200,0,56263.859375,-0.0007066579419188201,0.0035284983459860086,1.3070902824401855,0.03159994259476662,0.08779943734407425,-0.001684836926870048,0.030513789504766464,-0.06447524577379227,0.32729190587997437
1685056263898072100,0,56263.8984375,-0.0008030079188756645,0.004989756736904383,1.3073381185531616,0.03420184925198555,0.08891163021326065,0.004843209404498339,0.11995820701122284,-0.037323180586099625,0.10364292562007904
1685056263898417000,0,56263.8984375,-0.0005880722310394049,0.00623637018725276,1.307483434677124,0.026278497651219368,0.07332900166511536,0.004464985337108374,0.08271601051092148,-0.044082045555114746,0.04164641350507736
1685056263898807600,0,56263.8984375,-0.0005880722310394049,0.00623637018725276,1.307483434677124,0.026278497651219368,0.07332900166511536,0.004464985337108374,0.08271601051092148,-0.044082045555114746,0.04164641350507736
1685056263909177000,0,56263.90625,-0.000498647743370384,0.006645575165748596,1.307532787322998,0.022302966564893723,0.05523849278688431,0.00280797784216702,0.1638658493757248,-0.35463574528694153,0.025637518614530563
1685056263919115800,0,56263.91796875,-0.000429061969043687,0.006861818954348564,1.3075685501098633,0.01936992071568966,0.03730456903576851,0.0013225751463323832,-0.019879285246133804,-0.3984358012676239,0.0694085881114006
1685056263930555000,0,56263.9296875,-0.0003997191961389035,0.006898646242916584,1.3075956106185913,0.015865471214056015,0.018751302734017372,0.00040950404945760965,-0.0538618266582489,-0.5918951034545898,0.11871271580457687
1685056263939109600,0,56263.9375,-0.0004447005339898169,0.006760684307664633,1.307616114616394,0.011885999701917171,-0.0015018797712400556,-0.0009214965393766761,0.16103193163871765,-0.95462965965271,0.00028239222592674196
1685056263949054300,0,56263.94921875,-0.0005795257748104632,0.00648925919085741,1.307631015777588,0.0077317748218774796,-0.018548041582107544,-0.0021915254183113575,0.19884353876113892,-1.0075286626815796,-0.056380949914455414
1685056263960277400,0,56263.9609375,-0.0007948197307996452,0.006138077937066555,1.3076417446136475,0.004729977808892727,-0.029268644750118256,-0.003815300529822707,0.1539020985364914,-0.8497635722160339,-0.2213137000799179
1685056263969617300,0,56263.96875,-0.001076851855032146,0.005755939055234194,1.3076456785202026,0.0035942443646490574,-0.03359716758131981,-0.00606125732883811,0.17872914671897888,-0.5850422382354736,-0.41893407702445984
1685056263979020200,0,56263.9765625,-0.0014959708787500858,0.005430081393569708,1.3076395988464355,-0.0018324439879506826,-0.02622748352587223,-0.010915611870586872,0.08169238269329071,-0.026577653363347054,-0.8642700910568237
