%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9
1689263306684367900,0,63306.68359375,1.0027012825012207,0.061213020235300064,1.0701534748077393,-0.007728372700512409,-0.007134678773581982,-0.0010844620410352945,0.015360146760940552,0.01681872084736824,-0.01635829359292984
1689263306712511800,0,63306.7109375,1.0024909973144531,0.06107690930366516,1.0701261758804321,-0.006247257348150015,-0.00545481126755476,-0.0010014900472015142,0.03037336654961109,0.029832853004336357,-0.0116895055398345
1689263306744261000,0,63306.7421875,1.0023524761199951,0.06095394119620323,1.0700920820236206,-0.003853452391922474,-0.004874453414231539,-0.0009507800568826497,-0.0048704128712415695,0.03746010363101959,-0.004612812772393227
1689263306773900300,0,63306.7734375,1.0022671222686768,0.06085400655865669,1.0700457096099854,-0.0032569151371717453,-0.004029240924865007,-0.001991878030821681,0.012161714024841785,0.0408981516957283,-0.0386771485209465
1689263306806258500,0,63306.8046875,1.0021952390670776,0.0607074499130249,1.0699650049209595,-0.002226192969828844,-0.005151932127773762,-0.0031660201493650675,-0.0258710365742445,0.0011279374593868852,-0.01554635725915432
1689263306833885600,0,63306.83203125,1.0021005868911743,0.0606205016374588,1.0699328184127808,-0.002544327173382044,-0.0030431540217250586,-0.0013361674500629306,-0.036590978503227234,0.04023950919508934,0.042660392820835114
1689263306867492600,0,63306.8671875,1.0019735097885132,0.06059689819812775,1.0699101686477661,-0.003981771878898144,-0.003096558852121234,-0.0010986638953909278,-0.02687697298824787,-0.025843188166618347,-0.030244553461670876
1689263306917350800,0,63306.91796875,1.0016382932662964,0.060468725860118866,1.0697710514068604,-0.006718053948134184,-0.004751256667077541,-0.002642214996740222,-0.04056643694639206,-0.03563610464334488,0.007318312302231789
1689263306947445200,0,63306.9453125,1.0014045238494873,0.06037118658423424,1.0697101354599,-0.00786709226667881,-0.004717152565717697,-0.0015980553580448031,-0.017219122499227524,-0.06353648751974106,0.041393909603357315
1689263306978896400,0,63306.9765625,1.0011556148529053,0.0603037029504776,1.0696738958358765,-0.007054168730974197,-0.004352185875177383,-0.0006443512393161654,-0.02991912141442299,-0.04950187727808952,-0.0022857682779431343
1689263307012513900,0,63307.01171875,1.0009098052978516,0.06018505245447159,1.0696052312850952,-0.008244670927524567,-0.007054084911942482,-0.002507018856704235,-0.03126712888479233,-0.04833672195672989,-0.051302939653396606
1689263307037318700,0,63307.03515625,1.0008230209350586,0.060139697045087814,1.0695743560791016,-0.008452518843114376,-0.007991032674908638,-0.0027865569572895765,-0.025208227336406708,-0.013583026826381683,-0.030451590195298195
1689263307071683600,0,63307.0703125,1.0004122257232666,0.059956129640340805,1.0694814920425415,-0.010683666914701462,-0.007317990064620972,-0.002741450211033225,-0.04236794635653496,-0.0002422816469334066,-0.000585118483286351
1689263307118253800,0,63307.1171875,0.9997934103012085,0.05940448120236397,1.0690757036209106,-0.011221391148865223,-0.01311735063791275,-0.004176997113972902,-0.02991836704313755,-0.20071491599082947,-0.015099605545401573
