%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,field.t,field.steps
1692118093227245100,-9.4618849609375,0.28490999755859375,-3.1483751831054687,0.4122137404580153,-3.1755725190839694,-0.3969465648854962,0.0,0.0,18093.484109163284,0.0
1692118093281250900,-9.469067565917967,0.29927520751953124,-3.1651345947265623,0.3816793893129771,-3.351145038167939,-0.5648854961832062,0.0,0.0,18093.506600141525,0.0
1692118093281275900,-9.425971936035156,0.27293898925781246,-3.076549133300781,0.7709923664122137,-3.4732824427480917,-0.3893129770992366,0.0,0.0,18093.52684521675,0.0
1692118093281279000,-9.406818322753905,0.258573779296875,-3.1004911499023438,0.46564885496183206,-3.381679389312977,-0.4122137404580153,0.0,0.0,18093.547348499298,0.0
1692118093329579600,-9.449913952636718,0.27293898925781246,-3.162740393066406,0.6870229007633588,-3.114503816793893,-0.3816793893129771,0.0,0.0,18093.5692820549,0.0
1692118093329609400,-9.387664709472656,0.23223756103515625,-3.1316157714843746,0.5190839694656488,-3.267175572519084,-0.44274809160305345,0.0,0.0,18093.58962750435,0.0
1692118093379143800,-9.49300958251953,0.25139117431640623,-3.1459809814453124,0.6259541984732825,-2.969465648854962,-0.5038167938931297,0.0,0.0,18093.611495018005,0.0
1692118093379167800,-9.5001921875,0.22266075439453123,-3.1794998046874996,0.5190839694656488,-3.2290076335877864,-0.3816793893129771,0.0,0.0,18093.631419420242,0.0
1692118093379170100,-9.41639512939453,0.20829554443359374,-3.1699229980468746,0.42748091603053434,-3.1297709923664123,-0.3893129770992366,0.0,0.0,18093.65461754799,0.0
1692118093428691000,-9.433154541015625,0.2346317626953125,-3.1387983764648437,0.48091603053435117,-3.312977099236641,-0.48091603053435117,0.0,0.0,18093.67409515381,0.0
1692118093428717200,-9.437942944335937,0.2825157958984375,-3.347093920898437,0.549618320610687,-3.435114503816794,-0.3435114503816794,0.0,0.0,18093.694233894348,0.0
1692118093494427600,-9.445125549316407,0.19871873779296872,-3.2417490478515623,0.48854961832061067,-3.687022900763359,-0.6335877862595419,0.0,0.0,18093.71620464325,0.0
1692118093494694800,-9.447519750976562,0.29448680419921874,-3.2154128295898436,0.3511450381679389,-3.6412213740458017,-0.5648854961832062,0.0,0.0,18093.73609995842,0.0
1692118093494866400,-9.466673364257812,0.2442085693359375,-3.1866824096679687,0.366412213740458,-3.5267175572519083,-0.5419847328244275,0.0,0.0,18093.757830381393,0.0
1692118093550151000,-9.521740002441407,0.2154781494140625,-3.208230224609375,0.5038167938931297,-3.648854961832061,-0.4732824427480916,0.0,0.0,18093.778457403183,0.0
1692118093550182300,-9.402029919433593,0.3016694091796875,-3.0789433349609374,0.6183206106870229,-3.4732824427480917,-0.3435114503816794,0.0,0.0,18093.801025867462,0.0
1692118093550189000,-9.536105212402344,0.26336218261718747,-3.1579519897460937,0.46564885496183206,-3.351145038167939,-0.5343511450381679,0.0,0.0,18093.82087111473,0.0
1692118093603810100,-9.466673364257812,0.28012159423828126,-3.162740393066406,0.6793893129770993,-3.435114503816794,-0.5190839694656488,0.0,0.0,18093.841103076935,0.0
1692118093603841100,-9.421183532714844,0.19153613281249998,-3.2824504760742186,0.6946564885496184,-3.1068702290076335,-0.6793893129770993,0.0,0.0,18093.863678216934,0.0
1692118093649576700,-9.430760339355468,0.229843359375,-3.0693665283203124,0.4580152671755725,-3.351145038167939,-0.45038167938931295,0.0,0.0,18093.884177207947,0.0
1692118093649602400,-9.452308154296874,0.20350714111328125,-3.1507693847656246,0.4961832061068702,-3.213740458015267,-0.48854961832061067,0.0,0.0,18093.90614748001,0.0
1692118093649606500,-9.473855969238281,0.258573779296875,-3.1699229980468746,0.5954198473282443,-3.2442748091603053,-0.4351145038167939,0.0,0.0,18093.926515817642,0.0
1692118093700153100,-9.435548742675781,0.23223756103515625,-3.2704794677734372,0.3816793893129771,-3.2442748091603053,-0.16793893129770993,0.0,0.0,18093.949079990387,0.0
1692118093700184500,-9.53131680908203,0.24660277099609373,-3.2225954345703123,0.4122137404580153,-3.0839694656488548,-0.2366412213740458,0.0,0.0,18093.96914768219,0.0
1692118093748928100,-9.433154541015625,0.201112939453125,-3.1699229980468746,0.45038167938931295,-3.3587786259541983,-0.24427480916030533,0.0,0.0,18093.990915060043,0.0
1692118093748964100,-9.399635717773437,0.2442085693359375,-3.124433166503906,0.42748091603053434,-3.114503816793893,-0.04580152671755725,0.0,0.0,18094.011674404144,0.0
1692118093796326000,-9.557653027343749,0.24660277099609373,-3.134009973144531,0.16793893129770993,-3.3206106870229006,-0.022900763358778626,0.0,0.0,18094.03203201294,0.0
1692118093796354700,-9.423577734375,0.229843359375,-2.9472622436523435,0.3435114503816794,-3.236641221374046,-0.04580152671755725,0.0,0.0,18094.05492401123,0.0
1692118093796358200,-9.473855969238281,0.23702596435546874,-3.1699229980468746,0.4580152671755725,-3.1755725190839694,-0.24427480916030533,0.0,0.0,18094.07501912117,0.0
1692118093843340000,-9.452308154296874,0.3016694091796875,-3.076549133300781,0.4580152671755725,-3.404580152671756,-0.3053435114503817,0.0,0.0,18094.097747564316,0.0
1692118093843368900,-9.418789331054686,0.22744915771484372,-3.095702746582031,0.46564885496183206,-3.1908396946564888,-0.5038167938931297,0.0,0.0,18094.117824316025,0.0
1692118093893836400,-9.428366137695312,0.16280571289062498,-3.1794998046874996,0.4580152671755725,-3.1297709923664123,-0.24427480916030533,0.0,0.0,18094.14133954048,0.0
1692118093893865500,-9.368511096191405,0.3016694091796875,-3.066972326660156,0.6641221374045801,-2.877862595419847,0.0916030534351145,0.0,0.0,18094.161581277847,0.0
1692118093946921900,-9.452308154296874,0.3591302490234375,-2.9640216552734375,0.5267175572519084,-2.4732824427480917,-0.4122137404580153,0.0,0.0,18094.182173013687,0.0
