%time,field.mx,field.my,field.fz,
1.67607E+18,395,161,640.92,1455.570176
1.67607E+18,412,184,660.52,1455.58016
1.67607E+18,422,202,678.16,1455.600128
1.67607E+18,430,222,693.84,1455.660032
1.67607E+18,431,242,699.72,1455.660032
1.67607E+18,431,260,709.52,1455.699968
1.67607E+18,432,277,717.36,1455.710208
1.67607E+18,435,295,721.28,1455.74016
1.67607E+18,435,308,729.12,1455.79008
1.67607E+18,435,322,735,1455.79008
1.67607E+18,434,337,735,1455.820032
1.67607E+18,431,351,733.04,1696.329984
1.67607E+18,432,366,721.28,1696.339968
1.67607E+18,432,379,717.36,1696.350208
1.67607E+18,429,387,709.52,1696.350208
1.67607E+18,424,396,697.76,1696.390144
1.67607E+18,417,406,687.96,1696.420096
1.67607E+18,409,415,678.16,1696.43008
1.67607E+18,396,422,670.32,1696.450048
1.67607E+18,386,431,664.44,1696.470016
1.67607E+18,374,442,658.56,1696.489984
1.67607E+18,364,455,652.68,1696.489984
1.67607E+18,353,468,652.68,1696.54016
1.67607E+18,345,481,654.64,1696.550144
1.67607E+18,340,494,656.6,1696.59008
1.67607E+18,335,509,656.6,1696.630016
1.67607E+18,334,522,664.44,1751.15008
1.67607E+18,330,536,664.44,1751.160064
1.67607E+18,329,549,668.36,1751.180032
1.67607E+18,323,560,666.4,1751.190016
1.67607E+18,316,567,664.44,1751.209984
1.67607E+18,310,575,658.56,1751.270144
1.67607E+18,302,584,644.84,1751.280128
1.67607E+18,289,591,623.28,1751.300096
1.67607E+18,278,599,599.76,1751.36
1.67607E+18,266,605,572.32,1751.369984
1.67607E+18,254,612,542.92,1847.890176
1.67607E+18,243,620,515.48,1847.90016
1.67607E+18,235,631,488.04,1847.970048
1.67607E+18,226,639,464.52,1848.019968
1.67607E+18,219,646,435.12,1848.030208
1.67607E+18,210,648,401.8,1848.040192
1.67607E+18,199,649,360.64,1848.120064
1.67607E+18,177,645,317.52,1848.120064
1.67607E+18,149,638,272.44,1848.190208
1.67607E+18,115,631,223.44,1848.200192
1.67607E+18,83,619,194.04,1848.250112
1.67607E+18,70,591,178.36,1848.290048
1.67607E+18,55,549,162.68,2096.169984
1.67607E+18,39,505,147,2096.169984
1.67607E+18,23,452,133.28,2096.230144
1.67607E+18,14,396,117.6,2096.240128
1.67607E+18,12,335,105.84,2096.260096
1.67607E+18,15,275,94.08,2096.32
1.67607E+18,19,215,84.28,2096.32
1.67607E+18,26,163,80.36,2096.38016
1.67607E+18,28,119,70.56,2096.38016
1.67607E+18,34,88,66.64,2096.450048
1.67607E+18,34,67,58.8,2096.460032
1.67607E+18,30,48,52.92,2096.470016
1.67607E+18,23,33,47.04,2096.510208
1.67607E+18,14,21,37.24,2096.560128
1.67607E+18,7,13,33.32,2096.570112
1.67607E+18,1,6,29.4,2096.570112
1.67607E+18,-6,0,23.52,2096.630016
1.67607E+18,-10,-5,15.68,2187.36
1.67607E+18,-13,-3,15.68,2187.369984
1.67607E+18,-15,-2,11.76,2187.440128
1.67607E+18,-9,-1,13.72,2187.450112
1.67607E+18,-3,-10,15.68,2187.460096
1.67607E+18,0,-18,17.64,2187.47008
1.67607E+18,-5,-23,15.68,2187.500032
1.67607E+18,-15,-23,13.72,2187.560192
1.67607E+18,-36,-21,7.84,2187.570176
1.67607E+18,-41,-7,1.96,2187.600128
1.67607E+18,-30,4,3.92,2187.610112
1.67607E+18,-31,6,5.88,2187.63008
1.67607E+18,-29,7,7.84,2187.670016
1.67607E+18,-30,1,9.8,2187.68
1.67607E+18,-33,-2,9.8,2187.689984
1.67607E+18,-32,-2,9.8,2324.770048
1.67607E+18,-29,-8,5.88,2324.8
1.67607E+18,-27,-8,5.88,2324.819968
1.67607E+18,-25,-3,5.88,2324.870144
1.67607E+18,-27,-4,7.84,2324.890112
1.67607E+18,-29,-2,5.88,2324.91008
1.67607E+18,-33,0,3.92,2324.920064
1.67607E+18,-31,2,3.92,2324.940032
1.67607E+18,-31,1,1.96,2324.950016
1.67607E+18,-27,0,0,2325.02016
1.67607E+18,-23,2,1.96,2325.02016
1.67607E+18,-23,2,1.96,2325.030144
1.67607E+18,-21,4,0,2325.080064
1.67607E+18,-20,4,1.96,2450.270208
1.67607E+18,-20,4,1.96,2450.290176
1.67607E+18,-19,4,0,2450.30016
