%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9
1689262742793174000,0,62742.79296875,1.1503952741622925,1.1755536794662476,1.0894440412521362,-0.0033462645951658487,-0.0023983237333595753,-0.00027988312649540603,-0.022920789197087288,-0.010296601802110672,-0.01160725113004446
1689262742828555600,0,62742.828125,1.150334119796753,1.1754984855651855,1.089424967765808,-0.003312533488497138,-0.001526946434751153,-0.0004621781699825078,0.02019481547176838,-0.01012524776160717,0.014431015588343143
1689262742855713200,0,62742.85546875,1.1502571105957031,1.175451397895813,1.0894238948822021,-0.003561226651072502,-0.0009361538104712963,-2.3147904357756488e-05,0.009095601737499237,0.041181232780218124,0.02551928721368313
1689262742886082000,0,62742.88671875,1.1501868963241577,1.1754004955291748,1.0894314050674438,-0.0032058493234217167,-0.0015642036451026797,0.0003487170615699142,0.0239604189991951,-0.0015886536566540599,0.0009752142941579223
1689262742915962800,0,62742.9140625,1.1501381397247314,1.17536199092865,1.0894392728805542,-0.003081739880144596,-0.001603919779881835,0.00037851702654734254,-0.018176043406128883,-0.01925835944712162,0.0009978817543014884
1689262742946277500,0,62742.9453125,1.150075078010559,1.175331473350525,1.089426040649414,-0.0028204398695379496,-0.0015066241612657905,-0.0007313980022445321,0.008961165323853493,0.0048948316834867,-0.04049070179462433
1689262742976631300,0,62742.9765625,1.1500327587127686,1.175305724143982,1.0894038677215576,-0.002542701084166765,-0.0017944591818377376,-0.0011607460910454392,0.010759305208921432,-0.009913935326039791,-0.00744037376716733
1689262743015158600,0,62743.015625,1.1500024795532227,1.17531418800354,1.0894168615341187,-0.0013723556185141206,-0.0017223964678123593,0.0002631321840453893,0.006703174207359552,-0.04731496796011925,0.041737329214811325
1689262743047770600,0,62743.046875,1.1499741077423096,1.1752771139144897,1.089441180229187,-0.002358002122491598,-0.0023245273623615503,0.00013447720266412944,0.004890624433755875,-0.03998610004782677,-0.021255994215607643
1689262743071372400,0,62743.0703125,1.149903655052185,1.175214171409607,1.0894560813903809,-0.003579615382477641,-0.002670723246410489,0.00031283951830118895,0.02295275218784809,-0.047961149364709854,0.022269124165177345
1689262743100225300,0,62743.1015625,1.1498421430587769,1.1751514673233032,1.0894761085510254,-0.004658358171582222,-0.0035230224020779133,0.0008353252778761089,0.026956310495734215,0.017664046958088875,0.03153974562883377
1689262743129062300,0,62743.12890625,1.1497353315353394,1.174997329711914,1.0895274877548218,-0.00511067034676671,-0.003822900354862213,0.0007361869211308658,-0.0070986682549119,-0.025313718244433403,-0.01424905750900507
1689262743159389600,0,62743.16015625,1.149645209312439,1.174936294555664,1.089553952217102,-0.00345210125669837,-0.002769965212792158,3.175460733473301e-05,0.000338333920808509,0.004444683436304331,-0.04266970232129097
1689262743190838600,0,62743.19140625,1.149542212486267,1.1749107837677002,1.0895617008209229,-0.003954918123781681,-0.0016801221063360572,-0.0003902815224137157,-0.03257032483816147,-0.015026380307972431,-0.02924254536628723
1689262743236813700,0,62743.234375,1.1493855714797974,1.1748517751693726,1.0895925760269165,-0.006117061711847782,-0.0017327038804069161,0.00019336314289830625,-0.013152928091585636,0.0190683975815773,-0.011003212071955204
1689262743266575800,0,62743.265625,1.149306058883667,1.1747950315475464,1.0896096229553223,-0.005304097663611174,-0.0018848221516236663,-6.094155469327234e-05,-0.0225478895008564,-0.009940280579030514,-0.011993314139544964
1689262743296949400,0,62743.296875,1.149176836013794,1.1747493743896484,1.0896090269088745,-0.006412283517420292,-0.0017793952720239758,-0.0007364928023889661,-0.015035000629723072,-0.011620551347732544,-0.016181595623493195
1689262743329389000,0,62743.328125,1.1489198207855225,1.1746582984924316,1.0896046161651611,-0.007397972978651524,-0.0043495288118720055,-9.867309927358292e-06,0.009618662297725677,-0.021112246438860893,0.02955835498869419
1689262743359492700,0,62743.359375,1.1487501859664917,1.1745208501815796,1.0896050930023193,-0.006952117197215557,-0.005804883781820536,-0.0006208533304743469,0.0062216706573963165,-0.05964484438300133,-0.02829369530081749
1689262743403351200,0,62743.40234375,1.148510456085205,1.1743054389953613,1.0895934104919434,-0.007835841737687588,-0.0069237444549798965,-0.0009184105438180268,-0.007405381184071302,-0.05432261899113655,-0.011396444402635098
1689262743435913700,0,62743.43359375,1.1482704877853394,1.1741310358047485,1.0895814895629883,-0.008149884641170502,-0.006354380398988724,-0.0012949666706845164,0.02033158205449581,-0.02557840198278427,-0.015444292686879635
1689262743465583900,0,62743.46484375,1.1480369567871094,1.1739758253097534,1.089576005935669,-0.007872789166867733,-0.006713468115776777,-0.0010395890567451715,0.020823780447244644,-0.032301850616931915,0.003777426667511463
1689262743498741300,0,62743.49609375,1.1478800773620605,1.1737741231918335,1.0895826816558838,-0.0040127490647137165,-0.004619920626282692,-0.0006980737671256065,-0.002740628784522414,-7.669292972423136e-05,0.022810710594058037
1689262743544360800,0,62743.54296875,1.1478991508483887,1.1735377311706543,1.0895951986312866,-0.0015219381311908364,-0.006374027114361525,0.0005021757679060102,0.027814608067274094,-0.014927049167454243,0.03458655625581741
1689262743575242700,0,62743.57421875,1.147882342338562,1.173280954360962,1.089585542678833,-0.0006666518747806549,-0.009040536358952522,-0.0002633629774209112,0.05530945956707001,-0.02253742888569832,-0.004983327351510525
