%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42,field.data43,field.data44,field.data45,field.data46,field.data47,field.data48,field.data49,field.data50
1689262742700163400,0,62742.69921875,259.0,4097.0,-0.4921712577342987,11.988389015197754,28.458894729614258,4098.0,4353.0,-15.520691871643066,-3.6853604316711426,28.295063018798828,4354.0,4609.0,-2.4410552978515625,-4.83505916595459,3.0067930221557617,4610.0,4865.0,-2.135529090463938e-15,1.4519357031844466e-15,-8.244264849250303e-16,260.0,5121.0,3.899265766143799,-3.854851245880127,4.351339817047119,5122.0,5377.0,1.0343353748321533,2.4498393535614014,3.4225211143493652,5378.0,5633.0,6.684813976287842,19.1672420501709,1.1202267408370972,5634.0,5889.0,-2.4463844646338724e-15,4.432110484419967e-15,-3.3691089153289795,1280.0,1792.0,2.8405584464187127e-15,2.180771661275632e-15,6.975334849484884e-16,1280.0,3328.0,89.99933624267578,94.51795196533203,94.51812744140625
1689262742731461100,0,62742.73046875,259.0,4097.0,-0.49278903007507324,11.977203369140625,28.482372283935547,4098.0,4353.0,-15.50619125366211,-3.681452989578247,28.299257278442383,4354.0,4609.0,-2.4449872970581055,-4.849668025970459,3.007016181945801,4610.0,4865.0,-1.7659642745330322e-15,-1.076766599637151e-15,-4.6087297579400447e-17,260.0,5121.0,3.9054462909698486,-3.830044746398926,4.369245529174805,5122.0,5377.0,1.0195719003677368,2.454516887664795,3.407041311264038,5378.0,5633.0,6.692846775054932,19.160886764526367,1.104245662689209,5634.0,5889.0,-6.409653742419112e-15,-6.876468899183567e-17,-3.3659636974334717,1280.0,1792.0,-2.994145213271941e-15,2.2600390161829392e-16,1.1060676927441638e-15,1280.0,3328.0,89.99966430664062,95.53406524658203,95.5343017578125
1689262742762274100,0,62742.76171875,259.0,4097.0,-0.48873016238212585,11.979206085205078,28.50653076171875,4098.0,4353.0,-15.50065803527832,-3.682633399963379,28.29856300354004,4354.0,4609.0,-2.444897413253784,-4.846494197845459,3.005783796310425,4610.0,4865.0,-1.9641192680928217e-15,-3.0179254515078687e-15,1.0038704148008538e-15,260.0,5121.0,3.9058327674865723,-3.823251724243164,4.386159420013428,5122.0,5377.0,1.0027469396591187,2.459411382675171,3.3927109241485596,5378.0,5633.0,6.713061809539795,19.155961990356445,1.0930267572402954,5634.0,5889.0,-1.3504515634552537e-14,-2.3030406554535535e-15,-3.3765435218811035,1280.0,1792.0,-7.9373276377361305e-16,-1.3830710775397247e-15,-2.6625255146143373e-16,1280.0,3328.0,89.99992370605469,3.4627110958099365,3.463021755218506
1689262742793062700,0,62742.79296875,259.0,4097.0,-0.4796784520149231,11.979907989501953,28.511735916137695,4098.0,4353.0,-15.50279426574707,-3.6784586906433105,28.29559898376465,4354.0,4609.0,-2.4430463314056396,-4.848369121551514,3.0056822299957275,4610.0,4865.0,-2.233825993443379e-15,-4.140580537518554e-16,7.351351833012382e-16,260.0,5121.0,3.8986289501190186,-3.8281147480010986,4.387171268463135,5122.0,5377.0,0.9957720041275024,2.4622836112976074,3.381495714187622,5378.0,5633.0,6.724331378936768,19.163761138916016,1.0828702449798584,5634.0,5889.0,1.397933752906959e-15,8.523640879210242e-15,-3.3808789253234863,1280.0,1792.0,1.4296470899686337e-15,-9.014423203794171e-16,1.3512978823802033e-17,1280.0,3328.0,89.99983215332031,16.703542709350586,16.703575134277344
1689262742828515400,0,62742.828125,259.0,4097.0,-0.47133496403694153,11.972058296203613,28.528959274291992,4098.0,4353.0,-15.505343437194824,-3.671515464782715,28.2902774810791,4354.0,4609.0,-2.4420716762542725,-4.845364093780518,3.0045528411865234,4610.0,4865.0,2.4449858014797187e-15,-2.364521271380586e-15,4.675915154001725e-16,260.0,5121.0,3.8971571922302246,-3.837293863296509,4.3919148445129395,5122.0,5377.0,0.9706687331199646,2.4708163738250732,3.3487563133239746,5378.0,5633.0,6.758393287658691,19.165700912475586,1.0617239475250244,5634.0,5889.0,-1.435204494311393e-14,4.298548211714541e-15,-3.370471715927124,1280.0,1792.0,2.3842581978427953e-15,4.0994989101811286e-16,-1.4570494528452576e-15,1280.0,3328.0,89.99989318847656,-126.69927978515625,-126.69918060302734
1689262742855767400,0,62742.85546875,259.0,4097.0,-0.47866424918174744,11.958614349365234,28.54404640197754,4098.0,4353.0,-15.501418113708496,-3.6610755920410156,28.291698455810547,4354.0,4609.0,-2.4430158138275146,-4.846142292022705,3.0072219371795654,4610.0,4865.0,2.744079064385843e-15,5.456873708018677e-16,-8.648286859596396e-16,260.0,5121.0,3.902090072631836,-3.8284003734588623,4.39421272277832,5122.0,5377.0,0.9522866010665894,2.457918405532837,3.3221538066864014,5378.0,5633.0,6.780949592590332,19.163366317749023,1.0458341836929321,5634.0,5889.0,-9.97486073367514e-15,3.2465654784766956e-15,-3.3602209091186523,1280.0,1792.0,-3.5286926714493162e-15,-5.968124266135652e-16,-2.3638324218362315e-15,1280.0,3328.0,89.99980163574219,-131.77976989746094,-131.77963256835938
1689262742886092200,0,62742.88671875,259.0,4097.0,-0.4904991686344147,11.947271347045898,28.546422958374023,4098.0,4353.0,-15.491856575012207,-3.643876314163208,28.281848907470703,4354.0,4609.0,-2.440735101699829,-4.8477020263671875,3.007841110229492,4610.0,4865.0,2.712409349520952e-15,1.717125837102007e-15,2.2295963873608237e-16,260.0,5121.0,3.909869909286499,-3.827147960662842,4.386727333068848,5122.0,5377.0,0.937727689743042,2.462357759475708,3.2982218265533447,5378.0,5633.0,6.802201271057129,19.140764236450195,1.0333865880966187,5634.0,5889.0,3.9517755700865906e-16,5.662172153939136e-15,-3.355724334716797,1280.0,1792.0,-3.161502830023393e-16,2.726312760075421e-15,-4.0084608678014205e-16,1280.0,3328.0,89.99959564208984,-98.65715789794922,-98.6571044921875
1689262742915962600,0,62742.9140625,259.0,4097.0,-0.5048984289169312,11.974641799926758,28.559429168701172,4098.0,4353.0,-15.502632141113281,-3.6514925956726074,28.265907287597656,4354.0,4609.0,-2.440253496170044,-4.8490447998046875,3.0085031986236572,4610.0,4865.0,-6.304644632728273e-16,3.0552876512947823e-15,2.5575500744831516e-16,260.0,5121.0,3.913050651550293,-3.8219246864318848,4.391108512878418,5122.0,5377.0,0.9337589144706726,2.4428789615631104,3.283158302307129,5378.0,5633.0,6.818010330200195,19.13692855834961,1.025713562965393,5634.0,5889.0,-9.717505019244971e-15,-2.4227384811200845e-15,-3.344015121459961,1280.0,1792.0,-8.795582845099264e-17,-3.1532340943922965e-15,1.4143297696669606e-15,1280.0,3328.0,89.9994888305664,-97.11273193359375,-97.11257934570312
1689262742946259800,0,62742.9453125,259.0,4097.0,-0.508093535900116,11.97847843170166,28.574512481689453,4098.0,4353.0,-15.513595581054688,-3.635124444961548,28.255016326904297,4354.0,4609.0,-2.4420888423919678,-4.861952304840088,3.005323648452759,4610.0,4865.0,2.147800268529048e-15,1.0249887461209165e-15,1.9091730878373825e-15,260.0,5121.0,3.9258029460906982,-3.8169376850128174,4.3958740234375,5122.0,5377.0,0.9293973445892334,2.4534900188446045,3.2726433277130127,5378.0,5633.0,6.820274353027344,19.095163345336914,1.0253493785858154,5634.0,5889.0,-9.423822602805908e-15,-2.8701270960579395e-15,-3.320096254348755,1280.0,1792.0,2.810567127338806e-15,8.908979248564036e-16,1.1965760218944827e-15,1280.0,3328.0,89.99957275390625,-98.64080810546875,-98.640625
1689262742976391400,0,62742.9765625,259.0,4097.0,-0.504177451133728,11.962738990783691,28.594696044921875,4098.0,4353.0,-15.520698547363281,-3.6148791313171387,28.26079750061035,4354.0,4609.0,-2.4397761821746826,-4.859743118286133,3.003427743911743,4610.0,4865.0,1.7066183933913174e-15,2.563293010805095e-15,-1.5325262294344833e-15,260.0,5121.0,3.932374954223633,-3.806703567504883,4.395256996154785,5122.0,5377.0,0.9328609108924866,2.474231481552124,3.254868268966675,5378.0,5633.0,6.812655448913574,19.043411254882812,1.013514518737793,5634.0,5889.0,-8.22386490774863e-15,-8.28018074027978e-15,-3.320521831512451,1280.0,1792.0,-2.383200888966385e-15,8.419664726198579e-16,-3.5957557109547874e-16,1280.0,3328.0,89.99956512451172,-94.05043029785156,-94.05029296875
