%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28
1676072639641408100,0,72639.0,1.0,-0.015987591817975044,0.029927900061011314,-0.010980289429426193,16.0,-0.13053889572620392,-0.15323035418987274,-0.21630217134952545,17.0,-0.021817801520228386,0.08767665922641754,0.0012496026465669274,18.0,-0.09221741557121277,0.1599133163690567,-0.05095143988728523,20.0,-0.05687764659523964,-0.14860713481903076,0.07699476927518845,21.0,-0.09484604001045227,-0.19805622100830078,0.09155058860778809,22.0,-0.024217896163463593,-0.010190571658313274,0.023813264444470406
1676072639642849500,0,72639.0,1.0,0.005265519022941589,0.08620312809944153,-0.041713107377290726,16.0,0.1439540684223175,0.13455866277217865,-0.03760142996907234,17.0,-0.1951933652162552,0.10614599287509918,0.07497571408748627,18.0,-0.1306871771812439,0.2027902603149414,0.012443296611309052,20.0,0.04359773173928261,0.06907397508621216,-0.06274067610502243,21.0,-0.08829254657030106,-0.07735398411750793,0.08730436116456985,22.0,-0.06136605888605118,-0.008728806860744953,0.04305296018719673
1676072639654844700,0,72639.0,1.0,0.023706059902906418,0.010853489860892296,-0.054047323763370514,16.0,0.05124494060873985,-0.19686761498451233,-0.25311726331710815,17.0,-0.09293923527002335,0.1422189325094223,0.07577145099639893,18.0,-0.1099083423614502,0.12056349217891693,0.06313744187355042,20.0,0.11470495164394379,-0.012665570713579655,-0.28982940316200256,21.0,-0.08922789990901947,-0.1719612330198288,0.08415865153074265,22.0,-0.050309646874666214,-0.035089682787656784,0.01196982804685831
1676072639672645600,0,72639.0,1.0,-0.0002214778505731374,0.04526244103908539,0.011445516720414162,16.0,0.07659714668989182,0.11125060170888901,0.10222191363573074,17.0,-0.13466167449951172,0.10948238521814346,0.10521607100963593,18.0,-0.0801008939743042,0.1394159495830536,0.02975347451865673,20.0,0.058739956468343735,-0.002088004956021905,-0.13696716725826263,21.0,-0.1542656123638153,-0.07222752273082733,0.015031849034130573,22.0,0.0001865618978627026,-0.0073391143232584,0.00813546683639288
1676072639686757500,0,72639.0,1.0,-0.05065726488828659,0.04685278981924057,0.08174256980419159,16.0,0.02880428172647953,0.05413757637143135,0.07336066663265228,17.0,-0.2021116018295288,0.09552717953920364,0.11658898741006851,18.0,-0.03787309676408768,0.17618732154369354,0.0725158229470253,20.0,0.03595172241330147,0.1504145860671997,-0.10678738355636597,21.0,0.033902447670698166,-0.07046137750148773,-0.03806137293577194,22.0,-0.011855979450047016,-0.05943740904331207,-0.003983085975050926
1676072639699761500,0,72639.0,1.0,0.09009247273206711,0.02684762142598629,0.0140132587403059,16.0,-0.04868884012103081,0.08314234018325806,0.07856396585702896,17.0,-0.10760501772165298,0.015207814052700996,0.07792939990758896,18.0,-0.04770451784133911,0.06961564719676971,0.06734771281480789,20.0,-0.007104667369276285,0.15516115725040436,0.18263952434062958,21.0,-0.02721296437084675,-0.07378850877285004,-0.011940128169953823,22.0,-0.03378022089600563,-0.013749683275818825,0.011922149918973446
1676072639702946100,0,72639.0,1.0,-0.022811705246567726,-0.00147901417221874,0.07011380791664124,16.0,0.02283165417611599,0.1691877394914627,0.08100605756044388,17.0,-0.1359213888645172,0.002608050126582384,0.08695805072784424,18.0,-0.012882554903626442,0.11971808969974518,0.060778066515922546,20.0,-0.04572732374072075,-0.05530337616801262,0.094258151948452,21.0,0.0888403058052063,-0.10618865489959717,-0.061725568026304245,22.0,0.09138357639312744,0.018463993445038795,-0.04287625476717949
1676072639716197700,0,72639.0,1.0,0.015010413713753223,0.03463466465473175,0.06392953544855118,16.0,-0.009151865728199482,0.10168661922216415,-0.060865145176649094,17.0,-0.05436985194683075,-0.02815920114517212,0.07754432410001755,18.0,-0.03735360875725746,0.04151070490479469,0.07391110807657242,20.0,-0.001899189897812903,0.13618607819080353,0.1219329833984375,21.0,0.05093058571219444,0.04941307380795479,-0.0499577671289444,22.0,-0.003960825502872467,0.0003307567094452679,-0.0008382208179682493
1676072639741931800,0,72639.0,1.0,-0.025214703753590584,0.04986903816461563,-0.017732257023453712,16.0,-0.02123931795358658,0.0802600234746933,0.09629613161087036,17.0,-0.06476009637117386,-0.04345501586794853,0.054629307240247726,18.0,0.021743427962064743,0.012016159482300282,-0.015266665257513523,20.0,0.00645150151103735,0.0749863013625145,-0.030176784843206406,21.0,0.031446754932403564,-0.07267563790082932,-0.021613579243421555,22.0,0.03136461228132248,-0.002966043073683977,-0.03632376343011856
1676072639742974700,0,72639.0,1.0,-0.009437697939574718,0.06856761127710342,-0.01796361245214939,16.0,0.004462527111172676,0.1404900848865509,0.2244940549135208,17.0,-0.054470185190439224,-0.17224261164665222,0.05187181010842323,18.0,-0.04259248822927475,-0.029238330200314522,0.06669727712869644,20.0,0.0019886698573827744,0.07796771079301834,-0.06910161674022675,21.0,0.022997967898845673,0.04581207409501076,-0.026111653074622154,22.0,0.026309551671147346,-0.0024582857731729746,-0.007577450014650822
