%time,field.mx,field.my,field.fz
1676072640296945300,-23.0,8.0,-188.16
1676072640296957500,-23.0,8.0,-188.16
1676072640296988100,-22.0,8.0,-188.16
1676072640297000800,-24.0,9.0,-192.07999999999998
1676072640341734700,-23.0,10.0,-196.0
1676072640341741000,-22.0,10.0,-196.0
1676072640341783400,-22.0,10.0,-196.0
1676072640341789400,-23.0,10.0,-196.0
1676072640341834200,-21.0,11.0,-197.96
1676072640391187900,-20.0,12.0,-192.07999999999998
1676072640391196000,-23.0,8.0,-188.16
1676072640391226500,-21.0,9.0,-190.12
1676072640391246300,-20.0,12.0,-190.12
1676072640391267000,-25.0,8.0,-188.16
1676072640436553800,-23.0,10.0,-196.0
1676072640436562900,-23.0,9.0,-196.0
1676072640436566900,-20.0,12.0,-190.12
1676072640436622000,-25.0,8.0,-188.16
1676072640497841400,-24.0,9.0,-194.04
1676072640497863700,-24.0,9.0,-194.04
1676072640497871100,-24.0,9.0,-194.04
1676072640497882400,-25.0,9.0,-192.07999999999998
1676072640574121600,-22.0,10.0,-196.0
1676072640633710700,-21.0,11.0,-197.96
1676072640633734200,-21.0,11.0,-197.96
1676072640633739600,-20.0,12.0,-197.96
1676072640633767300,-25.0,9.0,-188.16
1676072640633804300,-21.0,12.0,-197.96
1676072640633864900,-20.0,13.0,-194.04
1676072640633873200,-21.0,12.0,-192.07999999999998
1676072640633913700,-20.0,12.0,-190.12
1676072640633920200,-20.0,10.0,-188.16
1676072640633971100,-25.0,9.0,-190.12
1676072640633976800,-24.0,10.0,-194.04
1676072640680361700,-23.0,9.0,-194.04
1676072640680378800,-22.0,9.0,-196.0
1676072640680384900,-24.0,8.0,-188.16
1676072640680444200,-20.0,10.0,-197.96
1676072640680510400,-19.0,11.0,-190.12
1676072640726508700,-18.0,10.0,-188.16
1676072640726520900,-23.0,8.0,-192.07999999999998
1676072640726540100,-21.0,10.0,-196.0
1676072640726554700,-21.0,10.0,-197.96
1676072640726574500,-20.0,10.0,-197.96
1676072640781623700,-21.0,10.0,-197.96
1676072640781636900,-24.0,9.0,-192.07999999999998
1676072640781675800,-22.0,10.0,-196.0
1676072640781682400,-22.0,10.0,-196.0
1676072640781696400,-23.0,9.0,-194.04
1676072640835920800,-24.0,9.0,-192.07999999999998
1676072640835943000,-24.0,8.0,-190.12
1676072640835961200,-25.0,8.0,-190.12
1676072640835981500,-22.0,10.0,-196.0
1676072640896702700,-21.0,10.0,-197.96
1676072640896712100,-23.0,9.0,-194.04
1676072640896715800,-20.0,11.0,-194.04
1676072640896752600,-19.0,11.0,-190.12
