%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42,field.data43,field.data44,field.data45,field.data46,field.data47,field.data48,field.data49,field.data50,%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42,field.data43,field.data44,field.data45,field.data46,field.data47,field.data48,field.data49,%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,%time,field.mx,field.my,field.fz,%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
1.6760774579920105e+18,0.0,77457.0,4.608092784881592,-2.8280763626098637,1.0015119314193726,-1.201228380203247,-0.1528660804033279,-0.0684701278805732,-3.1077880859375,-0.3270594179630279,1.6301093101501465,1.6760774577694497e+18,0.0,77457.0,259.0,4097.0,-8.734929084777832,-5.705145359039307,34.704383850097656,4098.0,4353.0,2.834072589874268,-9.3695650100708,26.048229217529297,4354.0,4609.0,3.068464994430542,14.904735565185549,10.233023643493652,4610.0,4865.0,-2.8192573148007213e-16,4.4001381670346696e-16,-7.066940933334845e-16,260.0,5121.0,-7.714839458465576,2.589113235473633,-5.9039411544799805,5122.0,5377.0,-0.5369143486022949,1.928917407989502,-3.925127506256104,5378.0,5633.0,7.95539379119873,3.4841771125793457,12.9865083694458,5634.0,5889.0,-1.3097671786882226e-16,1.5989066397938063e-16,4.22730506461437e-16,1280.0,1792.0,3.0592763294434028e-15,1.3386769161038245e-15,-3.0074413012032286e-16,1280.0,3328.0,89.98776245117188,-70.6318130493164,-70.63459014892578,1.6760774576655263e+18,0.0,77457.0,1.0,-2.05448579788208,6.306974411010742,-24.412673950195312,-128.18365478515625,107.79000854492188,-99.7447280883789,16.0,-5.992567539215088,7.13007116317749,-0.8607630133628845,-229.70062255859372,-250.67547607421875,-573.4384155273438,17.0,-66.77276611328125,131.6852569580078,12.89693546295166,-445.4859313964844,-55.76081466674805,853.830322265625,18.0,-59.16940307617188,136.25491333007812,14.189695358276367,140.05824279785156,227.6224670410156,829.1600341796875,20.0,9.154067039489746,-45.94747161865234,-7.469370365142822,137.55126953125,-332.1391906738281,-697.2152099609375,21.0,0.8032678365707397,-8.411191940307617,17.099275588989258,-54.16146469116211,137.02532958984375,-217.3726348876953,22.0,1.2810142040252686,-23.49881935119629,3.123792886734009,163.02078247070312,5.8277668952941895,73.6388931274414,1.6760774578778012e+18,0.0,77457.0,1.0,-1.6928147077560425,0.9117318987846376,0.5229770541191101,16.0,-0.5421169996261597,-0.840834379196167,0.9059154987335204,17.0,-3.133992910385132,0.2642181515693664,1.8772647380828855,18.0,6.508299827575684,0.5831587910652161,-2.936522483825684,20.0,-0.710966944694519,0.9559569954872132,1.355209469795227,21.0,-4.228455543518066,-0.5011354684829712,-0.4768547415733337,22.0,-0.7012085318565369,-0.2371662557125091,0.7833223342895508,1676077458142368800,-42.0,3.0,-188.16,1.67607745826722e+18,-0.941650390625,-0.078125,0.031494140625,0.6564885496183206,-0.1679389312977099,5.603053435114504,0.0,0.0
1.6760774580157716e+18,0.0,77458.0,4.595395565032959,-2.8296942710876465,1.0001943111419678,-1.2323201894760132,-0.1574516743421554,-0.0457426384091377,-2.287062406539917,-0.3188199996948242,2.869652032852173,1.6760774577779937e+18,0.0,77457.0,259.0,4097.0,-8.961165428161621,-5.386004447937012,34.54239654541016,4098.0,4353.0,1.926283359527588,-8.511499404907227,24.30589866638184,4354.0,4609.0,2.894694805145264,15.049875259399414,10.458721160888672,4610.0,4865.0,-2.861323247362415e-15,-2.4505585470449905e-18,-9.29862605100404e-16,260.0,5121.0,-8.465496063232422,2.909604787826538,-7.118644714355469,5122.0,5377.0,-0.0353448875248432,1.268860936164856,-4.67583703994751,5378.0,5633.0,7.708342552185059,3.469658374786377,13.248656272888184,5634.0,5889.0,2.992098569913138e-15,-4.8925566019306704e-17,-3.871198649303269e-16,1280.0,1792.0,-1.180069043818391e-15,-9.872292878817406e-16,-2.8074903728021335e-17,1280.0,3328.0,89.98725891113281,-68.30783081054688,-68.309814453125,1.67607745766955e+18,0.0,77457.0,1.0,-3.2245891094207764,7.13506555557251,-25.87381362915039,-117.01032257080078,82.80912780761719,-146.11407470703125,16.0,-6.801299571990967,4.401187419891357,-5.223423004150391,-80.8731918334961,-272.88836669921875,-436.2659912109375,17.0,-69.917236328125,131.33811950683594,20.56938362121582,-314.4468994140625,-34.71250534057617,767.2446899414062,18.0,-57.79204177856445,137.48182678222656,21.74477767944336,137.73622131347656,122.69232940673828,755.5083618164062,20.0,10.360892295837402,-48.62922668457031,-14.855021476745604,120.68248748779295,-268.1753234863281,-738.5650024414062,21.0,0.1137885898351669,-8.145553588867188,14.903257369995115,-68.94792938232422,26.563779830932617,-219.60186767578125,22.0,2.82522201538086,-19.930566787719727,3.5347163677215576,154.4207763671875,356.8254089355469,41.09234619140625,1.6760774579021427e+18,0.0,77457.0,1.0,-1.942406415939331,0.8280730247497559,0.7006192207336426,16.0,0.4810794591903686,-1.5518059730529783,0.4058906137943268,17.0,-3.766577005386353,0.0355143286287784,2.119361639022827,18.0,7.338565349578857,0.5072491765022278,-3.228264331817627,20.0,-1.1177146434783936,0.8798470497131348,1.3399754762649536,21.0,-3.8821184635162354,-0.4250980317592621,-0.4148848950862884,22.0,-1.3751850128173828,-0.4369686841964721,1.056160807609558,1676077458142395600,-40.0,5.0,-192.08,1.6760774582672402e+18,-0.953369140625,-0.081787109375,-0.0009765625,0.5801526717557252,0.0229007633587786,5.641221374045801,0.0,0.0
1.6760774580190938e+18,0.0,77458.0,4.568318843841553,-2.833707809448242,1.0035566091537476,-1.2894926071166992,-0.2156355232000351,0.0729178488254547,-0.9418320655822754,-1.5878435373306274,4.56926155090332,1.6760774577862991e+18,0.0,77457.0,259.0,4097.0,-9.073382377624512,-5.266175746917725,34.477561950683594,4098.0,4353.0,1.5300302505493164,-8.211198806762695,23.49123764038086,4354.0,4609.0,2.8623764514923096,15.10214138031006,10.55469799041748,4610.0,4865.0,2.384108696527605e-15,2.759810954375638e-16,7.886230904588607e-16,260.0,5121.0,-8.819838523864746,3.136125087738037,-7.723206043243408,5122.0,5377.0,0.2174956202507019,0.8584809303283691,-4.995234966278076,5378.0,5633.0,7.570907592773437,3.517110586166382,13.433138847351074,5634.0,5889.0,-2.851900005824211e-15,2.0300216607023174e-16,2.300210877195454e-16,1280.0,1792.0,1.847364034885052e-15,3.8232346145716063e-16,5.3823077433106554e-17,1280.0,3328.0,89.98954010009766,-69.09952545166016,-69.10125732421875,1.6760774576832174e+18,0.0,77457.0,1.0,-3.797195434570313,7.146484851837158,-25.980632781982425,-57.26063919067383,1.1419332027435305,-10.681814193725586,16.0,-5.60508394241333,2.6319398880004883,-8.34179973602295,119.62156677246094,-176.92477416992188,-311.83770751953125,17.0,-70.9178237915039,130.24546813964844,27.25305938720703,-100.05878448486328,-109.26545715332033,668.3675537109375,18.0,-59.053035736083984,136.16539001464844,28.432640075683597,-126.09954071044922,-131.6428680419922,668.7861328125,20.0,11.954893112182615,-50.81621551513672,-20.619733810424805,159.40003967285156,-218.6986846923828,-576.4713134765625,21.0,-0.5034066438674927,-7.665015697479248,13.148390769958496,-61.719520568847656,48.0538215637207,-175.48667907714844,22.0,4.49880838394165,-16.487503051757812,4.148705005645752,167.35862731933594,344.3063659667969,61.398887634277344,1.6760774579073252e+18,0.0,77457.0,1.0,-2.744649887084961,0.0849828571081161,1.158965826034546,16.0,-3.0517146587371826,3.194190740585327,2.0452823638916016,17.0,-3.647303581237793,-0.4497067034244537,2.1493115425109863,18.0,8.23274040222168,1.3816378116607666,-3.697874784469605,20.0,-3.654334783554077,0.5437846779823303,0.6143373847007751,21.0,-2.410480499267578,-0.2951176762580871,0.2591109871864319,22.0,-0.7901924252510071,-0.5495254993438721,1.8113877773284912,1676077458142403800,-37.0,8.0,-190.12,1.6760774582672479e+18,-0.953857421875,-0.07958984375,-0.000244140625,0.5267175572519084,0.1908396946564885,5.618320610687023,0.0,0.0
1.6760774580304484e+18,0.0,77458.0,4.554875373840332,-2.8340845108032227,1.0086051225662231,-1.2955578565597534,-0.2359025478363037,0.1720166057348251,-0.7141567468643188,-1.9278391599655151,6.097961902618408,1.6760774578010573e+18,0.0,77457.0,259.0,4097.0,-9.169297218322754,-5.134908676147461,34.44245910644531,4098.0,4353.0,1.152924418449402,-8.000443458557129,22.741256713867188,4354.0,4609.0,2.870396852493286,15.14179515838623,10.635719299316406,4610.0,4865.0,2.529397081596583e-15,-5.31025283424455e-16,-3.460012593107977e-16,260.0,5121.0,-9.17934799194336,3.348460912704468,-8.323375701904297,5122.0,5377.0,0.459727793931961,0.4431902766227722,-5.274631023406982,5378.0,5633.0,7.438181400299072,3.584418296813965,13.64895725250244,5634.0,5889.0,-2.5487886303745488e-15,-1.3926504907775788e-15,7.152807310175975e-16,1280.0,1792.0,5.342521083765794e-16,2.8936188666357683e-16,6.547703913316448e-16,1280.0,3328.0,89.98910522460938,-67.06268310546875,-67.06414794921875,1.6760774577032297e+18,0.0,77457.0,1.0,-4.273795127868652,6.7191162109375,-25.5932559967041,-47.65999603271485,-42.73686218261719,38.73748779296875,16.0,-2.726136922836304,1.5871593952178955,-12.661952018737791,287.89471435546875,-104.47805786132812,-432.0152893066406,17.0,-70.77554321289062,128.2216339111328,33.329139709472656,14.22859001159668,-202.3834686279297,607.608154296875,18.0,-60.52713394165039,133.87933349609375,34.7173957824707,-147.41014099121094,-228.60650634765625,628.475341796875,20.0,13.361340522766112,-52.22396469116211,-24.73709297180176,140.644775390625,-140.77516174316406,-411.7359619140625,21.0,0.241304874420166,-7.123151779174805,9.81633472442627,74.47115325927734,54.1863899230957,-333.20556640625,22.0,5.810297012329102,-15.14962387084961,4.416281223297119,131.14883422851562,133.78785705566406,26.757604598999023,1.6760774579248893e+18,0.0,77457.0,1.0,-3.334761619567871,-0.176421508193016,1.4202936887741089,16.0,-3.9033241271972656,3.978068590164185,2.6096153259277344,17.0,1.724934697151184,1.3362396955490112,3.638604164123535,18.0,10.765066146850586,-2.7052602767944336,0.4257650673389435,20.0,-2.7253875732421875,0.3408448696136474,0.7521361112594604,21.0,-4.045608043670654,-0.4508883953094482,0.336659699678421,22.0,-0.8469063639640808,-0.0988207906484603,1.7413556575775146,1676077458142419000,-39.0,9.0,-192.08,1.67607745826728e+18,-0.937744140625,0.001220703125,0.001708984375,0.7251908396946565,0.3435114503816794,5.625954198473282,0.0,0.0
1.6760774580441661e+18,0.0,77458.0,4.540358066558838,-2.8372809886932373,1.0133427381515503,-1.3059813976287842,-0.2782450914382934,0.2550000846385956,-0.2520703375339508,-1.5712461471557615,5.86185884475708,1.6760774578106442e+18,0.0,77457.0,259.0,4097.0,-9.237181663513184,-5.026218891143799,34.459815979003906,4098.0,4353.0,0.7861204147338867,-7.897094249725342,22.070959091186523,4354.0,4609.0,2.910131931304932,15.164441108703612,10.695545196533203,4610.0,4865.0,1.5898195379867642e-15,3.938054959830051e-16,7.653094614977517e-16,260.0,5121.0,-9.5066499710083,3.5419411659240723,-8.908438682556152,5122.0,5377.0,0.6810360550880432,0.092010922729969,-5.4908647537231445,5378.0,5633.0,7.321260452270508,3.640972375869751,13.912081718444824,5634.0,5889.0,2.756596517280367e-15,-9.455050801747042e-16,3.418172606584963e-16,1280.0,1792.0,-2.4633274529195638e-15,6.006776497101235e-16,-8.579252086208394e-16,1280.0,3328.0,89.99103546142578,-66.26981353759766,-66.27082061767578,1.6760774577113587e+18,0.0,77457.0,1.0,-5.191400051116943,6.840743541717529,-25.30207061767578,-52.851341247558594,7.351307868957519,-5.791965484619141,16.0,-2.483992576599121,-0.220899149775505,-19.756261825561523,24.09757232666016,-180.83966064453125,-709.4100952148438,17.0,-67.7468032836914,124.5287094116211,39.75098037719727,0.1784889847040176,0.2983766794204712,-0.6304702758789062,18.0,-66.353271484375,126.74971771240234,45.73148727416992,-325.3403015136719,-390.5478515625,530.6403198242188,20.0,16.447721481323242,-55.1435432434082,-26.94322395324707,140.68453979492188,-149.78335571289062,-70.16870880126953,21.0,2.7038166522979736,-6.9998393058776855,-0.2152032405138015,157.32334899902344,114.33296966552734,-563.52685546875,22.0,7.413150787353516,-11.007479667663574,5.478029251098633,122.4521484375,238.83778381347656,31.511234283447266,1.6760774579285043e+18,0.0,77457.0,1.0,-3.6437387466430655,-0.1012475341558456,1.7630890607833862,16.0,-3.988628387451172,2.746102809906006,2.413092374801636,17.0,-2.036067008972168,-3.498524904251098,1.4760589599609375,18.0,15.593080520629885,-5.564688682556152,0.6486815810203552,20.0,-3.999841690063477,-0.0407598763704299,0.1993917971849441,21.0,-3.3344008922576904,-0.7112975120544434,0.3241994082927704,22.0,-1.0886590480804443,-0.2783342003822326,1.956153988838196,1676077458142441900,-36.0,11.0,-192.08,1.6760774582673638e+18,-0.950927734375,-0.03857421875,-0.00439453125,1.0,0.5114503816793893,5.549618320610687,0.0,0.0
1.6760774580473572e+18,0.0,77458.0,4.526302337646484,-2.8397774696350098,1.0176855325698853,-1.3278906345367432,-0.2972955703735351,0.3148576021194458,-0.6333255171775818,-1.583866834640503,5.022744178771973,1.67607745782969e+18,0.0,77457.0,259.0,4097.0,-9.285350799560549,-4.947163105010986,34.518638610839844,4098.0,4353.0,0.4494353830814361,-7.951655387878418,21.495140075683597,4354.0,4609.0,2.943169116973877,15.213959693908691,10.777957916259766,4610.0,4865.0,8.187669284088323e-17,7.313107766048258e-16,3.797959151425538e-16,260.0,5121.0,-9.786283493041992,3.693621873855591,-9.458959579467772,5122.0,5377.0,0.8663107752799988,-0.150483027100563,-5.633325576782227,5378.0,5633.0,7.218872547149658,3.6771836280822754,14.221129417419434,5634.0,5889.0,-1.881549861119762e-15,-1.3100132152896204e-15,4.488057341458359e-17,1280.0,1792.0,-2.1510232288933506e-15,-3.133205312140199e-16,-4.777850275247859e-16,1280.0,3328.0,89.99420928955078,-65.63907623291016,-65.63895416259766,1.6760774577213427e+18,0.0,77457.0,1.0,-5.570730209350586,7.030317783355713,-25.672216415405277,-37.93300247192383,18.957447052001957,-37.01465225219727,16.0,-1.0082086324691772,0.3073652386665344,-21.41704559326172,147.57839965820312,52.826438903808594,-166.07818603515625,17.0,-62.73883056640625,120.27120208740234,43.29334259033203,500.7965698242188,-425.74945068359375,354.2361145019531,18.0,-68.20187377929688,123.57585144042967,50.08047103881836,-184.8597412109375,-317.3864440917969,434.8984375,20.0,18.693567276000977,-56.51090621948242,-27.69487953186035,224.5844573974609,-136.73635864257812,-75.16531372070312,21.0,4.717607975006104,-6.14719295501709,-4.79591703414917,201.37911987304688,85.2646484375,-458.0714111328125,22.0,8.86454963684082,-10.474278450012209,5.834839820861816,145.1398468017578,53.320068359375,35.681053161621094,1.6760774579397486e+18,0.0,77457.0,1.0,-3.955559730529785,-0.2299049198627472,1.996153712272644,16.0,-5.9195427894592285,2.525367259979248,3.149422645568848,17.0,0.5716454386711121,3.9322805404663086,-3.779340267181397,18.0,8.559303283691406,1.9175769090652464,0.190384104847908,20.0,-4.219658851623535,-0.6807383894920349,0.1051824763417244,21.0,-3.697464227676392,-0.5888925790786743,0.2275710254907608,22.0,-1.3196086883544922,-0.826130211353302,2.6667640209198,1676077458188328800,-37.0,11.0,-194.04,1.676077458314691e+18,-0.93994140625,-0.052490234375,-0.01953125,1.0916030534351144,0.7022900763358778,5.5038167938931295,0.0,0.0
1.6760774580579725e+18,0.0,77458.0,4.512406349182129,-2.8425493240356445,1.0214223861694336,-1.3625046014785769,-0.2853558957576751,0.3389179408550262,-1.1037483215332031,-0.4675354361534118,2.958092451095581,1.6760774578386278e+18,0.0,77457.0,259.0,4097.0,-9.45756721496582,-4.679721355438232,34.63561248779297,4098.0,4353.0,-0.2037541568279266,-8.349170684814453,20.391014099121094,4354.0,4609.0,3.0808985233306885,15.169054985046388,10.837844848632812,4610.0,4865.0,7.075231797701689e-17,5.929113502005365e-17,-1.211735026444358e-16,260.0,5121.0,-10.236145973205566,3.664360523223877,-10.389300346374512,5122.0,5377.0,1.1166653633117676,-0.263346254825592,-5.643882751464844,5378.0,5633.0,7.020699977874756,3.7057580947875977,14.975570678710938,5634.0,5889.0,-2.371943609339139e-15,-6.603465151025381e-16,-1.6255074448045316e-16,1280.0,1792.0,1.522810867408595e-15,1.0791668263118735e-16,8.701149656438944e-16,1280.0,3328.0,89.99742889404297,-102.33881378173828,-102.33665466308594,1.676077457734721e+18,0.0,77457.0,1.0,-5.582467079162598,6.911994934082031,-25.84228515625,-1.1737244129180908,-11.832317352294922,-17.006750106811523,16.0,1.1889829635620115,1.912603616714477,-21.339778900146484,219.7191467285156,160.52383422851562,7.7266130447387695,17.0,-58.71154022216797,116.5579605102539,43.05794143676758,402.7291564941406,-371.3248291015625,-23.539928436279297,18.0,-67.75762176513672,123.1982650756836,51.23586654663086,44.42499542236328,-37.758907318115234,115.53924560546876,20.0,21.139083862304688,-57.8763542175293,-28.516855239868164,244.5516662597656,-136.5448455810547,-82.19779205322266,21.0,5.009288311004639,-7.358573436737059,-6.082971096038818,29.1680908203125,-121.13810729980467,-128.7053680419922,22.0,10.422690391540527,-10.79913330078125,6.358972549438477,155.81402587890625,-32.48550033569336,52.41328430175781,1.6760774579544259e+18,0.0,77457.0,1.0,-4.470792770385742,-1.1084755659103394,2.127469062805176,16.0,-8.371859550476074,0.8825391530990601,3.905649900436402,17.0,3.887694120407105,2.908632755279541,-3.346482038497925,18.0,6.892220973968506,1.6993297338485718,-5.695568084716797,20.0,-4.241483211517334,-0.9979602694511414,0.2794301509857178,21.0,-3.9015793800354,-0.8315660953521729,0.2545506060123443,22.0,-1.8170758485794067,-0.6578600406646729,2.520573616027832,1676077458188348200,-34.0,13.0,-194.04,1.6760774583147005e+18,-0.954345703125,-0.041259765625,-0.052490234375,1.1603053435114503,0.8625954198473282,5.5038167938931295,0.0,0.0
1.6760774580710607e+18,0.0,77458.0,4.499013900756836,-2.84466552734375,1.02461576461792,-1.3893492221832275,-0.2468309551477432,0.337938517332077,-1.3710256814956665,0.8709046840667725,1.5191929340362549,1.676077457849628e+18,0.0,77457.0,259.0,4097.0,-9.566271781921388,-4.483602046966553,34.72315979003906,4098.0,4353.0,-0.5265688300132751,-8.734543800354004,19.975160598754883,4354.0,4609.0,3.129019498825073,15.145752906799316,10.89057731628418,4610.0,4865.0,5.622179599213642e-16,-9.329879449175354e-16,2.7262359249226817e-17,260.0,5121.0,-10.414822578430176,3.473146915435791,-10.745687484741213,5122.0,5377.0,1.1857631206512451,-0.1753243952989578,-5.489854335784912,5378.0,5633.0,6.928001403808594,3.7223751544952393,15.423372268676758,5634.0,5889.0,-1.3479007872620684e-15,-4.838546538665734e-16,-2.5913715706714243e-16,1280.0,1792.0,1.218160036047078e-16,-1.2124399960844901e-15,-1.4323867121574093e-15,1280.0,3328.0,89.99546813964844,-113.539306640625,-113.53609466552734,1.6760774577445537e+18,0.0,77457.0,1.0,-4.910168647766113,6.983514308929443,-25.95282554626465,67.2298355102539,7.151960849761963,-11.05405044555664,16.0,0.857058584690094,1.4005407094955444,-19.771034240722656,-33.19243621826172,-51.20629119873047,156.87449645996094,17.0,-53.52062225341797,112.86984252929688,41.0049057006836,519.0921630859375,-368.8112182617188,-205.3033447265625,18.0,-66.66167449951172,122.86389923095705,50.60906219482422,109.59446716308594,-33.43626403808594,-62.68011474609375,20.0,23.856185913085938,-59.46357345581055,-27.1457633972168,271.71026611328125,-158.72146606445312,137.10926818847656,21.0,5.187842845916748,-9.903882026672363,-4.777445793151856,17.85541534423828,-254.53077697753903,130.55252075195312,22.0,12.89472484588623,-11.200603485107422,7.081167221069336,247.20339965820312,-40.14699172973633,72.21949005126953,1.6760774579682097e+18,0.0,77457.0,1.0,-4.581050395965576,-1.3416446447372437,2.2051990032196045,16.0,-10.484889030456545,-0.1823914945125579,4.308215618133545,17.0,2.6737401485443115,-6.504011154174805,7.703306198120117,18.0,10.271385192871094,6.331344127655029,-8.260819435119629,20.0,-3.4710702896118164,-0.1889509558677673,0.90379399061203,21.0,-4.466548919677734,-1.0271189212799072,0.3802289068698883,22.0,-2.3348584175109863,-1.1275947093963623,3.0593700408935547,1676077458188393200,-30.0,13.0,-192.08,1.676077458314784e+18,-0.94482421875,-0.0390625,-0.055419921875,1.076335877862595,0.9541984732824428,5.66412213740458,0.0,0.0
1.67607745808143e+18,0.0,77458.0,4.486498355865479,-2.845741271972656,1.0275630950927734,-1.3890787363052368,-0.1907699704170227,0.3223299384117126,-0.996817708015442,0.9839244484901428,0.1785796880722046,1.6760774578632758e+18,0.0,77457.0,259.0,4097.0,-9.66966438293457,-4.191736698150635,34.86550521850586,4098.0,4353.0,-0.8933146595954895,-9.160761833190918,19.69388771057129,4354.0,4609.0,3.1883139610290527,15.076117515563965,10.968060493469238,4610.0,4865.0,-2.1862077069728734e-15,9.331950444731389e-16,-8.299533749058646e-16,260.0,5121.0,-10.572023391723633,3.163978099822998,-11.000096321105955,5122.0,5377.0,1.2053464651107788,-0.056201696395874,-5.204970836639404,5378.0,5633.0,6.845710754394531,3.7625813484191895,15.920279502868652,5634.0,5889.0,-8.470599993690534e-16,-5.375451607172675e-16,-1.6447067700430302e-16,1280.0,1792.0,-1.019963829040449e-15,4.2946703890028924e-16,-1.0053780143329583e-16,1280.0,3328.0,89.99295806884766,-110.58953094482422,-110.58483123779295,1.6760774577554158e+18,0.0,77457.0,1.0,-4.193216323852539,6.490376949310303,-26.225440979003903,71.6952896118164,-49.313724517822266,-27.2614860534668,16.0,-0.1781792044639587,0.1818990409374237,-17.74848175048828,-103.5237808227539,-121.86416625976562,202.25509643554688,17.0,-48.39202880859375,108.77521514892578,37.67594146728516,512.8590698242188,-409.46331787109375,-332.8966369628906,18.0,-59.56517028808594,123.01136779785156,48.69374084472656,709.6503295898438,14.74570369720459,-191.5321350097656,20.0,27.40864944458008,-60.31979751586914,-26.021114349365234,355.2463073730469,-85.62307739257812,112.46487426757812,21.0,4.886634826660156,-12.031291961669922,-1.7946256399154663,-30.12078666687012,-212.7410430908203,298.28204345703125,22.0,14.639277458190918,-11.590032577514648,7.510880470275879,174.45538330078125,-38.942901611328125,42.971282958984375,1.676077457970492e+18,0.0,77457.0,1.0,-4.929897308349609,-1.194928765296936,2.308303117752075,16.0,-9.737512588500977,-1.1655086278915403,3.0774827003479004,17.0,1.0624514818191528,-2.1158249378204346,7.429186344146728,18.0,-0.5824636220932007,3.594241142272949,26.447843551635746,20.0,-3.8134262561798096,0.429938793182373,1.1145395040512085,21.0,-5.247200965881348,-1.5630189180374146,0.4135923683643341,22.0,-2.7096126079559326,-0.9369345903396606,2.796274423599243,1676077458188400200,-28.0,13.0,-192.08,1.6760774583147932e+18,-0.947998046875,-0.042724609375,-0.05322265625,1.045801526717557,1.045801526717557,5.755725190839694,0.0,0.0
1.6760774580882184e+18,0.0,77458.0,4.475533962249756,-2.845637321472168,1.0305122137069702,-1.35431706905365,-0.1212242320179939,0.303952008485794,-0.737644374370575,1.5100467205047607,-0.4031215906143188,1.6760774578733248e+18,0.0,77457.0,259.0,4097.0,-9.783300399780272,-3.886016607284546,35.08539962768555,4098.0,4353.0,-1.2405312061309814,-9.654424667358398,19.594762802124023,4354.0,4609.0,3.2791569232940674,15.01340675354004,11.151485443115234,4610.0,4865.0,2.9316310053910215e-15,-5.04313940614113e-16,6.588544665659498e-16,260.0,5121.0,-10.68018627166748,2.8077385425567627,-11.171735763549805,5122.0,5377.0,1.1822211742401123,0.0405294522643089,-4.816152095794678,5378.0,5633.0,6.767435550689697,3.8600592613220215,16.481096267700195,5634.0,5889.0,2.7345461320809695e-15,-4.494104296433917e-16,3.33323028974973e-16,1280.0,1792.0,-2.4205804529287174e-15,1.0203685122658892e-16,-9.789538818661845e-16,1280.0,3328.0,89.99249267578125,-124.98021697998048,-124.9737777709961,1.6760774577694574e+18,0.0,77457.0,1.0,-2.35878849029541,5.66204833984375,-22.714916229248047,183.4427490234375,-82.83284759521484,351.0523986816406,16.0,-0.7677513360977173,-0.9316842555999756,-13.265189170837402,-58.95721435546875,-111.35832977294922,448.3293762207031,17.0,-43.69757461547852,104.61666870117188,33.88351058959961,469.44573974609375,-415.8543395996094,-379.24322509765625,18.0,-50.104373931884766,120.40792846679688,42.07732009887695,946.079345703125,-260.3438415527344,-661.6421508789062,20.0,29.4608154296875,-60.20412826538086,-27.506248474121094,205.2166748046875,11.56700038909912,-148.51332092285156,21.0,3.527688503265381,-15.604841232299805,1.339722752571106,-135.8946533203125,-357.35498046875,313.434814453125,22.0,16.80852508544922,-11.344988822937012,7.635983943939209,216.9247131347656,24.504413604736328,12.510406494140623,1.6760774579813637e+18,0.0,77457.0,1.0,-4.192965030670166,-1.3347023725509644,2.051823854446411,16.0,-9.74602222442627,-1.1214736700057983,2.126440048217773,17.0,3.763139247894287,-3.623042345046997,1.416878342628479,18.0,8.157490730285645,4.234383583068848,1.328960657119751,20.0,-4.32593297958374,1.4080311059951782,1.32705819606781,21.0,-5.694189071655273,-1.9807661771774288,0.2445612996816635,22.0,-3.810262441635132,-1.6084997653961182,3.5264594554901123,1676077458188431400,-26.0,15.0,-194.04,1.6760774583147973e+18,-0.9443359375,-0.02880859375,-0.078125,1.015267175572519,0.9618320610687024,5.847328244274809,0.0,0.0
