%time,Acceleration in X,Acceleration in Y,Acceleration in Y,Angular Velocity in X,Angular Velocity in Y,Angular Velocity in Z,field.state,field.swing_time,Time in ms
1.68E+18,-0.063232422,0.270507813,-0.106933594,-2.938931298,6.992366412,-14.49618321,0,0,478.710016
1.68E+18,-0.207763672,0.495605469,-0.205322266,-3.732824427,6.427480916,-17.09160305,0,0,478.729984
1.68E+18,-0.386474609,0.774658203,-0.210693359,0.503816794,6.503816794,-19.99236641,0,0,478.739968
1.68E+18,-0.344726563,0.362792969,-0.01953125,0.20610687,6.045801527,-23.35877863,0,0,535.229952
1.68E+18,-0.255126953,0.370849609,-0.144775391,0.251908397,5.648854962,-25.77862595,0,0,535.24992
1.68E+18,-0.200683594,0.345947266,-0.130859375,0.938931298,4.854961832,-27.78625954,0,0,535.26016
1.68E+18,-0.146484375,0.280273438,-0.13671875,1.091603053,3.702290076,-29.59541985,0,0,535.270144
1.68E+18,-0.139648438,0.350585938,-0.167724609,1.72519084,2.488549618,-31.24427481,0,0,535.300096
1.68E+18,-0.152832031,0.347167969,-0.130859375,2.366412214,1.083969466,-32.77862595,0,0,535.330048
1.68E+18,-0.151367188,0.325439453,-0.114501953,2.877862595,-0.389312977,-34.10687023,0,0,580.819968
1.68E+18,-0.198730469,0.186035156,-0.136962891,2.893129771,-1.732824427,-35.32061069,0,0,580.84992
1.68E+18,-0.142089844,0.263671875,-0.141357422,3.65648855,-3.465648855,-36.08396947,0,0,580.84992
1.68E+18,-0.185546875,0.275634766,-0.155761719,4.099236641,-5.053435115,-36.54198473,0,0,580.859904
1.68E+18,-0.260253906,0.268066406,-0.129394531,4.65648855,-6.702290076,-37.54961832,0,0,580.880128
1.68E+18,-0.267333984,0.139892578,-0.100097656,4.625954198,-8.27480916,-37.97709924,0,0,630.08
1.68E+18,-0.368896484,0.176513672,-0.157470703,4.648854962,-9.832061069,-38.29770992,0,0,630.099968
1.68E+18,-0.407714844,0.166259766,-0.162597656,5.396946565,-11.40458015,-38.14503817,0,0,630.109952
1.68E+18,-0.548339844,0.248046875,-0.183105469,6.595419847,-13.02290076,-37.78625954,0,0,630.12992
1.68E+18,-0.631835938,0.309326172,-0.068603516,7.908396947,-13.96946565,-37.21374046,0,0,688.20992
1.68E+18,-0.746582031,0.292236328,-0.098876953,9.404580153,-14.96183206,-36.3740458,0,0,688.230144
1.68E+18,-0.919921875,0.320800781,-0.094726563,11.00763359,-15.54198473,-35.44274809,0,0,688.27008
1.68E+18,-1.166992188,0.332763672,-0.066650391,12.57251908,-15.61832061,-34.6259542,0,0,688.280064
1.68E+18,-1.459472656,0.282470703,-0.013427734,13.06870229,-14.81679389,-33.6259542,0,0,688.290048
1.68E+18,-1.749023438,0.182861328,0.046142578,12.5648855,-13,-32.55725191,0,0,688.32
1.68E+18,2,0.050537109,0.051269531,11.1221374,-10.41221374,-30.53435115,0,0,736.250112
1.68E+18,-1.995117188,-0.536132813,0.118896484,6.984732824,-10.17557252,-27.34351145,0,0,736.280064
1.68E+18,2,0.147705078,-0.345458984,2.458015267,-6.938931298,-24.9389313,0,0,736.290048
1.68E+18,2,-0.819335938,-0.034667969,-4.152671756,-3.335877863,-20.19083969,0,0,736.290048
1.68E+18,-1.991210938,-0.502685547,-0.119384766,-11.34351145,-2.671755725,-14.44274809,0,0,736.300032
1.68E+18,-1.204101563,0.363037109,-0.619140625,-13.04580153,-3.167938931,-8.167938931,0,0,789.520128
1.68E+18,-1.266113281,1.204101563,-0.888183594,-11.00763359,-3.86259542,-0.679389313,0,0,789.540096
1.68E+18,-1.887207031,0.200439453,-0.025390625,-14.18320611,-4.312977099,3.427480916,0,0,789.55008
1.68E+18,2,-0.162841797,-0.334472656,-18.29770992,-2.381679389,9.34351145,0,0,789.609984
1.68E+18,2,-0.340576172,-0.153320313,-21.2519084,-1.93129771,19.00763359,0,0,789.619968
1.68E+18,2,1.161376953,0.080078125,-19.80152672,1.778625954,24.21374046,0,0,848.460032
1.68E+18,2,0.939208984,-0.045410156,-16.49618321,3.893129771,26.01526718,0,0,848.489984
1.68E+18,-1.079833984,1.404785156,-0.520996094,-12.89312977,1.381679389,25.67175573,0,0,848.519936
1.68E+18,-0.689941406,0.195800781,-0.208007813,-10.58778626,-0.465648855,20.92366412,0,0,848.52992
1.68E+18,-0.752197266,0.831054688,0.332519531,-5.091603053,1.236641221,18.85496183,0,0,848.600064
1.68E+18,-1.411621094,1.602294922,0.634765625,4.442748092,3.969465649,18.35114504,0,0,848.610048
1.68E+18,-1.514404297,1.457519531,0.333251953,14.41221374,4.824427481,16.85496183,0,0,909.71008
1.68E+18,-0.938476563,-0.295654297,-0.155761719,12.90076336,4.961832061,13.72519084,0,0,909.730048
1.68E+18,-1.000488281,-0.401855469,-0.170166016,10.03816794,4.061068702,13.16030534,0,0,909.740032
