%time,field.mx,field.my,field.fz,
1.67608E+18,-34,-12,-184.24,1594.88
1.67608E+18,-44,-28,-176.4,1642.89024
1.67608E+18,-43,0,-176.4,1642.910208
1.67608E+18,-42,-4,-178.36,1642.910208
1.67608E+18,-52,-6,-180.32,1642.930176
1.67608E+18,-53,-4,-178.36,1689.240064
1.67608E+18,-52,-8,-182.28,1689.260032
1.67608E+18,-40,-2,-178.36,1689.270016
1.67608E+18,-37,-6,-178.36,1689.29024
1.67608E+18,-36,-7,-180.32,1689.330176
1.67608E+18,-33,-2,-180.32,1759.440128
1.67608E+18,-37,-1,-184.24,1759.47008
1.67608E+18,-40,-1,-184.24,1759.47008
1.67608E+18,-42,5,-186.2,1759.480064
1.67608E+18,-44,12,-190.12,1759.550208
1.67608E+18,-44,15,-192.08,1759.600128
1.67608E+18,-41,19,-190.12,1759.620096
1.67608E+18,-42,19,-192.08,1759.620096
1.67608E+18,-42,19,-192.08,1811.660032
1.67608E+18,-41,21,-194.04,1811.689984
1.67608E+18,-39,23,-194.04,1811.700224
1.67608E+18,-36,27,-196,1811.710208
1.67608E+18,-37,27,-199.92,1811.770112
1.67608E+18,-36,28,-201.88,1811.780096
1.67608E+18,-36,28,-201.88,1811.79008
1.67608E+18,-33,28,-201.88,1869.960192
1.67608E+18,-32,30,-203.84,1869.98016
1.67608E+18,-29,31,-205.8,1869.990144
1.67608E+18,-25,33,-203.84,1870.020096
1.67608E+18,-23,31,-207.76,1929.240064
1.67608E+18,-14,28,-207.76,1929.270016
1.67608E+18,-4,31,-209.72,1929.310208
1.67608E+18,0,36,-213.64,1929.320192
1.67608E+18,5,48,-213.64,1978.160128
1.67608E+18,-3,61,-217.56,1978.200064
1.67608E+18,-8,83,-215.6,1978.210048
1.67608E+18,-26,83,-215.6,1978.220032
1.67608E+18,-29,73,-203.84,1978.320128
1.67608E+18,-38,84,-203.84,2023.540224
1.67608E+18,-42,86,-192.08,2023.570176
1.67608E+18,-35,86,-178.36,2023.590144
1.67608E+18,-47,90,-156.8,2023.600128
1.67608E+18,-115,-33,-127.4,2023.610112
1.67608E+18,-88,-105,-39.2,2023.670016
1.67608E+18,-65,-101,60.76,2069.320192
1.67608E+18,-11,-75,192.08,2069.360128
1.67608E+18,62,-47,303.8,2069.370112
1.67608E+18,116,-48,372.4,2069.400064
1.67608E+18,150,-104,427.28,2069.460224
1.67608E+18,169,-183,486.08,2123.570176
1.67608E+18,179,-239,529.2,2123.590144
1.67608E+18,189,-241,556.64,2123.610112
1.67608E+18,219,-215,586.04,2123.620096
1.67608E+18,258,-192,619.36,2123.63008
1.67608E+18,300,-177,644.84,2184.06016
1.67608E+18,333,-133,642.88,2184.080128
1.67608E+18,359,-97,638.96,2184.11008
1.67608E+18,370,-39,631.12,2184.120064
1.67608E+18,378,33,611.52,2184.16
1.67608E+18,392,98,591.92,2291.31008
1.67608E+18,405,144,580.16,2412.670208
1.67608E+18,411,179,564.48,2412.70016
1.67608E+18,401,206,540.96,2412.710144
1.67608E+18,380,225,511.56,2412.75008
1.67608E+18,355,245,480.2,2412.840192
1.67608E+18,342,268,448.84,2412.850176
1.67608E+18,336,283,427.28,2412.86016
1.67608E+18,336,298,413.56,2412.870144
1.67608E+18,342,316,399.84,2412.880128
