%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9
1685054321901255800,0,54321.90234375,0.016636904329061508,-0.007028366904705763,1.3047316074371338,-0.00050967070274055,0.001543769147247076,0.000375029951101169,-0.0025548196863383055,-0.003564306767657399,0.015282556414604187
1685054321901611100,0,54321.90234375,0.016636904329061508,-0.007028366904705763,1.3047316074371338,-0.00050967070274055,0.001543769147247076,0.000375029951101169,-0.0025548196863383055,-0.003564306767657399,0.015282556414604187
1685054321911399400,0,54321.91015625,0.01663185842335224,-0.007015473209321499,1.3047329187393188,-0.00020802918879780918,0.001719481311738491,0.00021593354176729918,0.0021397187374532223,0.0042763035744428635,0.00279256422072649
1685054321941407100,0,54321.94140625,0.01663929782807827,-0.006985735613852739,1.304731845855713,0.0004984745755791664,0.001652073347941041,0.0001944125979207456,-0.024978507310152054,0.002138648647814989,0.0026030750013887882
1685054321941713500,0,54321.94140625,0.01663929782807827,-0.006985735613852739,1.304731845855713,0.0004984745755791664,0.001652073347941041,0.0001944125979207456,-0.024978507310152054,0.002138648647814989,0.0026030750013887882
1685054321949238600,0,54321.94921875,0.01665235497057438,-0.006973016541451216,1.3047301769256592,0.0010608102893456817,0.0012119889724999666,-0.00022102182265371084,0.00866689532995224,0.017699720337986946,-0.011663718149065971
1685054321949570100,0,54321.94921875,0.01665235497057438,-0.006973016541451216,1.3047301769256592,0.0010608102893456817,0.0012119889724999666,-0.00022102182265371084,0.00866689532995224,0.017699720337986946,-0.011663718149065971
1685054321964296600,0,54321.96484375,0.016667693853378296,-0.00697799026966095,1.3047279119491577,0.0016913984436541796,0.0004094332689419389,-0.00023554053041152656,0.009569203481078148,-0.018399272114038467,0.012354644015431404
1685054321974599200,0,54321.97265625,0.01668531447649002,-0.0069786058738827705,1.3047261238098145,0.001978335902094841,0.00040834839455783367,-0.0001660461421124637,-0.013810100965201855,0.03279458358883858,0.006379785481840372
1685054321985816400,0,54321.984375,0.016715949401259422,-0.006982075050473213,1.3047231435775757,0.0033621902111917734,0.0003079581365454942,-0.00026763032656162977,0.04195741191506386,0.013825434260070324,-0.0025910967960953712
1685054321994322700,0,54321.9921875,0.016755718737840652,-0.006990643218159676,1.3047189712524414,0.004171319305896759,-0.0002742238575592637,-0.00037201851955614984,0.027650509029626846,-0.01732197031378746,0.00018795639334712178
1685054322004208200,0,54322.00390625,0.016787149012088776,-0.006998478900641203,1.3047151565551758,0.0035323433112353086,-0.00010961979569401592,-0.00028318556724116206,-0.03917539864778519,0.021585680544376373,-0.010845030657947063
1685054322019721600,0,54322.01953125,0.01682046428322792,-0.007010255008935928,1.3047107458114624,0.0032398062758147717,-0.0003942205512430519,-0.00041887344559654593,0.006579799577593803,-0.017383752390742302,-0.010904070921242237
1685054322039634800,0,54322.0390625,0.016867706552147865,-0.007020730059593916,1.3047038316726685,0.002459031529724598,-0.00027725205291062593,-0.00022745612659491599,0.011359265074133873,-0.02612580731511116,0.010388500057160854
1685054322040129300,0,54322.0390625,0.016893040388822556,-0.00702581787481904,1.304701566696167,0.002609524643048644,-0.0002236554864794016,-7.693305087741464e-05,0.011915497481822968,-0.016102520748972893,0.01708730310201645
1685054322040468000,0,54322.0390625,0.016893040388822556,-0.00702581787481904,1.304701566696167,0.002609524643048644,-0.0002236554864794016,-7.693305087741464e-05,0.011915497481822968,-0.016102520748972893,0.01708730310201645
1685054322050387700,0,54322.05078125,0.016906019300222397,-0.007021315861493349,1.3047010898590088,0.0013837453443557024,0.0008439274388365448,0.00011417019413784146,-0.06252773851156235,0.03489650413393974,0.005253127310425043
1685054322070322600,0,54322.0703125,0.016903376206755638,-0.00703152222558856,1.3047003746032715,0.0012259490322321653,0.0006746510043740273,0.00012042175512760878,-0.0051189810037612915,-0.020498933270573616,0.004266734234988689
1685054322083413700,0,54322.08203125,0.01691090129315853,-0.007028187625110149,1.304701805114746,0.00042093356023542583,4.243082366883755e-05,0.00015175224689301103,-0.029894230887293816,-0.02753816545009613,-0.002662669401615858
1685054322083722400,0,54322.08203125,0.01691090129315853,-0.007028187625110149,1.304701805114746,0.00042093356023542583,4.243082366883755e-05,0.00015175224689301103,-0.029894230887293816,-0.02753816545009613,-0.002662669401615858
1685054322093866800,0,54322.09375,0.01691356487572193,-0.007033271249383688,1.304701805114746,0.0008749154512770474,5.7827066484605893e-05,0.00010300720896339044,0.01733803190290928,0.008525324985384941,-0.0016713612712919712
1685054322098200200,0,54322.09765625,0.016916777938604355,-0.007032250519841909,1.304701805114746,0.0008685184875503182,0.0006575344013981521,9.802103159017861e-05,-0.035311996936798096,0.03441813588142395,-0.008471577428281307
1685054322123781700,0,54322.12109375,0.01692206598818302,-0.007028156891465187,1.3047000169754028,0.0007568494183942676,0.0008491588523611426,0.00044865417294204235,-0.0035398947075009346,0.018340475857257843,-0.01758231222629547
1685054322126170000,0,54322.125,0.01692565716803074,-0.007026710547506809,1.3047007322311401,0.000794851453974843,0.0008399887592531741,0.00028166535776108503,0.015312043018639088,-0.005480202846229076,-0.02737416699528694
1685054322129164100,0,54322.12890625,0.016934353858232498,-0.00702610332518816,1.3047006130218506,0.0012299383524805307,0.0008656317950226367,8.112895011436194e-05,0.028194822371006012,0.008648554794490337,-0.025279270485043526
1685054322150818300,0,54322.1484375,0.016946114599704742,-0.007008501794189215,1.3046983480453491,0.0014576418325304985,0.0012452201917767525,-1.951426202140283e-05,0.07322599738836288,0.0029575182124972343,0.01081891544163227
1685054322159229700,0,54322.16015625,0.01695774309337139,-0.006998177617788315,1.30469810962677,0.0009649496641941369,0.0016213166527450085,0.00020939222304150462,-0.04058702662587166,0.04174095392227173,0.016088800504803658
1685054322180539300,0,54322.1796875,0.016970418393611908,-0.006985953543335199,1.3046993017196655,0.0004592674085870385,0.001658071530982852,0.0004818748275283724,0.01926524005830288,0.008145238272845745,0.03155550733208656
1685054322189306400,0,54322.1875,0.01698184758424759,-0.006979685742408037,1.3046997785568237,0.0011821744265034795,0.0013599185040220618,0.0003757218364626169,0.03340861573815346,-0.03270304948091507,0.012630114331841469
1685054322199330800,0,54322.19921875,0.01699235290288925,-0.006970913615077734,1.304699182510376,0.0015101495664566755,0.001459245104342699,0.00019821763271465898,0.004693032242357731,-0.03325103968381882,-0.000953291542828083
1685054322211024100,0,54322.2109375,0.016998952254652977,-0.006956334691494703,1.30469810962677,0.0017646139021962881,0.0018124200869351625,0.00014809443382546306,0.0362355001270771,0.005845260340720415,0.0061785876750946045
1685054322219336500,0,54322.21875,0.016993170604109764,-0.0069419266656041145,1.3046977519989014,0.0006463119643740356,0.001667218399234116,7.164837006712332e-05,-0.047476015985012054,-0.043121587485075,-0.02488674782216549
1685054322229234300,0,54322.23046875,0.01698625087738037,-0.00692707346752286,1.3046966791152954,0.0005173658719286323,0.0019209273159503937,-0.00015742998220957816,0.023014526814222336,-0.0003784818109124899,-0.017178479582071304
1685054322250108000,0,54322.25,0.01697450317442417,-0.006902187131345272,1.3046958446502686,0.0004914576420560479,0.0024298937059938908,-0.00030284258536994457,-0.009317216463387012,-0.003591611748561263,-0.015566572546958923
1685054322259445700,0,54322.2578125,0.016965407878160477,-0.006895336788147688,1.3046954870224,0.00017976642993744463,0.0024613358546048403,-0.00019896775484085083,-0.011358554475009441,0.014807657338678837,0.008841532282531261
1685054322282832500,0,54322.28125,0.016951238736510277,-0.006943129003047943,1.3046998977661133,0.001400854904204607,0.0019715181551873684,3.877737253787927e-05,-0.013276029378175735,-0.017130279913544655,0.022427411749958992
1685054322292041400,0,54322.2890625,0.016953423619270325,-0.006940752267837524,1.3047003746032715,0.0014595220563933253,0.0018323541153222322,0.00014746334636583924,0.007561738137155771,0.004361177794635296,0.020181160420179367
1685054322302005600,0,54322.30078125,0.016947347670793533,-0.006936571095138788,1.3047014474868774,0.0009519045706838369,0.0019773265812546015,0.0001448443508706987,-0.024693947285413742,0.010591799393296242,-0.005803962703794241
1685054322327597100,0,54322.328125,0.01693115383386612,-0.006940890569239855,1.3047019243240356,0.00023881331435404718,0.0017201155424118042,0.0001134070917032659,-0.03297007828950882,0.01801985129714012,0.0052390750497579575
1685054322330434200,0,54322.328125,0.016909224912524223,-0.006942515727132559,1.3047034740447998,-8.269128011306748e-05,0.001804771600291133,9.806379239307716e-05,-0.009970265440642834,0.03014701046049595,0.0024047577753663063
1685054322343267000,0,54322.34375,0.01687425747513771,-0.0069205258041620255,1.3047066926956177,-0.0003422755398787558,0.0025236904621124268,-0.00016711292846594006,-0.019062969833612442,0.018927088007330894,-0.02064134180545807
1685054322358260900,0,54322.359375,0.01685771904885769,-0.006906482856720686,1.3047064542770386,-1.1493517376948148e-05,0.002806962700560689,-9.886776388157159e-05,-5.2847339247819036e-05,0.01731504686176777,-0.0003327258746139705
1685054322361048000,0,54322.359375,0.01684856042265892,-0.006888259202241898,1.3047077655792236,0.0005835023475810885,0.002969074994325638,-7.111926970537752e-05,0.01626630686223507,0.035914354026317596,0.002951351460069418
1685054322380989500,0,54322.37890625,0.016863279044628143,-0.006849262863397598,1.304707646369934,0.0022242916747927666,0.0026911923196166754,-7.54309439798817e-05,-0.02814522758126259,0.011320278979837894,0.011991359293460846
1685054322381373500,0,54322.3828125,0.016863279044628143,-0.006849262863397598,1.304707646369934,0.0022242916747927666,0.0026911923196166754,-7.54309439798817e-05,-0.02814522758126259,0.011320278979837894,0.011991359293460846
1685054322391181100,0,54322.390625,0.016873784363269806,-0.006842519156634808,1.3047072887420654,0.0023659290745854378,0.001683764043264091,-0.00014734505384694785,-0.040032852441072464,-0.030949318781495094,-0.0030407339800149202
1685054322401124200,0,54322.3984375,0.016897426918148994,-0.006840907968580723,1.3047056198120117,0.0032471653539687395,0.001363957766443491,-4.4682135921902955e-05,-0.027736682444810867,0.0075005702674388885,0.03296518325805664
1685054322421284500,0,54322.421875,0.016921570524573326,-0.006842206697911024,1.304703712463379,0.0031792204827070236,0.0008043849957175553,-9.018152923090383e-05,-0.054797880351543427,-0.02865036390721798,-0.011357801035046577
1685054322429077900,0,54322.4296875,0.01695493794977665,-0.006873120553791523,1.304697871208191,0.0027099032886326313,-0.00032970175379887223,-5.8407844335306436e-05,-0.0029179772827774286,-0.009803731925785542,0.0014054195489734411
1685054322429419700,0,54322.4296875,0.01695493794977665,-0.006873120553791523,1.304697871208191,0.0027099032886326313,-0.00032970175379887223,-5.8407844335306436e-05,-0.0029179772827774286,-0.009803731925785542,0.0014054195489734411
1685054322438983200,0,54322.4375,0.016962945461273193,-0.006896692328155041,1.304696798324585,0.0020899062510579824,-0.0010961649240925908,1.168399194284575e-05,-0.02111782506108284,-0.05679905042052269,0.0024125028867274523
1685054322459028100,0,54322.45703125,0.016963398084044456,-0.006939312908798456,1.3046950101852417,0.0015685705002397299,-0.0010289470665156841,0.00011198670108569786,0.007554559502750635,-0.03099372424185276,0.011621478945016861
1685054322469880700,0,54322.46875,0.016968920826911926,-0.006949335802346468,1.304694652557373,0.0016638661036267877,-0.00024227311951108277,6.831924110883847e-05,-0.010977041907608509,0.020154910162091255,0.0029114156495779753
1685054322488956300,0,54322.48828125,0.016954442486166954,-0.006996584590524435,1.3046942949295044,0.0019150793086737394,0.0005732693825848401,9.407370816916227e-05,-0.013610764406621456,0.008945679292082787,-0.004332123789936304
1685054322489303000,0,54322.48828125,0.016954442486166954,-0.006996584590524435,1.3046942949295044,0.0019150793086737394,0.0005732693825848401,9.407370816916227e-05,-0.013610764406621456,0.008945679292082787,-0.004332123789936304
1685054322499671000,0,54322.5,0.016962802037596703,-0.006998782511800528,1.3046936988830566,0.001610298058949411,0.0010241380659863353,-8.00722700660117e-05,0.005830306559801102,0.030860375612974167,-0.01771586760878563
1685054322510556800,0,54322.51171875,0.01696235127747059,-0.006997617892920971,1.3046934604644775,0.0009706856799311936,0.00109333754517138,1.9761966541409492e-05,-0.022796837612986565,0.01879708282649517,-0.00254951324313879
1685054322528974200,0,54322.52734375,0.01696161925792694,-0.006973130628466606,1.304695725440979,0.0006620836793445051,0.002438979223370552,-7.215311597974505e-06,-0.01187441498041153,0.01326096523553133,-0.002784143667668104
1685054322529483200,0,54322.52734375,0.01696161925792694,-0.006973130628466606,1.304695725440979,0.0006620836793445051,0.002438979223370552,-7.215311597974505e-06,-0.01187441498041153,0.01326096523553133,-0.002784143667668104
1685054322540652700,0,54322.5390625,0.01696094684302807,-0.006953346077352762,1.3046963214874268,0.0010683609871193767,0.0028817197307944298,0.00013978384959045798,0.030440224334597588,0.020183421671390533,0.01574713923037052
1685054322549068700,0,54322.546875,0.016949160024523735,-0.00693346094340086,1.3046979904174805,-1.0490233535165316e-06,0.0027903292793780565,0.00021037954138591886,-0.05413074046373367,-0.04097620025277138,-0.01588875986635685
1685054322558979500,0,54322.55859375,0.016936251893639565,-0.006915695033967495,1.3046995401382446,-0.00018728870782069862,0.0029709087684750557,0.00014593990636058152,0.0014155996032059193,0.02126433700323105,0.0013362542958930135
1685054322570243300,0,54322.5703125,0.01692565158009529,-0.006900809705257416,1.304700493812561,-0.00014439842198044062,0.002599372761324048,8.113607327686623e-05,0.0008956296951510012,-0.015044495463371277,-0.004975974094122648
1685054322579729900,0,54322.578125,0.016915908083319664,-0.006888940464705229,1.3047010898590088,-0.0001914545428007841,0.0023391901049762964,7.211246702354401e-05,-0.01784450374543667,-0.006690385285764933,-0.0004037378530483693
1685054322588929300,0,54322.58984375,0.016910875216126442,-0.006883406545966864,1.304701566696167,0.00030433887150138617,0.00196650717407465,6.879266584292054e-05,-0.009959916584193707,-0.016566067934036255,0.011824549175798893
1685054322600314600,0,54322.6015625,0.016913974657654762,-0.006877852138131857,1.304701805114746,0.0008814254542812705,0.0019253575010225177,0.00011441420065239072,0.01123549323529005,0.012029075063765049,0.014600615948438644
1685054322609385700,0,54322.609375,0.016915829852223396,-0.006870845798403025,1.304701805114746,0.0006843304727226496,0.0016844765050336719,0.00015364079445134848,-0.053302664309740067,-0.020255517214536667,0.0007682540453970432
1685054322619068200,0,54322.6171875,0.01693890057504177,-0.0068732998333871365,1.3046996593475342,0.0024045687168836594,0.0011806536931544542,1.9945993699366227e-05,0.051827751100063324,-0.023748623207211494,0.02189602516591549
1685054322630346200,0,54322.62890625,0.016962628811597824,-0.006872454658150673,1.3046971559524536,0.0025471916887909174,0.001324687385931611,-2.4870158085832372e-05,-0.02263425849378109,0.010568981058895588,-0.0030882633291184902
1685054322639666600,0,54322.640625,0.01697746105492115,-0.006872484926134348,1.3046947717666626,0.0019938694313168526,0.0012996529694646597,5.3071602451382205e-05,-0.05683721974492073,-0.0022910619154572487,-0.0031045458745211363
1685054322660558500,0,54322.66015625,0.01701415330171585,-0.006875617895275354,1.3046860694885254,0.0020355237647891045,0.0011422919342294335,3.0271006835391745e-05,-0.0010781692108139396,0.008583313785493374,-0.006689860485494137
1685054322669015100,0,54322.66796875,0.017029261216521263,-0.006878041196614504,1.3046848773956299,0.001808734959922731,0.0010276130633428693,3.146710878354497e-05,-0.02040906995534897,-0.006390277296304703,-0.005507736466825008
1685054322679045900,0,54322.6796875,0.017012272030115128,-0.006931836251169443,1.304686188697815,0.0013280040584504604,0.0010044985683634877,5.319488263921812e-05,-0.023706965148448944,-0.011673892848193645,-0.010524238459765911
1685054322708982500,0,54322.70703125,0.0170146394520998,-0.006926126778125763,1.3046849966049194,0.0011039234232157469,0.001825511921197176,6.369113543769345e-05,-0.0041837310418486595,0.009426712989807129,0.005022692959755659
1685054322709351000,0,54322.7109375,0.0170146394520998,-0.006926126778125763,1.3046849966049194,0.0011039234232157469,0.001825511921197176,6.369113543769345e-05,-0.0041837310418486595,0.009426712989807129,0.005022692959755659
1685054322739001400,0,54322.73828125,0.01700993813574314,-0.00689293397590518,1.304685354232788,0.0010255747474730015,0.002043221378698945,0.00016707213944755495,0.011528437957167625,-0.011171117424964905,0.006484873592853546
1685054322739365600,0,54322.73828125,0.01700993813574314,-0.00689293397590518,1.304685354232788,0.0010255747474730015,0.002043221378698945,0.00016707213944755495,0.011528437957167625,-0.011171117424964905,0.006484873592853546
1685054322752005600,0,54322.75,0.017025474458932877,-0.00686655193567276,1.3046836853027344,0.0015459255082532763,0.0018727711867541075,4.554330007522367e-05,-0.0067728133872151375,-0.021016925573349,-0.0014654329279437661
1685054322752428800,0,54322.75390625,0.017025474458932877,-0.00686655193567276,1.3046836853027344,0.0015459255082532763,0.0018727711867541075,4.554330007522367e-05,-0.0067728133872151375,-0.021016925573349,-0.0014654329279437661
1685054322772051100,0,54322.76953125,0.01702762208878994,-0.006861409172415733,1.3046826124191284,0.0012487745843827724,0.0015103748301044106,-1.0201370969298296e-05,-0.04606500640511513,-0.02901742234826088,0.0027591779362410307
1685054322790019800,0,54322.7890625,0.017035985365509987,-0.006852392572909594,1.304681658744812,0.0020731412805616856,0.0016080294735729694,-0.00016694368969183415,0.0003558694152161479,-0.004061609506607056,0.003558899275958538
1685054322790458100,0,54322.7890625,0.01703290268778801,-0.006857637781649828,1.3046811819076538,0.0008957411046139896,0.0006665497785434127,-0.00013586299610324204,-0.08975225687026978,-0.03794090822339058,-0.012203856371343136
1685054322800102800,0,54322.80078125,0.01704554818570614,-0.006867482326924801,1.304679036140442,0.0020070436876267195,9.543937630951405e-05,-0.00026658104616217315,0.03882488235831261,-0.0182803962379694,0.01041402481496334
1685054322810353600,0,54322.80859375,0.017056116834282875,-0.00688108941540122,1.3046778440475464,0.0017286180518567562,-5.9756879636552185e-05,-0.00013122060045134276,-0.026245031505823135,0.019069047644734383,0.006089376285672188
1685054322819971800,0,54322.8203125,0.01706918142735958,-0.00689366040751338,1.3046770095825195,0.001979256048798561,7.60090333642438e-05,3.691742313094437e-05,0.007466265466064215,0.032772764563560486,0.02292201854288578
1685054322840115100,0,54322.83984375,0.017103124409914017,-0.0069258990697562695,1.3046746253967285,0.002252248115837574,-0.0008570817881263793,-5.8179593906970695e-05,0.04658907651901245,-0.014196647331118584,-0.006056102458387613
1685054322840497400,0,54322.83984375,0.017103124409914017,-0.0069258990697562695,1.3046746253967285,0.002252248115837574,-0.0008570817881263793,-5.8179593906970695e-05,0.04658907651901245,-0.014196647331118584,-0.006056102458387613
1685054322849930900,0,54322.84765625,0.017115818336606026,-0.006929873023182154,1.304673194885254,0.0014314042637124658,-0.00033949947101064026,4.564917162497295e-06,-0.01422141958028078,-0.023617498576641083,-0.0017913728952407837
1685054322860030800,0,54322.859375,0.017127173021435738,-0.0069373301230371,1.3046715259552002,0.0008941747364588082,-0.0003962183545809239,-0.00010515250323805958,-0.0023696785792708397,-0.01894284598529339,-0.010384186170995235
1685054322870564000,0,54322.87109375,0.017130138352513313,-0.006944127380847931,1.3046706914901733,-7.092568557709455e-05,-0.0005017034127376974,-4.8947854338621255e-06,-0.03568374738097191,-0.04144755378365517,0.008068368770182133
1685054322879958900,0,54322.87890625,0.017127780243754387,-0.007036938332021236,1.304670810699463,0.0011081580305472016,0.00013047235552221537,2.153844070562627e-05,0.056510258466005325,0.013542715460062027,0.026417972519993782
1685054322900130100,0,54322.8984375,0.017177652567625046,-0.007052264176309109,1.3046656847000122,0.0012971466640010476,0.0014734482392668724,-0.0002007115399464965,0.013853885233402252,0.09525194764137268,0.0030587350483983755
1685054322920657600,0,54322.921875,0.017237525433301926,-0.007040174212306738,1.3046643733978271,0.0013195008505135775,0.0022264609578996897,0.0003262423269916326,0.02789372391998768,0.010353912599384785,0.04589655250310898
1685054322930116900,0,54322.9296875,0.017238901928067207,-0.00704501336440444,1.3046671152114868,0.0003463911998551339,0.0013913391157984734,0.0007267803885042667,-0.00444903876632452,-0.018574124202132225,0.02606929838657379
1685054322949932200,0,54322.94921875,0.017220523208379745,-0.0070732650347054005,1.3046727180480957,-0.0015701194060966372,9.245496039511636e-05,0.000869119365233928,-0.12175387889146805,-0.016269251704216003,0.009854866191744804
1685054322950258700,0,54322.94921875,0.017220523208379745,-0.0070732650347054005,1.3046727180480957,-0.0015701194060966372,9.245496039511636e-05,0.000869119365233928,-0.12175387889146805,-0.016269251704216003,0.009854866191744804
1685054322960506000,0,54322.9609375,0.017195023596286774,-0.0070970794185996056,1.3046748638153076,-0.0007365311612375081,-0.0005000808159820735,0.00036578127765096724,0.06008855625987053,-0.033310648053884506,-0.02636580727994442
1685054322970147700,0,54322.96875,0.017167408019304276,-0.007120725233107805,1.3046749830245972,-0.0008943374850787222,-0.00028196023777127266,-7.717999687884003e-05,-6.494537956314161e-05,0.020663972944021225,-0.046842046082019806
1685054322979981200,0,54322.98046875,0.017142999917268753,-0.007138446904718876,1.304673433303833,-0.0008731850539334118,0.00032964107231236994,-0.0005082347197458148,0.006717042066156864,0.03661716356873512,-0.043375976383686066
1685054323000602300,0,54323.0,0.01709110103547573,-0.007165019866079092,1.3046786785125732,-0.0012055832194164395,0.0008266117656603456,6.0551639762707055e-05,-0.0207685437053442,-0.0005160080036148429,-0.015476962551474571
1685054323026055200,0,54323.0234375,0.017079485580325127,-0.007169045507907867,1.3046810626983643,0.0005650629173032939,0.0012938096188008785,-1.051765229931334e-05,0.12575450539588928,-0.031989701092243195,0.03582308813929558
1685054323040556600,0,54323.0390625,0.01708633080124855,-0.007189100608229637,1.304681420326233,0.000917924044188112,0.0004154177149757743,0.0002750749699771404,0.04357682541012764,0.006005546078085899,0.013525152578949928
1685054323081144700,0,54323.078125,0.017111608758568764,-0.007214358542114496,1.3046733140945435,0.0010558075737208128,0.0005504879518412054,5.4415744671132416e-05,0.0036638574674725533,0.02186225913465023,-0.021781181916594505
1685054323090383000,0,54323.08984375,0.017118394374847412,-0.00721096433699131,1.3046718835830688,0.001038208371028304,0.0008563312003389001,-0.00011692724365275353,-0.01748799718916416,-0.00621939217671752,-0.024911172688007355
1685054323114124000,0,54323.11328125,0.017071008682250977,-0.0073447683826088905,1.304670810699463,0.0017474330961704254,0.0004399199387989938,-1.9431413420534227e-06,0.0001602533448021859,-0.022747982293367386,0.009647094644606113
1685054323117167000,0,54323.1171875,0.01709207519888878,-0.0073573472909629345,1.3046705722808838,0.0017457037465646863,0.00031586113618686795,0.00010442285565659404,-0.0004695479874499142,0.015696721151471138,0.019711967557668686
